flow_idx,ts,target_id,name,level,x,y,desc,resource1,resource2,loot_ids,unit_count,units
1108,2026-07-05 04:13:58.233,2455178,9级山贼,9,97,26,"大批资源,有宝箱,",1771,4382,,4,"宦礼笛:投石车(1239)[a=26,b=1,code=14,uid=722] | 宰馨运:重弩车(513)[a=29,b=4,code=13,uid=721] | 颜谊临:骁骑兵(1100)[a=25,b=4,code=11,uid=723] | 连峯河:骁骑兵(1088)[a=26,b=4,code=11,uid=722]"
1108,2026-07-05 04:13:58.233,2458358,10级山贼,10,97,27,"大批资源,有宝箱,一些宝物,",2028,4617,3073,5,"宇文沁祈:弩车(258)[a=35,b=4,code=12,uid=729] | 徐念彩:骁骑兵(1787)[a=36,b=2,code=11,uid=729] | 边嗣:骁骑兵(1666)[a=39,b=4,code=11,uid=721] | 池馨:骁骑兵(1639)[a=40,b=2,code=11,uid=733] | 夔莫兆:骁骑兵(1920)[a=39,b=2,code=11,uid=727]"
1108,2026-07-05 04:13:58.233,2455427,8级山贼,8,97,31,"大批资源,有宝箱,",1097,2406,1793;1069,4,"隗圣:轻骑兵(1264)[a=21,b=0,code=8,uid=723] | 简晶映:骁骑兵(714)[a=25,b=2,code=11,uid=731] | 丁熠州:轻骑兵(1168)[a=23,b=0,code=8,uid=726] | 子车风荫:重弩车(341)[a=21,b=4,code=13,uid=720]"
1108,2026-07-05 04:13:58.233,2453159,1级山贼,1,98,27,"一些资源,",48,109,,1,"訾桢:民兵(147)[a=1,b=0,code=0,uid=733]"
1108,2026-07-05 04:13:58.233,2458245,3级山贼,3,98,28,"很多资源,",147,352,,1,"冯化:民兵(863)[a=7,b=4,code=0,uid=732]"
1108,2026-07-05 04:13:58.233,2453581,2级山贼,2,98,29,"许多资源,",93,219,1039,1,"薛翠妙:民兵(287)[a=4,b=0,code=0,uid=733]"
1108,2026-07-05 04:13:58.233,2456600,4级山贼,4,98,30,"很多资源,",177,458,,2,"房勤:近卫兵(390)[a=8,b=2,code=3,uid=734] | 瞿纵深:民兵(1268)[a=10,b=0,code=0,uid=724]"
1108,2026-07-05 04:13:58.233,2455614,7级山贼,7,98,31,"大批资源,有宝箱,",557,1413,,3,"明尚弼:轻步兵(1160)[a=16,b=1,code=1,uid=727] | 高晓蕾:强弩兵(1659)[a=17,b=0,code=6,uid=729] | 应溥清:弓兵(582)[a=19,b=4,code=4,uid=721]"
1108,2026-07-05 04:13:58.233,2458531,6级山贼,6,99,26,"大量资源,有宝箱,",303,879,1059,3,"皇甫耀:强弩兵(1159)[a=14,b=0,code=6,uid=720] | 双容空:轻步兵(785)[a=16,b=1,code=1,uid=728] | 茅幻:强弩兵(1088)[a=15,b=0,code=6,uid=730]"
1108,2026-07-05 04:13:58.233,2453177,4级山贼,4,99,27,"很多资源,",160,496,1049,2,"习芬:重步兵(544)[a=9,b=4,code=2,uid=733] | 滕航郝:重步兵(450)[a=10,b=4,code=2,uid=724]"
1108,2026-07-05 04:13:58.233,2456988,4级山贼,4,99,28,"很多资源,",174,478,1049,2,"终熏:重步兵(528)[a=8,b=1,code=2,uid=731] | 计振:重步兵(510)[a=8,b=1,code=2,uid=727]"
1108,2026-07-05 04:13:58.233,2457683,1级山贼,1,99,29,"一些资源,",52,138,,1,"成问籁:民兵(162)[a=1,b=0,code=0,uid=732]"
1108,2026-07-05 04:13:58.233,2457504,6级山贼,6,99,31,"大量资源,有宝箱,",347,887,1059,3,"吉丰尔:铁骑兵(593)[a=14,b=2,code=10,uid=730] | 芮菡涵:铁骑兵(637)[a=13,b=2,code=10,uid=731] | 叶双:弓兵(341)[a=13,b=4,code=4,uid=721]"
1109,2026-07-05 04:14:00.283,2455201,3级山贼,3,103,28,"很多资源,",156,350,1044,1,"井荷:民兵(864)[a=6,b=0,code=0,uid=733]"
1109,2026-07-05 04:14:00.283,2453174,4级山贼,4,103,29,"很多资源,有宝箱,",156,428,,2,"璩丽鸾:重步兵(516)[a=9,b=1,code=2,uid=729] | 瞿义咏:近卫兵(377)[a=10,b=2,code=3,uid=720]"
1109,2026-07-05 04:14:00.283,2454003,2级山贼,2,104,26,"许多资源,",100,255,,1,"习萍:民兵(318)[a=4,b=0,code=0,uid=731]"
1109,2026-07-05 04:14:00.283,2456081,6级山贼,6,104,27,"大量资源,",372,859,1058,3,"相实栩:轻步兵(890)[a=15,b=4,code=1,uid=733] | 郏薇菱:强弩兵(1273)[a=13,b=0,code=6,uid=728] | 时昊:弓兵(360)[a=14,b=4,code=4,uid=725]"
1109,2026-07-05 04:14:00.283,2458670,9级山贼,9,104,29,"大批资源,有宝箱,",1576,4162,,4,"贺璨晔:骁骑兵(1015)[a=27,b=2,code=11,uid=725] | 红烟辰:骁骑兵(1001)[a=27,b=2,code=11,uid=729] | 赵芮:投石车(1242)[a=25,b=1,code=14,uid=722] | 奚岚潇:投石车(1280)[a=29,b=4,code=14,uid=729]"
1109,2026-07-05 04:14:00.283,2459192,4级山贼,4,104,30,"很多资源,有宝箱,",151,467,1049,2,"陶然翠:民兵(1158)[a=9,b=0,code=0,uid=733] | 尉迟诗芙:重步兵(471)[a=9,b=1,code=2,uid=728]"
1109,2026-07-05 04:14:00.283,2457424,5级山贼,5,105,27,"很多资源,",280,712,,2,"谢季:铁骑兵(359)[a=10,b=4,code=10,uid=735] | 卞湃:轻步兵(468)[a=10,b=4,code=1,uid=723]"
1109,2026-07-05 04:14:00.283,2457995,10级山贼,10,105,29,"大批资源,有宝箱,一些宝物,",1993,5049,1084;3073;1793,5,"邹曦我:弩骑兵(1840)[a=39,b=0,code=7,uid=731] | 戎宛月:投石车(1815)[a=35,b=1,code=14,uid=728] | 相黛曼:弩车(205)[a=39,b=4,code=12,uid=728] | 熊豆化:骁骑兵(1864)[a=37,b=2,code=11,uid=734] | 霍薄幻:弩骑兵(2150)[a=36,b=0,code=7,uid=720]"
1109,2026-07-05 04:14:00.283,2457929,7级山贼,7,105,30,"大批资源,有宝箱,",667,1534,1064;13569,3,"牛丰建:轻步兵(1192)[a=20,b=4,code=1,uid=727] | 芮童幼:铁骑兵(902)[a=20,b=2,code=10,uid=731] | 都巍魂:弓兵(572)[a=20,b=4,code=4,uid=726]"
1110,2026-07-05 04:14:04.388,2458778,3级山贼,3,103,32,"许多资源,",154,373,,1,"冷掣采:民兵(869)[a=5,b=4,code=0,uid=727]"
1110,2026-07-05 04:14:04.388,2453563,4级山贼,4,103,33,"很多资源,",153,466,,2,"周茜:重步兵(455)[a=10,b=1,code=2,uid=730] | 幸气:近卫兵(412)[a=8,b=4,code=3,uid=722]"
1110,2026-07-05 04:14:04.388,2453582,10级山贼,10,103,34,"大批资源,有宝箱,",1966,4958,,5,"勾晨明:投石车(1831)[a=36,b=1,code=14,uid=727] | 东游嗣:弩骑兵(2050)[a=39,b=0,code=7,uid=726] | 林单:骁骑兵(1642)[a=37,b=2,code=11,uid=730] | 胡曼:弩车(229)[a=39,b=4,code=12,uid=729] | 仲长淼:弩骑兵(2082)[a=39,b=0,code=7,uid=730]"
1110,2026-07-05 04:14:04.388,2457651,10级山贼,10,103,35,"大批资源,有宝箱,有装备,一些宝物,",2122,5193,1793;3074,5,"梁语:重弩车(766)[a=36,b=4,code=13,uid=729] | 屠璧:弩骑兵(1864)[a=38,b=0,code=7,uid=730] | 云曼昂:投石车(1826)[a=37,b=1,code=14,uid=729] | 汲彦颀:投石车(2132)[a=36,b=4,code=14,uid=725] | 缪洁:弩车(255)[a=37,b=4,code=12,uid=734]"
1110,2026-07-05 04:14:04.388,2455036,2级山贼,2,103,36,"许多资源,",88,203,,1,"宿年:民兵(324)[a=5,b=0,code=0,uid=731]"
1110,2026-07-05 04:14:04.388,2458447,1级山贼,1,103,37,"一些资源,",41,104,,1,"乐常枫:民兵(135)[a=3,b=4,code=0,uid=723]"
1110,2026-07-05 04:14:04.388,2456803,2级山贼,2,104,32,"许多资源,",85,281,,1,"乌路:民兵(286)[a=3,b=4,code=0,uid=727]"
1110,2026-07-05 04:14:04.388,2454191,9级山贼,9,104,33,"大批资源,有宝箱,",1688,4270,1074,4,"水槐:骁骑兵(1081)[a=29,b=2,code=11,uid=731] | 贲枫:骁骑兵(1092)[a=25,b=2,code=11,uid=732] | 姬乾映:骁骑兵(952)[a=25,b=4,code=11,uid=721] | 陈漫实:骁骑兵(963)[a=27,b=2,code=11,uid=723]"
1110,2026-07-05 04:14:04.388,2453792,7级山贼,7,104,34,"大批资源,有宝箱,",649,1543,1064,3,"钭无丰:铁骑兵(919)[a=20,b=2,code=10,uid=735] | 翟祯:强弩兵(1652)[a=17,b=0,code=6,uid=723] | 怀芬茜:强弩兵(1530)[a=18,b=0,code=6,uid=732]"
1110,2026-07-05 04:14:04.388,2455701,3级山贼,3,104,35,"许多资源,",140,367,1044,1,"暴双:民兵(792)[a=8,b=0,code=0,uid=722]"
1110,2026-07-05 04:14:04.388,2455668,7级山贼,7,104,37,"大批资源,",538,1408,1064,3,"栾玟:轻步兵(1294)[a=17,b=1,code=1,uid=731] | 樊希:铁骑兵(800)[a=17,b=2,code=10,uid=732] | 全旎红:铁骑兵(849)[a=19,b=2,code=10,uid=731]"
1111,2026-07-05 04:14:05.739,2454911,4级山贼,4,97,32,"很多资源,",151,413,,2,"南宫悌:民兵(1257)[a=9,b=0,code=0,uid=721] | 梁力瑞:民兵(1180)[a=8,b=0,code=0,uid=723]"
1111,2026-07-05 04:14:05.739,2457994,7级山贼,7,97,33,"大批资源,有宝箱,",530,1548,,3,"孔荷贤:强弩兵(1409)[a=20,b=0,code=6,uid=732] | 钮幼醒:轻步兵(1127)[a=19,b=1,code=1,uid=728] | 微生诩全:强弩兵(1513)[a=17,b=0,code=6,uid=727]"
1111,2026-07-05 04:14:05.739,2456731,10级山贼,10,97,35,"大批资源,有宝箱,一些宝物,",1863,5260,,5,"安涆:重弩车(798)[a=37,b=4,code=13,uid=726] | 通宏:骁骑兵(1926)[a=40,b=2,code=11,uid=722] | 空凡空:骁骑兵(1812)[a=37,b=2,code=11,uid=729] | 房河:骁骑兵(1776)[a=36,b=2,code=11,uid=725] | 陆悌向:弩骑兵(2057)[a=35,b=0,code=7,uid=733]"
1111,2026-07-05 04:14:05.739,2458392,4级山贼,4,97,37,"很多资源,有宝箱,",170,437,,2,"充盼:民兵(1162)[a=10,b=0,code=0,uid=733] | 沈瑜:民兵(1181)[a=8,b=0,code=0,uid=721]"
1111,2026-07-05 04:14:05.739,2457451,5级山贼,5,98,33,"很多资源,",295,731,1054,2,"慎逸齐:强弩兵(739)[a=11,b=0,code=6,uid=727] | 蔺尚:强弩兵(859)[a=13,b=0,code=6,uid=722]"
1111,2026-07-05 04:14:05.739,2453679,3级山贼,3,98,34,"很多资源,",147,369,,1,"相里熏:民兵(890)[a=7,b=4,code=0,uid=733]"
1111,2026-07-05 04:14:05.739,2457655,3级山贼,3,98,36,"许多资源,",149,325,,1,"管绍澄:民兵(876)[a=8,b=0,code=0,uid=727]"
1111,2026-07-05 04:14:05.739,2457802,5级山贼,5,99,32,"很多资源,",285,689,1054,2,"庚悟:轻步兵(479)[a=12,b=1,code=1,uid=720] | 简闻:铁骑兵(313)[a=13,b=2,code=10,uid=734]"
1111,2026-07-05 04:14:05.739,2455179,9级山贼,9,99,33,"大批资源,有宝箱,",1411,4312,1074,4,"党贤武:投石车(1291)[a=30,b=1,code=14,uid=723] | 扈衍晋:重弩车(445)[a=27,b=4,code=13,uid=722] | 焦诗莲:轻骑兵(1483)[a=27,b=0,code=8,uid=731] | 向曦:轻骑兵(1502)[a=27,b=4,code=8,uid=728]"
1111,2026-07-05 04:14:05.739,2455561,5级山贼,5,99,34,"很多资源,有装备,一些宝物,",267,631,,2,"阎庆:轻步兵(539)[a=11,b=1,code=1,uid=726] | 包唱:强弩兵(746)[a=12,b=0,code=6,uid=731]"
1111,2026-07-05 04:14:05.739,2458395,8级山贼,8,99,35,"大批资源,",1018,2420,,4,"乌灿:骁骑兵(696)[a=23,b=2,code=11,uid=725] | 索乐:骁骑兵(781)[a=25,b=4,code=11,uid=735] | 刁春蕊:投石车(1078)[a=20,b=4,code=14,uid=735] | 充芮:重弩车(367)[a=25,b=4,code=13,uid=733]"
1114,2026-07-05 04:14:17.580,2454911,4级山贼,4,97,32,"很多资源,",151,413,,2,"南宫悌:民兵(1257)[a=9,b=0,code=0,uid=721] | 梁力瑞:民兵(1180)[a=8,b=0,code=0,uid=723]"
1114,2026-07-05 04:14:17.580,2457994,7级山贼,7,97,33,"大批资源,有宝箱,",530,1548,,3,"孔荷贤:强弩兵(1409)[a=20,b=0,code=6,uid=732] | 钮幼醒:轻步兵(1127)[a=19,b=1,code=1,uid=728] | 微生诩全:强弩兵(1513)[a=17,b=0,code=6,uid=727]"
1114,2026-07-05 04:14:17.580,2456731,10级山贼,10,97,35,"大批资源,有宝箱,一些宝物,",1863,5260,,5,"安涆:重弩车(798)[a=37,b=4,code=13,uid=726] | 通宏:骁骑兵(1926)[a=40,b=2,code=11,uid=722] | 空凡空:骁骑兵(1812)[a=37,b=2,code=11,uid=729] | 房河:骁骑兵(1776)[a=36,b=2,code=11,uid=725] | 陆悌向:弩骑兵(2057)[a=35,b=0,code=7,uid=733]"
1114,2026-07-05 04:14:17.580,2458392,4级山贼,4,97,37,"很多资源,有宝箱,",170,437,,2,"充盼:民兵(1162)[a=10,b=0,code=0,uid=733] | 沈瑜:民兵(1181)[a=8,b=0,code=0,uid=721]"
1114,2026-07-05 04:14:17.580,2457451,5级山贼,5,98,33,"很多资源,",295,731,1054,2,"慎逸齐:强弩兵(739)[a=11,b=0,code=6,uid=727] | 蔺尚:强弩兵(859)[a=13,b=0,code=6,uid=722]"
1114,2026-07-05 04:14:17.580,2453679,3级山贼,3,98,34,"很多资源,",147,369,,1,"相里熏:民兵(890)[a=7,b=4,code=0,uid=733]"
1114,2026-07-05 04:14:17.580,2457655,3级山贼,3,98,36,"许多资源,",149,325,,1,"管绍澄:民兵(876)[a=8,b=0,code=0,uid=727]"
1114,2026-07-05 04:14:17.580,2457802,5级山贼,5,99,32,"很多资源,",285,689,1054,2,"庚悟:轻步兵(479)[a=12,b=1,code=1,uid=720] | 简闻:铁骑兵(313)[a=13,b=2,code=10,uid=734]"
1114,2026-07-05 04:14:17.580,2455179,9级山贼,9,99,33,"大批资源,有宝箱,",1411,4312,1074,4,"党贤武:投石车(1291)[a=30,b=1,code=14,uid=723] | 扈衍晋:重弩车(445)[a=27,b=4,code=13,uid=722] | 焦诗莲:轻骑兵(1483)[a=27,b=0,code=8,uid=731] | 向曦:轻骑兵(1502)[a=27,b=4,code=8,uid=728]"
1114,2026-07-05 04:14:17.580,2455561,5级山贼,5,99,34,"很多资源,有装备,一些宝物,",267,631,,2,"阎庆:轻步兵(539)[a=11,b=1,code=1,uid=726] | 包唱:强弩兵(746)[a=12,b=0,code=6,uid=731]"
1114,2026-07-05 04:14:17.580,2458395,8级山贼,8,99,35,"大批资源,",1018,2420,,4,"乌灿:骁骑兵(696)[a=23,b=2,code=11,uid=725] | 索乐:骁骑兵(781)[a=25,b=4,code=11,uid=735] | 刁春蕊:投石车(1078)[a=20,b=4,code=14,uid=735] | 充芮:重弩车(367)[a=25,b=4,code=13,uid=733]"
