loot_id,seen_count,levels_seen,level_counts,item_name,item_type_label,item_desc,decode_candidates
1080,16,10,10:16,,,,low10:56:中级粮食辎重[礼包/宝箱/资源包] | minus1024:56:中级粮食辎重[礼包/宝箱/资源包]
1068,15,8;9,8:10;9:5,,,,low10:44:新手礼包8[礼包/宝箱/资源包] | minus1024:44:新手礼包8[礼包/宝箱/资源包]
1031,13,1;2,1:12;2:1,,,,low10:7:精铁宝箱[礼包/宝箱/资源包] | minus1024:7:精铁宝箱[礼包/宝箱/资源包]
1065,12,8;9,8:7;9:5,,,,low10:41:新手礼包5[礼包/宝箱/资源包] | minus1024:41:新手礼包5[礼包/宝箱/资源包]
1030,12,1;2,1:9;2:3,,,,low10:6:迁封令[普通/功能道具] | minus1024:6:迁封令[普通/功能道具]
16779777,12,8;9;10,8:3;9:2;10:7,,,,low10:513:袁术碎片[任务物品]
1077,12,10,10:12,,,,low10:53:实木宝箱[礼包/宝箱/资源包] | minus1024:53:实木宝箱[礼包/宝箱/资源包]
1067,12,8;9,8:7;9:5,,,,low10:43:新手礼包7[礼包/宝箱/资源包] | minus1024:43:新手礼包7[礼包/宝箱/资源包]
1060,12,7;8,7:5;8:7,,,,low10:36:新手礼包[礼包/宝箱/资源包] | minus1024:36:新手礼包[礼包/宝箱/资源包]
1063,11,7;8,7:6;8:5,,,,low10:39:30级兵武箱[礼包/宝箱/资源包] | minus1024:39:30级兵武箱[礼包/宝箱/资源包]
1075,11,10,10:11,,,,low10:51:50级兵甲箱[礼包/宝箱/资源包] | minus1024:51:50级兵甲箱[礼包/宝箱/资源包]
16790017,11,3;4;5;6,3:1;4:6;5:1;6:3,,,,low10:513:袁术碎片[任务物品] | low12:513:袁术碎片[任务物品]
15105,11,8;9,8:3;9:8,,,,
1079,11,10,10:11,,,,low10:55:资源辎重[礼包/宝箱/资源包] | minus1024:55:资源辎重[礼包/宝箱/资源包]
24321,10,8;9;10,8:3;9:2;10:5,,,,
1076,10,10,10:10,,,,low10:52:35级兵骑箱[礼包/宝箱/资源包] | minus1024:52:35级兵骑箱[礼包/宝箱/资源包]
1056,10,6;7,6:4;7:6,,,,low10:32:通商令[生产/内政增益] | minus1024:32:通商令[生产/内政增益]
16787713,10,5;6,5:5;6:5,,,,low10:257:活血丹包[礼包/宝箱/资源包]
16778753,9,4;5;6,4:1;5:5;6:3,,,,low10:513:袁术碎片[任务物品]
16787969,9,7;8;9,7:1;8:4;9:4,,,,low10:513:袁术碎片[任务物品]
16779521,9,7;8;9,7:3;8:3;9:3,,,,low10:257:活血丹包[礼包/宝箱/资源包]
1062,9,7;8,7:4;8:5,,,,low10:38:新手礼包3[礼包/宝箱/资源包] | minus1024:38:新手礼包3[礼包/宝箱/资源包]
16790273,8,7;8;9,7:2;8:2;9:4,,,,
16779265,8,6;7;8,6:3;7:4;8:1,,,,low10:1:屯田令[生产/内政增益]
1072,8,9,9:8,,,,low10:48:80级兵武箱[礼包/宝箱/资源包] | minus1024:48:80级兵武箱[礼包/宝箱/资源包]
16777729,8,1;2;3,1:1;2:2;3:5,,,,low10:513:袁术碎片[任务物品] | low12:513:袁术碎片[任务物品]
16778497,8,3;4;5,3:2;4:3;5:3,,,,low10:257:活血丹包[礼包/宝箱/资源包]
1082,7,10,10:7,,,,low10:58:青铜宝箱[礼包/宝箱/资源包] | minus1024:58:青铜宝箱[礼包/宝箱/资源包]
1037,7,2;3,2:3;3:4,,,,low10:13:小还丹[普通/功能道具] | minus1024:13:小还丹[普通/功能道具]
16787457,7,1;2;3;4,1:1;2:1;3:2;4:3,,,,low10:1:屯田令[生产/内政增益]
16785153,7,4;5;6,4:1;5:5;6:1,,,,
1033,7,1,1:7,,,,low10:9:传音符[普通/功能道具] | minus1024:9:传音符[普通/功能道具]
16780033,7,9;10,9:3;10:4,,,,
16785409,7,7;8,7:4;8:3,,,,low10:1:屯田令[生产/内政增益] | low12:1:屯田令[生产/内政增益]
1032,6,1,1:6,,,,low10:8:高级迁封令[普通/功能道具] | minus1024:8:高级迁封令[普通/功能道具]
1043,6,3;4,3:5;4:1,,,,low10:19:重置丹[普通/功能道具] | minus1024:19:重置丹[普通/功能道具]
1029,6,1,1:6,,,,low10:5:旌旗[普通/功能道具] | minus1024:5:旌旗[普通/功能道具]
16779009,6,5;6;7,5:1;6:2;7:3,,,,
1053,6,5;6,5:3;6:3,,,,low10:29:紧急招募令[增益/加速道具] | minus1024:29:紧急招募令[增益/加速道具]
17409,6,10,10:6,,,,low10:1:屯田令[生产/内政增益]
1035,6,2;3,2:1;3:5,,,,low10:11:传音符大礼包[礼包/宝箱/资源包] | minus1024:11:传音符大礼包[礼包/宝箱/资源包]
16777985,6,1;2;3,1:2;2:2;3:2,,,,
1055,5,6;7,6:1;7:4,,,,low10:31:名帖[普通/功能道具] | minus1024:31:名帖[普通/功能道具]
1070,5,9,9:5,,,,low10:46:新手礼包10[礼包/宝箱/资源包] | minus1024:46:新手礼包10[礼包/宝箱/资源包]
1051,5,5;6,5:1;6:4,,,,low10:27:招募令[增益/加速道具] | minus1024:27:招募令[增益/加速道具]
1036,5,2;3,2:2;3:3,,,,low10:12:活血丹[普通/功能道具] | minus1024:12:活血丹[普通/功能道具]
1041,5,3;4,3:2;4:3,,,,low10:17:高级兵书[普通/功能道具] | minus1024:17:高级兵书[普通/功能道具]
1050,5,5;6,5:1;6:4,,,,low10:26:鲁公秘录[增益/加速道具] | minus1024:26:鲁公秘录[增益/加速道具]
1042,4,3;4,3:2;4:2,,,,low10:18:兵法心得[普通/功能道具] | minus1024:18:兵法心得[普通/功能道具]
1061,4,7;8,7:1;8:3,,,,low10:37:新手礼包2[礼包/宝箱/资源包] | minus1024:37:新手礼包2[礼包/宝箱/资源包]
1057,4,6;7,6:1;7:3,,,,low10:33:高级通商令[生产/内政增益] | minus1024:33:高级通商令[生产/内政增益]
1071,4,9,9:4,,,,low10:47:60级兵武箱[礼包/宝箱/资源包] | minus1024:47:60级兵武箱[礼包/宝箱/资源包]
16790529,4,10,10:4,,,,low10:1:屯田令[生产/内政增益]
16785665,4,10,10:4,,,,low10:257:活血丹包[礼包/宝箱/资源包] | low12:257:活血丹包[礼包/宝箱/资源包]
1046,4,4;5,4:3;5:1,,,,low10:22:鲁公手册[增益/加速道具] | minus1024:22:鲁公手册[增益/加速道具]
1047,4,4;5,4:3;5:1,,,,low10:23:鲁公图册[增益/加速道具] | minus1024:23:鲁公图册[增益/加速道具]
16780289,3,10,10:3,,,,low10:1:屯田令[生产/内政增益]
1073,3,9,9:3,,,,low10:49:30级兵盔箱[礼包/宝箱/资源包] | minus1024:49:30级兵盔箱[礼包/宝箱/资源包]
1058,3,6;7,6:1;7:2,,,,low10:34:水晶[装备强化材料] | minus1024:34:水晶[装备强化材料]
16778241,3,3;4,3:1;4:2,,,,low10:1:屯田令[生产/内政增益]
1066,3,8;9,8:2;9:1,,,,low10:42:新手礼包6[礼包/宝箱/资源包] | minus1024:42:新手礼包6[礼包/宝箱/资源包]
16788225,2,10,10:2,,,,
16784897,2,2,2:2,,,,low10:513:袁术碎片[任务物品]
16777473,2,1,1:2,,,,low10:257:活血丹包[礼包/宝箱/资源包] | low12:257:活血丹包[礼包/宝箱/资源包]
1040,2,3,3:2,,,,low10:16:兵书[普通/功能道具] | minus1024:16:兵书[普通/功能道具]
1052,2,6,6:2,,,,low10:28:高级招募令[增益/加速道具] | minus1024:28:高级招募令[增益/加速道具]
1045,1,4,4:1,,,,low10:21:免战牌[普通/功能道具] | minus1024:21:免战牌[普通/功能道具]
1038,1,2,2:1,,,,low10:14:大还丹[普通/功能道具] | minus1024:14:大还丹[普通/功能道具]
1048,1,5,5:1,,,,low10:24:鲁公古籍[增益/加速道具] | minus1024:24:鲁公古籍[增益/加速道具]
