target_id,x,y,desc,resource1,resource2,loot_ids,major_codes,majors,units,query_x,query_y
2469956,6,17,"大批资源,",678,1631,,1;4;0,弓弩;战车;步兵,"滕晶虞:弓弩(raw=1,sub=1)x1267 | 苏莹:战车(raw=4,sub=1)x1268 | 充颜:步兵(raw=0,sub=6)x1772",6,12
2466560,6,25,"大批资源,有宝箱,",624,1694,1064;14849,0;0;4,步兵;步兵;战车,"管颖:步兵(raw=0,sub=6)x1556 | 林天沁:步兵(raw=0,sub=6)x1740 | 宗正喷嗣:战车(raw=4,sub=10)x823",6,24
2472730,6,39,"大批资源,有宝箱,",597,1498,1064,4;2;0,战车;骑兵;步兵,"鲍捷化:战车(raw=4,sub=4)x508 | 伍燕水:骑兵(raw=2,sub=10)x784 | 雷悦荷:步兵(raw=0,sub=6)x1769",6,36
2469902,6,48,"大批资源,",670,1552,,2;4;4,骑兵;战车;战车,"怀萌:骑兵(raw=2,sub=10)x889 | 相艾:战车(raw=4,sub=10)x765 | 太叔津兴:战车(raw=4,sub=1)x1102",6,48
2472958,7,2,"大批资源,有宝箱,",669,1488,13569,2;4;0,骑兵;战车;步兵,"荆儿:骑兵(raw=2,sub=10)x904 | 长孙涆:战车(raw=4,sub=4)x538 | 穆绿:步兵(raw=0,sub=6)x1666",6,0
2471669,7,4,"大批资源,",626,1691,,2;1;0,骑兵;弓弩;步兵,"尉迟帅:骑兵(raw=2,sub=10)x828 | 贲念珍:弓弩(raw=1,sub=1)x1298 | 台艺翠:步兵(raw=0,sub=6)x1579",6,0
2472749,7,53,"大批资源,有宝箱,",531,1651,1064,2;2;2,骑兵;骑兵;骑兵,"邓纳蔼:骑兵(raw=2,sub=10)x826 | 姜洲:骑兵(raw=2,sub=10)x881 | 阮霖璐:骑兵(raw=2,sub=10)x905",6,48
2468894,9,2,"大批资源,",622,1468,1064,1;0;1,弓弩;步兵;弓弩,"霍阳:弓弩(raw=1,sub=1)x1210 | 卫儿晔:步兵(raw=0,sub=6)x1695 | 吕旷熙:弓弩(raw=1,sub=1)x1209",9,0
2469557,9,4,"大批资源,",518,1431,,4;2;2,战车;骑兵;骑兵,"吴临:战车(raw=4,sub=10)x843 | 项霁:骑兵(raw=2,sub=10)x775 | 滑茗:骑兵(raw=2,sub=10)x852",9,0
2472422,9,5,"大批资源,有宝箱,",578,1560,1064;13569,2;0;1,骑兵;步兵;弓弩,"徐瑜:骑兵(raw=2,sub=10)x801 | 朱北:步兵(raw=0,sub=6)x1785 | 宗政亘:弓弩(raw=1,sub=1)x1168",9,0
2469955,10,2,"大批资源,",597,1586,1064,1;2;4,弓弩;骑兵;战车,"空好:弓弩(raw=1,sub=1)x1142 | 晁岚:骑兵(raw=2,sub=10)x781 | 弘开:战车(raw=4,sub=1)x1251",9,0
2466768,10,5,"大批资源,有装备,",501,1477,,2;0;0,骑兵;步兵;步兵,"陆颜:骑兵(raw=2,sub=10)x808 | 陈本:步兵(raw=0,sub=6)x1525 | 巫马心:步兵(raw=0,sub=6)x1765",9,0
2471462,11,1,"大批资源,",531,1611,1064,4;2;1,战车;骑兵;弓弩,"谈娇颀:战车(raw=4,sub=6)x1759 | 漆雕颖:骑兵(raw=2,sub=10)x827 | 慕邢:弓弩(raw=1,sub=1)x1252",9,0
2470909,11,14,"大批资源,有宝箱,",659,1588,1064,0;1;4,步兵;弓弩;战车,"糜醒:步兵(raw=0,sub=6)x1760 | 居拓:弓弩(raw=1,sub=1)x1293 | 丁颂可:战车(raw=4,sub=10)x884",9,12
2470043,11,21,"大批资源,",637,1454,,1;1;0,弓弩;弓弩;步兵,"李忍:弓弩(raw=1,sub=1)x1179 | 容枫:弓弩(raw=1,sub=1)x1265 | 乐正懋士:步兵(raw=0,sub=6)x1759",9,18
2472425,11,25,"大批资源,有宝箱,",605,1437,,4;2;1,战车;骑兵;弓弩,"包炎:战车(raw=4,sub=4)x589 | 成赋斯:骑兵(raw=2,sub=10)x817 | 唐莫:弓弩(raw=1,sub=1)x1150",9,24
2467766,12,6,"大批资源,有宝箱,",625,1427,,4;1;0,战车;弓弩;步兵,"宫许江:战车(raw=4,sub=10)x802 | 郭识:弓弩(raw=1,sub=1)x1284 | 郑叡菲:步兵(raw=0,sub=6)x1776",12,6
2471615,12,38,"大批资源,有宝箱,有装备,",504,1657,,2;1;1,骑兵;弓弩;弓弩,"路辑海:骑兵(raw=2,sub=10)x817 | 酆听晖:弓弩(raw=1,sub=1)x1199 | 桑可单:弓弩(raw=1,sub=1)x1132",12,36
2471440,12,40,"大批资源,有宝箱,一些宝物,",665,1651,14849;13570,4;0;1,战车;步兵;弓弩,"查深:战车(raw=4,sub=6)x1523 | 梁祯:步兵(raw=0,sub=6)x1539 | 融霁成:弓弩(raw=1,sub=1)x1196",12,36
2466897,12,41,"大批资源,",665,1466,1064,1;0;2,弓弩;步兵;骑兵,"向爽向:弓弩(raw=1,sub=1)x1156 | 乐正小紫:步兵(raw=0,sub=6)x1787 | 余新季:骑兵(raw=2,sub=10)x798",12,36
2469554,13,0,"大批资源,有宝箱,",574,1516,,4;4;4,战车;战车;战车,"屠清:战车(raw=4,sub=10)x806 | 宇文桃小:战车(raw=4,sub=6)x1483 | 武群:战车(raw=4,sub=1)x1281",12,0
2467450,13,16,"大批资源,",530,1696,,2;1;0,骑兵;弓弩;步兵,"尉迟冉濯:骑兵(raw=2,sub=10)x774 | 师郁:弓弩(raw=1,sub=1)x1140 | 段雅怜:步兵(raw=0,sub=6)x1712",12,12
2469776,13,24,"大批资源,有宝箱,",685,1630,1064,2;4;4,骑兵;战车;战车,"姬跃家:骑兵(raw=2,sub=10)x896 | 后溪紫:战车(raw=4,sub=6)x1564 | 经人:战车(raw=4,sub=1)x1246",12,24
2470919,13,42,"大批资源,有宝箱,有装备,",652,1417,16779521,4;1;1,战车;弓弩;弓弩,"昌蓉:战车(raw=4,sub=4)x506 | 俞霜:弓弩(raw=1,sub=1)x1141 | 吕唱淼:弓弩(raw=1,sub=1)x1263",12,42
2469587,13,46,"大批资源,有宝箱,",520,1647,13569,4;4;0,战车;战车;步兵,"骆雯适:战车(raw=4,sub=4)x528 | 虞作:战车(raw=4,sub=4)x586 | 却烟:步兵(raw=0,sub=6)x1452",12,42
2468777,14,1,"大批资源,有宝箱,",531,1503,,4;2;2,战车;骑兵;骑兵,"蓟祈兆:战车(raw=4,sub=1)x1277 | 瞿冰:骑兵(raw=2,sub=10)x771 | 金溪:骑兵(raw=2,sub=10)x778",12,0
2471982,14,9,"大批资源,有宝箱,有装备,",597,1508,13569,2;4;1,骑兵;战车;弓弩,"司空昶:骑兵(raw=2,sub=10)x924 | 滕馨:战车(raw=4,sub=4)x517 | 蒙湛:弓弩(raw=1,sub=1)x1257",12,6
2468960,14,51,"大批资源,有宝箱,",502,1475,14849,2;2;4,骑兵;骑兵;战车,"岑时:骑兵(raw=2,sub=10)x814 | 解寰竹:骑兵(raw=2,sub=10)x879 | 闻采:战车(raw=4,sub=4)x563",12,48
2467017,16,5,"大批资源,有宝箱,",699,1405,14849,4;0;4,战车;步兵;战车,"弘若唱:战车(raw=4,sub=10)x850 | 皮喷然:步兵(raw=0,sub=6)x1791 | 关广军:战车(raw=4,sub=10)x934",15,0
2469050,16,16,"大批资源,",663,1576,,0;2;0,步兵;骑兵;步兵,"单于静顺:步兵(raw=0,sub=6)x1617 | 蔺单我:骑兵(raw=2,sub=10)x913 | 季雨菲:步兵(raw=0,sub=6)x1711",15,12
2471172,16,25,"大批资源,有宝箱,",527,1679,,4;1;0,战车;弓弩;步兵,"居桢:战车(raw=4,sub=1)x1275 | 濮昶玮:弓弩(raw=1,sub=1)x1279 | 党赋:步兵(raw=0,sub=6)x1495",15,24
2470102,16,26,"大批资源,有宝箱,一些宝物,",600,1551,1064,1;4;4,弓弩;战车;战车,"秋璐:弓弩(raw=1,sub=1)x1211 | 敖益:战车(raw=4,sub=10)x795 | 景歌:战车(raw=4,sub=4)x529",15,24
2470621,16,44,"大批资源,",521,1671,,0;4;4,步兵;战车;战车,"沈程:步兵(raw=0,sub=6)x1563 | 霍问:战车(raw=4,sub=6)x1710 | 咸映:战车(raw=4,sub=6)x1790",15,42
2472846,18,47,"大批资源,有宝箱,",590,1407,,0;4;0,步兵;战车;步兵,"嵇慧:步兵(raw=0,sub=6)x1752 | 姜人新:战车(raw=4,sub=1)x1213 | 韶海:步兵(raw=0,sub=6)x1631",18,42
2469146,18,49,"大批资源,",699,1605,,1;1;1,弓弩;弓弩;弓弩,"马卫芮:弓弩(raw=1,sub=1)x1112 | 浦蕴枫:弓弩(raw=1,sub=1)x1152 | 融恩瑞:弓弩(raw=1,sub=1)x1119",18,48
2469650,18,53,"大批资源,",695,1681,,4;4;1,战车;战车;弓弩,"查水:战车(raw=4,sub=10)x939 | 简州:战车(raw=4,sub=6)x1652 | 濮淼:弓弩(raw=1,sub=1)x1163",18,48
2468302,19,11,"大批资源,",532,1618,1064,4;1;0,战车;弓弩;步兵,"卢季:战车(raw=4,sub=4)x541 | 茅宁:弓弩(raw=1,sub=1)x1122 | 苗顺:步兵(raw=0,sub=6)x1431",18,6
2468604,19,18,"大批资源,有宝箱,",575,1573,,4;2;0,战车;骑兵;步兵,"穆濮晤:战车(raw=4,sub=6)x1726 | 鞠好:骑兵(raw=2,sub=10)x893 | 唐明:步兵(raw=0,sub=6)x1585",18,18
2471413,19,22,"大批资源,有宝箱,有装备,",583,1664,1064,0;4;0,步兵;战车;步兵,"韦咏瑜:步兵(raw=0,sub=6)x1458 | 姜季:战车(raw=4,sub=4)x599 | 寿吟:步兵(raw=0,sub=6)x1464",18,18
2472945,19,33,"大批资源,",687,1648,,1;0;0,弓弩;步兵;步兵,"栾兆承:弓弩(raw=1,sub=1)x1105 | 朱振:步兵(raw=0,sub=6)x1407 | 司旷:步兵(raw=0,sub=6)x1660",18,30
2467661,19,37,"大批资源,",624,1423,1064,4;0;2,战车;步兵;骑兵,"广美以:战车(raw=4,sub=4)x512 | 谷范旷:步兵(raw=0,sub=6)x1413 | 申慈骏:骑兵(raw=2,sub=10)x938",18,36
2472925,20,12,"大批资源,有宝箱,有装备,",694,1594,,1;1;2,弓弩;弓弩;骑兵,"华淼:弓弩(raw=1,sub=1)x1137 | 丰鲲:弓弩(raw=1,sub=1)x1155 | 须燕:骑兵(raw=2,sub=10)x814",18,12
2470726,20,48,"大批资源,",608,1657,,2;2;0,骑兵;骑兵;步兵,"萧菲巧:骑兵(raw=2,sub=10)x933 | 丁磊华:骑兵(raw=2,sub=10)x890 | 倪儒:步兵(raw=0,sub=6)x1664",18,48
2468954,21,3,"大批资源,有宝箱,",669,1490,13570,2;0;1,骑兵;步兵;弓弩,"钟翊:骑兵(raw=2,sub=10)x826 | 于紫:步兵(raw=0,sub=6)x1723 | 孙平:弓弩(raw=1,sub=1)x1235",21,0
2472802,21,18,"大批资源,",505,1689,1064,0;4;2,步兵;战车;骑兵,"干宁:步兵(raw=0,sub=6)x1741 | 周祈范:战车(raw=4,sub=6)x1515 | 公西若顺:骑兵(raw=2,sub=10)x822",21,18
2472163,21,40,"大批资源,",682,1481,,4;2;1,战车;骑兵;弓弩,"叶朗:战车(raw=4,sub=1)x1212 | 蒙红含:骑兵(raw=2,sub=10)x857 | 易娥:弓弩(raw=1,sub=1)x1222",21,36
2467805,22,7,"大批资源,有宝箱,",690,1687,1064;1064,1;2;4,弓弩;骑兵;战车,"籍阳良:弓弩(raw=1,sub=1)x1187 | 郝秋柔:骑兵(raw=2,sub=10)x782 | 公西曼爽:战车(raw=4,sub=4)x567",21,6
2470700,22,16,"大批资源,",520,1639,,0;1;4,步兵;弓弩;战车,"詹明:步兵(raw=0,sub=6)x1486 | 养向姮:弓弩(raw=1,sub=1)x1162 | 冉生剑:战车(raw=4,sub=1)x1169",21,12
2469796,22,49,"大批资源,有宝箱,",610,1547,1064;14849,0;0;4,步兵;步兵;战车,"闻人析虞:步兵(raw=0,sub=6)x1625 | 关洁梅:步兵(raw=0,sub=6)x1524 | 郭朝知:战车(raw=4,sub=6)x1612",21,48
2472445,22,52,"大批资源,有宝箱,有装备,",559,1602,16779265,1;4;4,弓弩;战车;战车,"微生斯:弓弩(raw=1,sub=1)x1258 | 龙方朝:战车(raw=4,sub=1)x1244 | 闻人大怡:战车(raw=4,sub=4)x578",21,48
2468574,23,33,"大批资源,",574,1616,,1;2;4,弓弩;骑兵;战车,"满湛之:弓弩(raw=1,sub=1)x1196 | 胡母延:骑兵(raw=2,sub=10)x785 | 尹喆穰:战车(raw=4,sub=4)x560",21,30
2470957,23,48,"大批资源,",679,1419,1064,2;4;1,骑兵;战车;弓弩,"童柏智:骑兵(raw=2,sub=10)x924 | 咸璞:战车(raw=4,sub=4)x501 | 山幻沁:弓弩(raw=1,sub=1)x1208",21,48
2471568,24,13,"大批资源,一些宝物,",539,1567,1064,2;2;4,骑兵;骑兵;战车,"于拯海:骑兵(raw=2,sub=10)x785 | 霍辰笛:骑兵(raw=2,sub=10)x899 | 暴沁:战车(raw=4,sub=4)x596",24,12
2471426,24,43,"大批资源,有宝箱,",619,1495,1064,1;2;2,弓弩;骑兵;骑兵,"司煜:弓弩(raw=1,sub=1)x1164 | 谈果千:骑兵(raw=2,sub=10)x842 | 贝识:骑兵(raw=2,sub=10)x871",24,42
2468019,24,45,"大批资源,",694,1639,,1;2;4,弓弩;骑兵;战车,"宁承儒:弓弩(raw=1,sub=1)x1210 | 闻澜:骑兵(raw=2,sub=10)x875 | 巢岚益:战车(raw=4,sub=4)x508",24,42
2470557,24,49,"大批资源,",563,1431,,1;2;4,弓弩;骑兵;战车,"酆乐:弓弩(raw=1,sub=1)x1293 | 蓬玟:骑兵(raw=2,sub=10)x886 | 梁诩怡:战车(raw=4,sub=6)x1591",24,48
2471249,25,2,"大批资源,",675,1484,,2;2;4,骑兵;骑兵;战车,"丁含羽:骑兵(raw=2,sub=10)x764 | 隆我:骑兵(raw=2,sub=10)x839 | 都宁懿:战车(raw=4,sub=6)x1680",24,0
2471239,25,14,"大批资源,",658,1662,,0;1;0,步兵;弓弩;步兵,"范莲:步兵(raw=0,sub=6)x1514 | 双立:弓弩(raw=1,sub=1)x1136 | 广秋:步兵(raw=0,sub=6)x1795",24,12
2470379,25,33,"大批资源,",507,1460,,4;0;4,战车;步兵;战车,"双朝小:战车(raw=4,sub=4)x540 | 邓凌悦:步兵(raw=0,sub=6)x1564 | 许复:战车(raw=4,sub=6)x1640",24,30
2471005,25,48,"大批资源,有宝箱,",508,1577,13570;14849,4;2;1,战车;骑兵;弓弩,"昌湃:战车(raw=4,sub=4)x516 | 鞠广:骑兵(raw=2,sub=10)x796 | 廖美:弓弩(raw=1,sub=1)x1200",24,48
2470811,26,1,"大批资源,有宝箱,",537,1677,1064;13569,1;4;1,弓弩;战车;弓弩,"巴龙:弓弩(raw=1,sub=1)x1220 | 阙绍:战车(raw=4,sub=4)x505 | 戈用:弓弩(raw=1,sub=1)x1266",24,0
2471708,26,14,"大批资源,有宝箱,",639,1605,14849,4;2;1,战车;骑兵;弓弩,"家今:战车(raw=4,sub=1)x1108 | 莘温:骑兵(raw=2,sub=10)x766 | 邬岚雁:弓弩(raw=1,sub=1)x1196",24,12
2466503,26,16,"大批资源,有装备,",639,1545,1056,2;4;2,骑兵;战车;骑兵,"闻人寻:骑兵(raw=2,sub=10)x798 | 薄琪:战车(raw=4,sub=10)x910 | 莘宇清:骑兵(raw=2,sub=10)x846",24,12
2472808,26,24,"大批资源,有装备,",571,1617,1064;16787969,4;1;2,战车;弓弩;骑兵,"危拓:战车(raw=4,sub=4)x572 | 凤闻:弓弩(raw=1,sub=1)x1132 | 惠昂:骑兵(raw=2,sub=10)x796",24,24
2468128,27,9,"大批资源,",639,1515,,4;4;1,战车;战车;弓弩,"崔磊尝:战车(raw=4,sub=6)x1549 | 欧阳泽思:战车(raw=4,sub=4)x590 | 江禹长:弓弩(raw=1,sub=1)x1276",27,6
2466852,27,24,"大批资源,有宝箱,",512,1614,1059,0;0;1,步兵;步兵;弓弩,"周菱:步兵(raw=0,sub=6)x1519 | 施之:步兵(raw=0,sub=6)x1595 | 巫南群:弓弩(raw=1,sub=1)x1170",27,24
2469572,27,39,"大批资源,有宝箱,",657,1452,1064,1;0;4,弓弩;步兵;战车,"乐正栩沁:弓弩(raw=1,sub=1)x1245 | 仰芮碧:步兵(raw=0,sub=6)x1529 | 龚豪璨:战车(raw=4,sub=4)x538",27,36
2471076,27,43,"大批资源,一些宝物,",661,1461,,4;0;1,战车;步兵;弓弩,"羊丰墨:战车(raw=4,sub=10)x911 | 上官群:步兵(raw=0,sub=6)x1488 | 凌荷:弓弩(raw=1,sub=1)x1173",27,42
2470920,27,51,"大批资源,有装备,",603,1691,1063,0;1;0,步兵;弓弩;步兵,"仲风湛:步兵(raw=0,sub=6)x1643 | 别鸥偲:弓弩(raw=1,sub=1)x1228 | 仰吟:步兵(raw=0,sub=6)x1536",27,48
2468370,28,13,"大批资源,有宝箱,",519,1600,14849;1064,0;1;0,步兵;弓弩;步兵,"却宇:步兵(raw=0,sub=6)x1563 | 胥芮倪:弓弩(raw=1,sub=1)x1195 | 鱼初迈:步兵(raw=0,sub=6)x1482",27,12
2469386,29,5,"大批资源,",655,1623,1064,2;1;1,骑兵;弓弩;弓弩,"杜璧:骑兵(raw=2,sub=10)x889 | 闻人漠:弓弩(raw=1,sub=1)x1299 | 曹牙阳:弓弩(raw=1,sub=1)x1247",27,0
2466435,29,19,"大批资源,",628,1553,,2;4;4,骑兵;战车;战车,"季滨邢:骑兵(raw=2,sub=10)x765 | 邱开简:战车(raw=4,sub=4)x554 | 狄彦松:战车(raw=4,sub=10)x825",27,18
2471129,29,34,"大批资源,有宝箱,有装备,",651,1631,1064,0;0;4,步兵;步兵;战车,"梁艾:步兵(raw=0,sub=6)x1666 | 籍洲潇:步兵(raw=0,sub=6)x1527 | 阮炎厚:战车(raw=4,sub=4)x593",27,30
2467912,30,19,"大批资源,有宝箱,",611,1634,1064;1064,4;4;4,战车;战车;战车,"顾蕊:战车(raw=4,sub=1)x1161 | 梁丘醉:战车(raw=4,sub=4)x500 | 滑月:战车(raw=4,sub=4)x538",30,18
2468010,30,48,"大批资源,",672,1454,1064,0;4;1,步兵;战车;弓弩,"籍路叡:步兵(raw=0,sub=6)x1604 | 赖教玉:战车(raw=4,sub=4)x514 | 段曼娇:弓弩(raw=1,sub=1)x1181",30,48
2471938,31,7,"大批资源,有宝箱,",651,1588,,4;2;0,战车;骑兵;步兵,"上官韶:战车(raw=4,sub=1)x1197 | 彭悟艾:骑兵(raw=2,sub=10)x792 | 明涉:步兵(raw=0,sub=6)x1561",30,6
2467730,31,13,"大批资源,有宝箱,",530,1558,13569,2;0;4,骑兵;步兵;战车,"余馨彤:骑兵(raw=2,sub=10)x925 | 夏诗:步兵(raw=0,sub=6)x1487 | 隆淼:战车(raw=4,sub=6)x1702",30,12
2467606,31,16,"大批资源,",523,1549,,2;0;0,骑兵;步兵;步兵,"苍鹤:骑兵(raw=2,sub=10)x929 | 厉千:步兵(raw=0,sub=6)x1550 | 须黛:步兵(raw=0,sub=6)x1720",30,12
2469342,31,20,"大批资源,有宝箱,一些宝物,",525,1610,14849,1;2;4,弓弩;骑兵;战车,"步彩中:弓弩(raw=1,sub=1)x1156 | 隗荡访:骑兵(raw=2,sub=10)x760 | 曲城锦:战车(raw=4,sub=6)x1451",30,18
2467672,32,11,"大批资源,",644,1474,1064,4;2;2,战车;骑兵;骑兵,"尉迟丰:战车(raw=4,sub=4)x523 | 雷琪:骑兵(raw=2,sub=10)x920 | 乐杉栩:骑兵(raw=2,sub=10)x876",30,6
2469439,32,13,"大批资源,有宝箱,",519,1607,,4;1;0,战车;弓弩;步兵,"柳佑:战车(raw=4,sub=4)x570 | 惠莫:弓弩(raw=1,sub=1)x1119 | 经项:步兵(raw=0,sub=6)x1428",30,12
2472650,32,31,"大批资源,有宝箱,",635,1417,,4;2;4,战车;骑兵;战车,"能怡:战车(raw=4,sub=4)x592 | 冉琢启:骑兵(raw=2,sub=10)x880 | 简朝拓:战车(raw=4,sub=6)x1744",30,30
2472680,34,4,"大批资源,",693,1674,,1;1;1,弓弩;弓弩;弓弩,"容瑞:弓弩(raw=1,sub=1)x1146 | 谈冬:弓弩(raw=1,sub=1)x1283 | 柯寒瑾:弓弩(raw=1,sub=1)x1100",33,0
2466687,34,46,"大批资源,有宝箱,",572,1616,14849;1064,2;2;4,骑兵;骑兵;战车,"云捷:骑兵(raw=2,sub=10)x937 | 秋与岑:骑兵(raw=2,sub=10)x872 | 张容:战车(raw=4,sub=10)x908",33,42
2470082,34,49,"大批资源,有宝箱,",546,1694,,2;2;0,骑兵;骑兵;步兵,"扈珊楠:骑兵(raw=2,sub=10)x858 | 戚浚琛:骑兵(raw=2,sub=10)x804 | 贝策慨:步兵(raw=0,sub=6)x1722",33,48
2470332,35,38,"大批资源,有宝箱,有装备,",694,1515,16790273,1;0;4,弓弩;步兵;战车,"訾访丰:弓弩(raw=1,sub=1)x1174 | 米资:步兵(raw=0,sub=6)x1519 | 丰菱宛:战车(raw=4,sub=4)x520",33,36
2469009,36,3,"大批资源,有宝箱,",557,1520,,4;2;2,战车;骑兵;骑兵,"郦和:战车(raw=4,sub=4)x590 | 乜葱:骑兵(raw=2,sub=10)x868 | 湛如闻:骑兵(raw=2,sub=10)x783",36,0
2468531,36,21,"大批资源,有宝箱,一些宝物,",528,1619,13570;3073,4;2;4,战车;骑兵;战车,"越菡:战车(raw=4,sub=4)x513 | 荀楠豇:骑兵(raw=2,sub=10)x918 | 祖丹:战车(raw=4,sub=6)x1797",36,18
2469038,36,42,"大批资源,",694,1656,,4;2;4,战车;骑兵;战车,"施旋:战车(raw=4,sub=6)x1476 | 姚魁舟:骑兵(raw=2,sub=10)x781 | 童香雨:战车(raw=4,sub=4)x524",36,42
2470848,36,53,"大批资源,有宝箱,",661,1507,,4;0;1,战车;步兵;弓弩,"许沉墨:战车(raw=4,sub=4)x512 | 乌楚:步兵(raw=0,sub=6)x1514 | 仲长璐:弓弩(raw=1,sub=1)x1123",36,48
2472623,36,54,"大批资源,有装备,",689,1525,1064;1064,0;4;4,步兵;战车;战车,"戴寰浩:步兵(raw=0,sub=6)x1542 | 何蓉桃:战车(raw=4,sub=10)x766 | 常斌:战车(raw=4,sub=6)x1404",36,54
2472663,37,29,"大批资源,有宝箱,",513,1461,1064;1064,2;1;0,骑兵;弓弩;步兵,"丛生问:骑兵(raw=2,sub=10)x823 | 鲁璨:弓弩(raw=1,sub=1)x1122 | 单于宇方:步兵(raw=0,sub=6)x1712",36,24
2466724,37,45,"大批资源,有宝箱,有装备,",661,1625,14849,0;2;1,步兵;骑兵;弓弩,"弓洲:步兵(raw=0,sub=6)x1491 | 苏年亭:骑兵(raw=2,sub=10)x855 | 慎阵伟:弓弩(raw=1,sub=1)x1255",36,42
2469064,38,19,"大批资源,有宝箱,",566,1652,,1;2;0,弓弩;骑兵;步兵,"汲雅:弓弩(raw=1,sub=1)x1264 | 倪靖澄:骑兵(raw=2,sub=10)x857 | 公羊春:步兵(raw=0,sub=6)x1408",36,18
