building_id,名称,level,cost_copper_or_A,cost_food_or_B,cost_extra_or_C,build_time_seconds,raw
3,书院,13,46734,87931,0,423581,0d0000b68e0001577b000000000006769d
3,书院,14,64845,118115,0,586575,0e0000fd4d0001cd63000000000008f34f
3,书院,15,87120,155240,0,787050,0f0001545000025e6800000000000c026a
4,步兵营,1,30,75,0,7,010000001e0000004b0000000000000007
4,步兵营,2,90,225,0,37,020000005a000000e10000000000000025
4,步兵营,3,270,675,0,187,030000010e000002a300000000000000bb
4,步兵营,4,540,1350,0,937,040000021c0000054600000000000003a9
4,步兵营,5,1080,2700,0,2812,050000043800000a8c0000000000000afc
4,步兵营,6,2160,5400,0,8437,06000008700000151800000000000020f5
4,步兵营,7,3240,8100,0,16875,0700000ca800001fa400000000000041eb
4,步兵营,8,4860,12150,0,33750,08000012fc00002f7600000000000083d6
4,步兵营,9,6318,15795,0,50625,09000018ae00003db3000000000000c5c1
4,步兵营,10,8212,20533,0,75937,0a000020140000503500000000000128a1
5,弓兵营,1,30,75,0,7,010000001e0000004b0000000000000007
5,弓兵营,2,90,225,0,37,020000005a000000e10000000000000025
5,弓兵营,3,270,675,0,187,030000010e000002a300000000000000bb
5,弓兵营,4,540,1350,0,937,040000021c0000054600000000000003a9
5,弓兵营,5,1080,2700,0,2812,050000043800000a8c0000000000000afc
5,弓兵营,6,2160,5400,0,8437,06000008700000151800000000000020f5
5,弓兵营,7,3240,8100,0,16875,0700000ca800001fa400000000000041eb
5,弓兵营,8,4860,12150,0,33750,08000012fc00002f7600000000000083d6
5,弓兵营,9,6318,15795,0,50625,09000018ae00003db3000000000000c5c1
5,弓兵营,10,8212,20533,0,75937,0a000020140000503500000000000128a1
6,战车营,1,36,90,0,9,01000000240000005a0000000000000009
6,战车营,2,108,271,0,44,020000006c0000010f000000000000002c
6,战车营,3,326,742,0,225,0300000146000002e600000000000000e1
6,战车营,4,653,1633,0,1133,040000028d00000661000000000000046d
6,战车营,5,1306,3267,0,3399,050000051a00000cc30000000000000d47
6,战车营,6,2613,6534,0,10208,0600000a350000198600000000000027e0
6,战车营,7,3920,9801,0,20416,0700000f50000026490000000000004fc0
6,战车营,8,5880,14701,0,40837,08000016f80000396d0000000000009f85
6,战车营,9,7643,19111,0,61248,0900001ddb00004aa7000000000000ef40
6,战车营,10,9936,24838,0,91883,0a000026d00000610600000000000166eb
8,骑兵营,1,33,82,0,8,0100000021000000520000000000000008
8,骑兵营,2,99,247,0,40,0200000063000000f70000000000000028
8,骑兵营,3,297,742,0,205,0300000129000002e600000000000000cd
8,骑兵营,4,594,1485,0,1030,0400000252000005cd0000000000000406
8,骑兵营,5,1188,2970,0,3093,05000004a400000b9a0000000000000c15
8,骑兵营,6,2376,5940,0,9280,0600000948000017340000000000002440
8,骑兵营,7,3564,8910,0,18562,0700000dec000022ce0000000000004882
8,骑兵营,8,5346,13365,0,37125,08000014e2000034350000000000009105
8,骑兵营,9,6949,17374,0,55687,0900001b25000043de000000000000d987
8,骑兵营,10,9033,22586,0,83530,0a000023490000583a000000000001464a
