building_id,名称,level,pn_req_building_or_param,qn_req_level_for_un,rn_req_role_or_gate_level,sn_req_building_or_param2,tn_req_level2_or_flag,un_required_building_type_for_q_l,vn_int_param,trailing_flag_byte,client_accessors,raw
1,房屋,6,0,6,0,-1,0,-1,0,0,"S1->pn, R1->qn, q.l uses un+R1, U5 stores rn/sn/tn/vn but direct semantics pending",0600000600ffff00ffff0000000000
1,房屋,7,0,7,0,-1,0,-1,0,0,"S1->pn, R1->qn, q.l uses un+R1, U5 stores rn/sn/tn/vn but direct semantics pending",0700000700ffff00ffff0000000000
1,房屋,8,0,8,0,-1,0,-1,0,0,"S1->pn, R1->qn, q.l uses un+R1, U5 stores rn/sn/tn/vn but direct semantics pending",0800000800ffff00ffff0000000000
1,房屋,9,0,9,0,-1,0,-1,0,0,"S1->pn, R1->qn, q.l uses un+R1, U5 stores rn/sn/tn/vn but direct semantics pending",0900000900ffff00ffff0000000000
1,房屋,10,0,10,0,-1,0,-1,0,0,"S1->pn, R1->qn, q.l uses un+R1, U5 stores rn/sn/tn/vn but direct semantics pending",0a00000a00ffff00ffff0000000000
1,房屋,11,0,11,20,-1,0,-1,0,1,"S1->pn, R1->qn, q.l uses un+R1, U5 stores rn/sn/tn/vn but direct semantics pending",0b00000b14ffff00ffff0000000001
1,房屋,12,0,12,20,-1,0,-1,0,1,"S1->pn, R1->qn, q.l uses un+R1, U5 stores rn/sn/tn/vn but direct semantics pending",0c00000c14ffff00ffff0000000001
1,房屋,13,0,13,20,-1,0,-1,0,1,"S1->pn, R1->qn, q.l uses un+R1, U5 stores rn/sn/tn/vn but direct semantics pending",0d00000d14ffff00ffff0000000001
1,房屋,14,0,14,20,-1,0,-1,0,1,"S1->pn, R1->qn, q.l uses un+R1, U5 stores rn/sn/tn/vn but direct semantics pending",0e00000e14ffff00ffff0000000001
1,房屋,15,0,15,20,-1,0,-1,0,1,"S1->pn, R1->qn, q.l uses un+R1, U5 stores rn/sn/tn/vn but direct semantics pending",0f00000f14ffff00ffff0000000001
2,农场,1,0,1,0,-1,0,-1,0,0,"S1->pn, R1->qn, q.l uses un+R1, U5 stores rn/sn/tn/vn but direct semantics pending",0100000100ffff00ffff0000000000
2,农场,2,0,2,0,-1,0,-1,0,0,"S1->pn, R1->qn, q.l uses un+R1, U5 stores rn/sn/tn/vn but direct semantics pending",0200000200ffff00ffff0000000000
2,农场,3,0,3,0,-1,0,-1,0,0,"S1->pn, R1->qn, q.l uses un+R1, U5 stores rn/sn/tn/vn but direct semantics pending",0300000300ffff00ffff0000000000
2,农场,4,0,4,0,-1,0,-1,0,0,"S1->pn, R1->qn, q.l uses un+R1, U5 stores rn/sn/tn/vn but direct semantics pending",0400000400ffff00ffff0000000000
2,农场,5,0,5,0,-1,0,-1,0,0,"S1->pn, R1->qn, q.l uses un+R1, U5 stores rn/sn/tn/vn but direct semantics pending",0500000500ffff00ffff0000000000
2,农场,6,0,6,0,-1,0,-1,0,0,"S1->pn, R1->qn, q.l uses un+R1, U5 stores rn/sn/tn/vn but direct semantics pending",0600000600ffff00ffff0000000000
2,农场,7,0,7,0,-1,0,-1,0,0,"S1->pn, R1->qn, q.l uses un+R1, U5 stores rn/sn/tn/vn but direct semantics pending",0700000700ffff00ffff0000000000
2,农场,8,0,8,0,-1,0,-1,0,0,"S1->pn, R1->qn, q.l uses un+R1, U5 stores rn/sn/tn/vn but direct semantics pending",0800000800ffff00ffff0000000000
2,农场,9,0,9,0,-1,0,-1,0,0,"S1->pn, R1->qn, q.l uses un+R1, U5 stores rn/sn/tn/vn but direct semantics pending",0900000900ffff00ffff0000000000
2,农场,10,0,10,0,-1,0,-1,0,0,"S1->pn, R1->qn, q.l uses un+R1, U5 stores rn/sn/tn/vn but direct semantics pending",0a00000a00ffff00ffff0000000000
2,农场,11,0,11,20,-1,0,-1,0,1,"S1->pn, R1->qn, q.l uses un+R1, U5 stores rn/sn/tn/vn but direct semantics pending",0b00000b14ffff00ffff0000000001
2,农场,12,0,12,20,-1,0,-1,0,1,"S1->pn, R1->qn, q.l uses un+R1, U5 stores rn/sn/tn/vn but direct semantics pending",0c00000c14ffff00ffff0000000001
2,农场,13,0,13,20,-1,0,-1,0,1,"S1->pn, R1->qn, q.l uses un+R1, U5 stores rn/sn/tn/vn but direct semantics pending",0d00000d14ffff00ffff0000000001
2,农场,14,0,14,20,-1,0,-1,0,1,"S1->pn, R1->qn, q.l uses un+R1, U5 stores rn/sn/tn/vn but direct semantics pending",0e00000e14ffff00ffff0000000001
2,农场,15,0,15,20,-1,0,-1,0,1,"S1->pn, R1->qn, q.l uses un+R1, U5 stores rn/sn/tn/vn but direct semantics pending",0f00000f14ffff00ffff0000000001
3,书院,1,0,1,0,-1,0,-1,0,0,"S1->pn, R1->qn, q.l uses un+R1, U5 stores rn/sn/tn/vn but direct semantics pending",0100000100ffff00ffff0000000000
3,书院,2,0,2,0,-1,0,-1,0,0,"S1->pn, R1->qn, q.l uses un+R1, U5 stores rn/sn/tn/vn but direct semantics pending",0200000200ffff00ffff0000000000
3,书院,3,0,3,0,-1,0,-1,0,0,"S1->pn, R1->qn, q.l uses un+R1, U5 stores rn/sn/tn/vn but direct semantics pending",0300000300ffff00ffff0000000000
3,书院,4,0,4,0,-1,0,-1,0,0,"S1->pn, R1->qn, q.l uses un+R1, U5 stores rn/sn/tn/vn but direct semantics pending",0400000400ffff00ffff0000000000
3,书院,5,0,5,0,-1,0,-1,0,0,"S1->pn, R1->qn, q.l uses un+R1, U5 stores rn/sn/tn/vn but direct semantics pending",0500000500ffff00ffff0000000000
3,书院,6,0,6,0,-1,0,-1,0,0,"S1->pn, R1->qn, q.l uses un+R1, U5 stores rn/sn/tn/vn but direct semantics pending",0600000600ffff00ffff0000000000
3,书院,7,0,7,0,-1,0,-1,0,0,"S1->pn, R1->qn, q.l uses un+R1, U5 stores rn/sn/tn/vn but direct semantics pending",0700000700ffff00ffff0000000000
3,书院,8,0,8,0,-1,0,-1,0,0,"S1->pn, R1->qn, q.l uses un+R1, U5 stores rn/sn/tn/vn but direct semantics pending",0800000800ffff00ffff0000000000
3,书院,9,0,9,0,-1,0,-1,0,0,"S1->pn, R1->qn, q.l uses un+R1, U5 stores rn/sn/tn/vn but direct semantics pending",0900000900ffff00ffff0000000000
3,书院,10,0,10,0,-1,0,-1,0,0,"S1->pn, R1->qn, q.l uses un+R1, U5 stores rn/sn/tn/vn but direct semantics pending",0a00000a00ffff00ffff0000000000
3,书院,11,0,11,0,-1,0,-1,0,1,"S1->pn, R1->qn, q.l uses un+R1, U5 stores rn/sn/tn/vn but direct semantics pending",0b00000b00ffff00ffff0000000001
3,书院,12,0,12,0,-1,0,-1,0,1,"S1->pn, R1->qn, q.l uses un+R1, U5 stores rn/sn/tn/vn but direct semantics pending",0c00000c00ffff00ffff0000000001
3,书院,13,0,13,0,-1,0,-1,0,1,"S1->pn, R1->qn, q.l uses un+R1, U5 stores rn/sn/tn/vn but direct semantics pending",0d00000d00ffff00ffff0000000001
3,书院,14,0,14,0,-1,0,-1,0,1,"S1->pn, R1->qn, q.l uses un+R1, U5 stores rn/sn/tn/vn but direct semantics pending",0e00000e00ffff00ffff0000000001
3,书院,15,0,15,0,-1,0,-1,0,1,"S1->pn, R1->qn, q.l uses un+R1, U5 stores rn/sn/tn/vn but direct semantics pending",0f00000f00ffff00ffff0000000001
4,步兵营,1,0,1,0,-1,0,-1,0,0,"S1->pn, R1->qn, q.l uses un+R1, U5 stores rn/sn/tn/vn but direct semantics pending",0100000100ffff00ffff0000000000
4,步兵营,2,0,2,0,-1,0,-1,0,0,"S1->pn, R1->qn, q.l uses un+R1, U5 stores rn/sn/tn/vn but direct semantics pending",0200000200ffff00ffff0000000000
4,步兵营,3,0,3,0,-1,0,-1,0,0,"S1->pn, R1->qn, q.l uses un+R1, U5 stores rn/sn/tn/vn but direct semantics pending",0300000300ffff00ffff0000000000
4,步兵营,4,0,4,0,-1,0,-1,0,0,"S1->pn, R1->qn, q.l uses un+R1, U5 stores rn/sn/tn/vn but direct semantics pending",0400000400ffff00ffff0000000000
4,步兵营,5,0,5,0,-1,0,-1,0,0,"S1->pn, R1->qn, q.l uses un+R1, U5 stores rn/sn/tn/vn but direct semantics pending",0500000500ffff00ffff0000000000
4,步兵营,6,0,6,0,-1,0,-1,0,0,"S1->pn, R1->qn, q.l uses un+R1, U5 stores rn/sn/tn/vn but direct semantics pending",0600000600ffff00ffff0000000000
4,步兵营,7,0,7,0,-1,0,-1,0,0,"S1->pn, R1->qn, q.l uses un+R1, U5 stores rn/sn/tn/vn but direct semantics pending",0700000700ffff00ffff0000000000
4,步兵营,8,0,8,0,-1,0,-1,0,0,"S1->pn, R1->qn, q.l uses un+R1, U5 stores rn/sn/tn/vn but direct semantics pending",0800000800ffff00ffff0000000000
4,步兵营,9,0,9,0,-1,0,-1,0,0,"S1->pn, R1->qn, q.l uses un+R1, U5 stores rn/sn/tn/vn but direct semantics pending",0900000900ffff00ffff0000000000
4,步兵营,10,0,10,0,-1,0,-1,0,0,"S1->pn, R1->qn, q.l uses un+R1, U5 stores rn/sn/tn/vn but direct semantics pending",0a00000a00ffff00ffff0000000000
5,弓兵营,1,0,1,0,-1,0,-1,0,0,"S1->pn, R1->qn, q.l uses un+R1, U5 stores rn/sn/tn/vn but direct semantics pending",0100000100ffff00ffff0000000000
5,弓兵营,2,0,2,0,-1,0,-1,0,0,"S1->pn, R1->qn, q.l uses un+R1, U5 stores rn/sn/tn/vn but direct semantics pending",0200000200ffff00ffff0000000000
5,弓兵营,3,0,3,0,-1,0,-1,0,0,"S1->pn, R1->qn, q.l uses un+R1, U5 stores rn/sn/tn/vn but direct semantics pending",0300000300ffff00ffff0000000000
5,弓兵营,4,0,4,0,-1,0,-1,0,0,"S1->pn, R1->qn, q.l uses un+R1, U5 stores rn/sn/tn/vn but direct semantics pending",0400000400ffff00ffff0000000000
5,弓兵营,5,0,5,0,-1,0,-1,0,0,"S1->pn, R1->qn, q.l uses un+R1, U5 stores rn/sn/tn/vn but direct semantics pending",0500000500ffff00ffff0000000000
5,弓兵营,6,0,6,0,-1,0,-1,0,0,"S1->pn, R1->qn, q.l uses un+R1, U5 stores rn/sn/tn/vn but direct semantics pending",0600000600ffff00ffff0000000000
5,弓兵营,7,0,7,0,-1,0,-1,0,0,"S1->pn, R1->qn, q.l uses un+R1, U5 stores rn/sn/tn/vn but direct semantics pending",0700000700ffff00ffff0000000000
5,弓兵营,8,0,8,0,-1,0,-1,0,0,"S1->pn, R1->qn, q.l uses un+R1, U5 stores rn/sn/tn/vn but direct semantics pending",0800000800ffff00ffff0000000000
5,弓兵营,9,0,9,0,-1,0,-1,0,0,"S1->pn, R1->qn, q.l uses un+R1, U5 stores rn/sn/tn/vn but direct semantics pending",0900000900ffff00ffff0000000000
5,弓兵营,10,0,10,0,-1,0,-1,0,0,"S1->pn, R1->qn, q.l uses un+R1, U5 stores rn/sn/tn/vn but direct semantics pending",0a00000a00ffff00ffff0000000000
6,战车营,1,0,1,0,-1,0,-1,0,0,"S1->pn, R1->qn, q.l uses un+R1, U5 stores rn/sn/tn/vn but direct semantics pending",0100000100ffff00ffff0000000000
6,战车营,2,0,2,0,-1,0,-1,0,0,"S1->pn, R1->qn, q.l uses un+R1, U5 stores rn/sn/tn/vn but direct semantics pending",0200000200ffff00ffff0000000000
6,战车营,3,0,3,0,-1,0,-1,0,0,"S1->pn, R1->qn, q.l uses un+R1, U5 stores rn/sn/tn/vn but direct semantics pending",0300000300ffff00ffff0000000000
6,战车营,4,0,4,0,-1,0,-1,0,0,"S1->pn, R1->qn, q.l uses un+R1, U5 stores rn/sn/tn/vn but direct semantics pending",0400000400ffff00ffff0000000000
6,战车营,5,0,5,0,-1,0,-1,0,0,"S1->pn, R1->qn, q.l uses un+R1, U5 stores rn/sn/tn/vn but direct semantics pending",0500000500ffff00ffff0000000000
6,战车营,6,0,6,0,-1,0,-1,0,0,"S1->pn, R1->qn, q.l uses un+R1, U5 stores rn/sn/tn/vn but direct semantics pending",0600000600ffff00ffff0000000000
6,战车营,7,0,7,0,-1,0,-1,0,0,"S1->pn, R1->qn, q.l uses un+R1, U5 stores rn/sn/tn/vn but direct semantics pending",0700000700ffff00ffff0000000000
6,战车营,8,0,8,0,-1,0,-1,0,0,"S1->pn, R1->qn, q.l uses un+R1, U5 stores rn/sn/tn/vn but direct semantics pending",0800000800ffff00ffff0000000000
6,战车营,9,0,9,0,-1,0,-1,0,0,"S1->pn, R1->qn, q.l uses un+R1, U5 stores rn/sn/tn/vn but direct semantics pending",0900000900ffff00ffff0000000000
6,战车营,10,0,10,0,-1,0,-1,0,0,"S1->pn, R1->qn, q.l uses un+R1, U5 stores rn/sn/tn/vn but direct semantics pending",0a00000a00ffff00ffff0000000000
8,骑兵营,1,0,1,0,-1,0,-1,0,0,"S1->pn, R1->qn, q.l uses un+R1, U5 stores rn/sn/tn/vn but direct semantics pending",0100000100ffff00ffff0000000000
8,骑兵营,2,0,2,0,-1,0,-1,0,0,"S1->pn, R1->qn, q.l uses un+R1, U5 stores rn/sn/tn/vn but direct semantics pending",0200000200ffff00ffff0000000000
8,骑兵营,3,0,3,0,-1,0,-1,0,0,"S1->pn, R1->qn, q.l uses un+R1, U5 stores rn/sn/tn/vn but direct semantics pending",0300000300ffff00ffff0000000000
8,骑兵营,4,0,4,0,-1,0,-1,0,0,"S1->pn, R1->qn, q.l uses un+R1, U5 stores rn/sn/tn/vn but direct semantics pending",0400000400ffff00ffff0000000000
8,骑兵营,5,0,5,0,-1,0,-1,0,0,"S1->pn, R1->qn, q.l uses un+R1, U5 stores rn/sn/tn/vn but direct semantics pending",0500000500ffff00ffff0000000000
8,骑兵营,6,0,6,0,-1,0,-1,0,0,"S1->pn, R1->qn, q.l uses un+R1, U5 stores rn/sn/tn/vn but direct semantics pending",0600000600ffff00ffff0000000000
8,骑兵营,7,0,7,0,-1,0,-1,0,0,"S1->pn, R1->qn, q.l uses un+R1, U5 stores rn/sn/tn/vn but direct semantics pending",0700000700ffff00ffff0000000000
8,骑兵营,8,0,8,0,-1,0,-1,0,0,"S1->pn, R1->qn, q.l uses un+R1, U5 stores rn/sn/tn/vn but direct semantics pending",0800000800ffff00ffff0000000000
8,骑兵营,9,0,9,0,-1,0,-1,0,0,"S1->pn, R1->qn, q.l uses un+R1, U5 stores rn/sn/tn/vn but direct semantics pending",0900000900ffff00ffff0000000000
8,骑兵营,10,0,10,0,-1,0,-1,0,0,"S1->pn, R1->qn, q.l uses un+R1, U5 stores rn/sn/tn/vn but direct semantics pending",0a00000a00ffff00ffff0000000000
