building_id,名称,level,cost_copper_or_A,cost_food_or_B,cost_extra_or_C,build_time_seconds,effect_a,effect_b,effect_c,unlock_tier_or_soldier_stage,req_primary_level_byte,req_role_or_gate_level_byte
6,战车营,4,653,1633,0,1133,,,,2,4,0
6,战车营,5,1306,3267,0,3399,,,,2,5,0
6,战车营,6,2613,6534,0,10208,,,,2,6,0
6,战车营,7,3920,9801,0,20416,,,,3,7,0
6,战车营,8,5880,14701,0,40837,,,,3,8,0
6,战车营,9,7643,19111,0,61248,,,,3,9,0
6,战车营,10,9936,24838,0,91883,,,,4,10,0
8,骑兵营,1,33,82,0,8,,,,1,1,0
8,骑兵营,2,99,247,0,40,,,,1,2,0
8,骑兵营,3,297,742,0,205,,,,1,3,0
8,骑兵营,4,594,1485,0,1030,,,,2,4,0
8,骑兵营,5,1188,2970,0,3093,,,,2,5,0
8,骑兵营,6,2376,5940,0,9280,,,,2,6,0
8,骑兵营,7,3564,8910,0,18562,,,,3,7,0
8,骑兵营,8,5346,13365,0,37125,,,,3,8,0
8,骑兵营,9,6949,17374,0,55687,,,,3,9,0
8,骑兵营,10,9033,22586,0,83530,,,,4,10,0
