seq,campaign,stage,title,enemy_summary,enemy_total,scene_files,scene_exists_count,scene_missing_count,missing_scene_files,total_command_count,total_string_count,actor_candidates,dialogue_preview
11,1,10,曲阳退敌,重骑兵*300/重骑兵*300/民兵*4950,5550,1-10-1.sc/1-10-2.sc/1-10-3.sc,3,0,,87,19,张梁 / 张宝 / 皇甫嵩,张  宝：不好！看来敌军很强！ | 张  梁：那就施本教秘术！看他如何破！ | 活捉张梁张宝者，重重有赏！ | 冲啊！！！ || 皇甫嵩：敌军使用妖法！ | 我来助将军破法！ || 张  宝：不好！支撑不下去了，我们快撤！ | 张  梁：撤，留得青山在，不怕没柴烧！ | 哼！给我追！ | 报！朱儁在广宗与张角作战失利，皇上派遣将军前去支援！ | 好！进军广宗！消灭张角！
12,1,11,增援广宗,重骑兵*400/民兵*500/民兵*500/民兵*500/民兵*500,2400,1-11-1.sc/1-11-3.sc,2,0,,74,12,朱儁 / 张角,朱  儁：可恶张角，居然如此难缠！ | 朱将军！我来助你！ | 朱  儁：援军到了！全体奋力向前！灭！ | 张  角：来再多我也不放在眼里！ || 差一点就能活捉张角了！ | 御  使：圣旨到！ | 御  使：奉天承运，皇帝诏曰，朱儁屡战不胜，现命你即刻回朝复命！ | 朱  儁：……领命！ | 山贼敌军必会反扑，命三军时刻戒备！
13,,,广宗决战,重骑兵*1050/民兵*2250,3300,,0,0,,0,0,,
14,2,2,刺灭董卓,轻步*300/轻步*300,600,2-2-1.sc/2-2-2.sc/2-2-3.sc,3,0,,42,21,卢植 / 袁绍 / 王允 / 董卓 / 侍卫 / 吕布,袁  绍：董卓居然乱行废立之事！大逆不道，其心可诛！ | 王  允：可惜现在董卓手握重权，实在难以下手，唉。 | 董卓与我曾有一面之缘，或可寻机刺灭他。 | 王  允：将军有此救国之心，必将名垂青史！ | 看我把董卓的头颅带来！ || 董  卓：你是—— | 董太师别来无恙啊？ | 董  卓：原来是你。来此何事？ | 诛灭窃国逆贼！ | 董  卓：来人啊——有刺客！ || 董  卓：我儿奉先何在？！ | 温侯吕布果然名不虚传，留得青山在不愁没柴烧，撤！ | 董  卓：快给我追！！
15,2,3,逃离洛阳,轻骑*240/轻骑*180/轻骑*180,600,2-3-1.sc/2-3-3.sc,2,0,,41,6,,追  兵：你们插翅难飞！快快束手就擒！ | 哼！只是一小股追兵！弟兄们！干掉他们！ || 消灭了这支追兵，我们有些喘息的时间了，但此地不宜久留。 | 将军要去往哪里？ | 我想回归乡里，募集有志之士，共同讨伐国贼董卓 | 我等愿意誓死跟随！
16,2,4,进军汜水关,轻步*260/轻步*260/轻步*260,780,2-4-1.sc/2-4-3.sc,2,0,,61,18,袁绍 / 孙坚 / 公孙瓒 / 袁术 / 曹操 / 刘焉 / 韩馥 / 陶谦 / 孔伷,听闻十八路诸侯骑兵讨伐董卓，我特来投奔！ | 袁  绍：欢迎至极！ | 袁  绍：前面是汜水关，未知守军虚实，你可以前去打探一下。 | 在下领命！ | 什么人？有人闯关！快去通报！ || 敌军已经得知诸侯来到，汜水关守军众多，极难通过。 | 袁  绍：既然如此，先在汜水关外扎营，做作战准备。 | 袁  绍：各位诸侯行军疲惫，先在汜水关前扎营，以做战斗准备！
17,2,5,营地攻防战,轻骑*240/轻步*360/轻步*360,960,2-5-1.sc/2-5-3.sc,2,0,,42,11,华雄 / 胡轸 / 斥候,华雄：以袁绍为首的十八路诸侯聚集在汜水关前，你们给我去试探虚实！ | 胡轸：是！在下遵命！ | 来者何人？ | 胡轸：某乃胡轸，前来取你小命！ || 斥  候：报，华将军！胡将军和敌军大战，不幸阵亡！ | 华雄：真是靠不住的家伙！看来我要亲自出马。 | 华  雄：上
18,2,6,征讨华雄,轻骑*150/弩兵*200/轻骑*150/轻步*360,860,2-6-1.sc/2-6-3.sc,2,0,,73,24,华雄 / 袁绍 / 孙坚 / 俞涉 / 曹操 / 潘凤 / 刘备 / 关羽 / 张飞,华  雄：“鼠辈们，谁敢和华某较量？” | 袁  绍：敌军气焰很嚣张，谁敢去应战 | 俞  涉：小将愿往！ | 袁  绍：不好！俞涉被斩了！ | 潘  凤：让潘某前去报仇！ || 此战大获全胜，士气极盛！现在是进攻的好时机！ | 全军进攻！
19,2,7,击破汜水关,轻步*400/弩兵*400/轻步*400/弩兵*400,1600,2-7-1.sc/2-7-3.sc,2,0,,28,16,袁绍 / 曹操 / 张飞 / 刘备 / 关羽,袁  绍：进攻！把汜水关给我攻下来！ | 我来打头阵！ | 大家死守住汜水关！击退来军！ || 袁  绍：汜水关已经攻破！但董贼往虎牢关方向逃去！望诸位不辞辛苦，追击董贼！ | 曹  操：董贼擅自废立，颠覆朝纲，导致民怨连天！现在联军攻下了汜水关，士气正盛，可以趁势追击！ | 刘  备：为汉室社稷，我等在所不辞！
20,2,8,兵进虎牢关,重骑兵*150/重骑兵*150/轻步*400/轻步*400,1100,2-8-1.sc/2-8-3.sc,2,0,,85,23,袁绍 / 公孙赞 / 袁术 / 曹操 / 孙坚 / 关羽 / 刘备 / 张飞,报！四面发现董卓军队拦截，我军已被围住！ | 袁  绍：这可如何是好…… | 曹  操：不要惊慌，这些军队杂乱无章，没有多大的战斗力，只要逐个击破就行了。 | 袁  绍：孟德说的有道理，传我军令，四面突围！ | 领命，小将先行一步！ || 董贼的拦截军已经被消灭殆尽了。 | 袁  绍：如此甚好，全军前进！
21,2,9,虎牢拉锯战,重步兵*150/弩兵*200/轻步*420/弩兵*200,970,2-9-1.sc/2-9-3.sc,2,0,,93,24,袁绍 / 公孙赞 / 袁术 / 曹操 / 孙坚 / 关羽 / 刘备 / 张飞 / 樊稠,来军止步！为何要反抗朝廷！ | 袁  绍：董卓玩弄专权，擅自废立，天下人都知道他意图簒逆！我们特来消灭国贼！ | 废话少说！看我取你性命！ | 量你鼠辈，也敢与我交战！ || 袁绍：来的都是无名小卒，我军屡战屡胜！现在已经逼近虎牢关了，应该一鼓作气，将虎牢关拿下！只要破了虎牢关，洛阳就近在眼前！ | 曹  操：擒拿董卓之日不远了！ | 继续行军！
22,2,10,人中吕布,重骑兵*400/重骑兵*400/轻步*450/轻步*450/铁骑兵*500,2200,2-10-1.sc/2-10-3.sc,2,0,,83,20,关羽 / 公孙瓒 / 刘备 / 张飞 / 袁绍 / 孙坚 / 曹操 / 袁术 / 吕布,吕  布：哼！你们这群乌合之众，我灭你们就像捏死蚂蚁一样容易，今天老子网开一面，你们现在回头还来得及。 | 公孙瓒：小子也敢说大话！看招！ | 公孙瓒：好强！我先撤退！ | 张  飞：三姓家奴！我来取你性命！ | 关  羽：三弟当心！我来助战！ || 袁  绍：吕布败退了！联军冲灭啊！把虎牢关给我拿下！
23,2,11,攻破虎牢关,重骑兵*320/弩车*100/轻步*300/轻步*300/轻步*300,1320,2-11-1.sc/2-11-3.sc,2,0,,40,18,袁绍 / 孙坚 / 曹操 / 刘备 / 关羽 / 张飞 / 将领,袁  绍：攻城车准备！上前去！把虎牢关的门给我撞开！ | 大家守住虎牢关！不要让敌人通过！ | 袁  绍：有阻击的敌军！ | 我去解决掉他们！ || 袁  绍：虎牢关已经攻下了！董贼逃到了洛阳！诸位都辛苦多日，就在关上先休息一夜，明早即刻出发前往洛阳！ | 曹  操：不可啊！若董卓逃亡洛阳，必定有所行动，此时不前往追击，再后就来不及了。 | 袁  绍：孟德多虑了，洛阳就在眼前，董卓已是瓮中之鳖，擒住他是迟早的事。我军连日征战，已经疲惫不堪了，再勿多言了。 | 曹  操：唉！竖子不足与谋！ | 待我前去拿下董贼的狗头！
24,,,董卓追击战,铁骑兵*200/重骑兵*600/强弩兵*360,1160,,0,0,,0,0,,
25,3,1,函谷关伏兵,轻步兵*400/轻步兵*400/轻步兵*400/重步兵*320/重步兵*320,1840,3-1-1.sc/3-1-3.sc,2,0,,40,6,,函谷关就在前面了，这是到达长安的第一道屏障，要尽力攻打下来！ | 不好！有伏兵！准备战斗！ | 消灭他们！ || 接二连三的伏兵消耗了太多兵力，要拿下函谷关只能用智取了。 | 将军有什么良策？ | 待我先好好巡视一下函谷关的地形。
26,3,2,诱敌之计,轻骑兵*420/强弩兵*200/重步兵*320/重骑兵*160/重骑兵*160,1260,3-2-1.sc/3-2-3.sc,2,0,,54,11,,报！敌军在二十里外扎营！似乎要做长期作战！ | 守住函谷关是重要任务，趁现在他们还未扎稳脚跟，立刻出击！ | 那将军的意思是？ | 长期作战所需要的是粮草，没有粮草，敌军就坚持不了多久。敌军现在粮草在何处？ | 就在离敌方营寨十里的山谷中。 || 敌方的主力已经全歼了，虽然损失了粮草，但是只要攻下函谷关，关内的粮草就都是我们的了！ | 大家一鼓作气！把函谷关拿下！
27,3,3,踏破函谷关,轻步兵*800/轻步兵*800/强弩兵*250/重步兵*250/重步兵*250,2350,3-3-1.sc/3-3-3.sc,2,0,,40,5,,进攻的时候到了！守关的主力军已经被我们消灭了！现在给我一举拿下函谷关！ | 冲啊！攻下函谷关！ | 一定要守住函谷关！ || 士  兵：我们攻下函谷关啦！关内的军备和粮草尽为我们所用了！ | 我们先入关休息！明日继续前进！进攻潼关！攻入长安！营救献帝！
28,3,4,潼关苦战,铁骑兵*120/铁骑兵*120/重骑兵*180/重骑兵*180/重骑兵*180,780,3-4-1.sc/3-4-3.sc,2,0,,32,5,,你们是什么人？ | 重骑兵：我乃潼关守将，奉命前来消灭逆贼！ || 好一场恶战，西凉骑兵果然名不虚传，损失了我好多兵力。 | 将军要不要暂回函谷关去补充兵力？ | 那就暂且先撤军。
29,3,5,抢夺潼关,轻骑兵*750/强弩兵*300/轻步兵*700/重步兵*180/重步兵*180,2110,3-5-1.sc/3-5-3.sc,2,0,,41,8,,该死的潼关，让我损失了许多兵力！这次我一定要把潼关给攻下来！ | 大家提起十二万分的精神来！今天势必攻破潼关！ | 将军放心！今日誓死攻下潼关！ | 很好！大家有决心！攻破了潼关，我们就可以营救皇上！为大汉出一份力！ | 万岁万岁！ || 我们攻下潼关了！长安就在眼前！ | 接下来我要整顿军马！为营救皇上做准备！大家跟我入关去！
30,3,6,巧施离间计,重步兵*400/强弩兵*300/轻步兵*500/轻步兵*500/重骑兵*500,2200,3-6-1.sc/3-6-3.sc,2,0,,42,8,,董卓已死，但长安的残余势力还很多，须设法分化他们，然后逐一击破 | 将军有何打算？ | 我意使离间计，我们假扮成张济部下，进攻郭汜军，现在就准备。 | 好了，记住，你们现在都是张济手下的军队！ | 是！ || 哈哈！看郭阿多还敢骑在我头上！撤军！ | 这… 得快去禀报郭将军，张济意图谋反！
31,3,7,长安内乱,重骑兵*300/重骑兵*200/轻骑兵*300/轻骑兵*300/轻骑兵*300,1400,3-7-1.sc/3-7-3.sc,2,0,,63,11,张济 / 郭汜,郭  汜：张济！你敢灭我部下！ | 张  济：这恐怕是你的借口吧！你早就忌惮我势力会大过你，所以想尽办法除掉我！ | 郭  汜：我官居车骑，何须忌惮你！你灭我部下，死吧！ | 张  济：郭汜势大，我还是先撤吧！ | 郭阿多休走！ || 郭  汜：可恶张济！居然埋伏我！看我来日要你脑袋！撤军！ | 穷寇莫追，这下他们的仇怨可结大了，哈哈哈哈！ | 撤退！我们静观其变！
32,3,8,美人之争,重骑兵*250/重骑兵*250/重步兵*420/强弩兵*160/强弩兵*180,1260,3-8-1.sc/3-8-3.sc,2,0,,27,11,王允 / 吕布 / 我与你同去,王允：太师居然把将军之爱占为己有！禽兽不如！ | 吕布：我进去灭了他！ || 吕  布：董卓已经被我灭了！貂蝉也救出来了. | 王  允：你们都是社稷的功臣啊！ | 世为汉臣，为国出力是为臣的本份。 | 王  允：我们一起去面见圣上吧。
33,3,9,李郭劫驾,铁骑兵*200/重骑兵*220/重骑兵*220/轻骑兵*250/轻骑兵*250,1140,3-9-1.sc/3-9-3.sc,2,0,,55,11,王允 / 郭汜 / 李傕,王  允：李傕郭汜听说董卓死了，派兵前来问罪啊，如何是好啊。 | 我去摆平他们！ | 你们敢造反！ | 李  傕：郭汜，你拖住他！ || 郭  汜：好了！不陪你玩过家家了，撤退！ | 报！不好了！皇上被劫走了！司徒被灭了！ | 什么！
34,3,10,长安救驾,轻步兵*1000/轻步兵*1000/轻步兵*1000/重步兵*450/重步兵*450,3900,3-10-1.sc/3-10-3.sc,2,0,,41,6,献帝,报！郭汜和李傕意见不和，正在相互对峙！ | 好机会！趁他们不和，正好可以营救皇上！ || 微臣救驾来迟！请皇上恕罪！ | 献  帝：爱卿无罪，乃社稷功臣。 | 此地不宜久留，李傕郭汜一旦察觉，必然来追，微臣护送皇上离开。
35,3,11,逃遁入武关,重步兵*300/强弩兵*450/重步兵*200/强弩兵*450/重步兵*300,1700,3-11-1.sc/3-11-3.sc,2,0,,43,10,献帝,今日要回洛阳，只能从武关绕路，前方就是武关，但有重兵把守，今日到此，必须全力攻破！ | 愿死战！ | 好！大家努力！一鼓作气将武关攻下！ | 皇上，我等前去攻下武关！以保皇上还都洛阳！ | 献  帝：今日祸端，朕之过，有劳爱卿辛苦，朕于心不忍。 || 皇上，今日武关已攻下，现请皇上入关暂且先休息。 | 献  帝：爱卿如此忠心，朕十分欣慰。
36,3,12,追兵歼灭战,轻骑兵*400/轻骑兵*400/轻骑兵*400/重骑兵*300/重骑兵*300,1800,3-12-1.sc/3-12-3.sc,2,0,,52,9,献帝 / 是,报！前方发现追兵。 | 这么快就追来了，准备迎战！ | 追  兵：快把皇帝交出来！ | 不可能！将士们！消灭他们！ || 献  帝：爱卿没事吧。 | 来李郭两人的大部队快来了，皇上，我们快继续行军，这里不可久留啊。 | 献  帝：好，那立刻行军吧。
37,3,13,争夺献帝,轻骑兵*500/轻骑兵*500/轻骑兵*500/铁骑兵*200/铁骑兵*200,1900,3-13-1.sc/3-13-3.sc,2,0,,73,18,献帝 / 李傕 / 郭汜 / 曹操 / 夏侯渊 / 夏侯惇,糟了，他们追上了，皇上请退后，我来挡住他们！ | 李  傕：快把皇帝交出来！ | 痴心妄想！ | 李  傕：那别怪我得罪了！军士们！给我灭！ | 大家保护皇上！灭呀！ || 李  傕：放弃吧！你已经没有多少兵力了！ | 战死也不投降！ | 曹  操：贼人休要伤害皇上！ | 李  傕：援兵！糟了！撤军！
38,,,诸侯混战,重骑兵*1200/重步兵*1500/强弩兵*1500,4200,,0,0,,0,0,,
39,4,1,曹操兴兵,近卫*300/强弩兵*480/弩车*200/重步兵*500/重步兵*500,1980,4-1-1.sc/4-1-2.sc/4-1-3.sc,3,0,,62,23,陶谦 / 曹操 / 夏侯惇 / 典韦 / 于禁 / 信使,步  兵：将军，曹公的父亲在徐州被灭，曹公已经派兵前往徐州问罪了。 | （曹操对我有赠兵之恩，他的父亲在徐州被害了，或许跟陶谦有关系，我得去看看。） | 传我令！前往徐州！ | 步  兵：是！ || 曹  操：陶谦！你灭我父亲，此仇不共戴天！ | 陶  谦：是我手下张闿做的事，我毫不知情。 | 曹  操：何须多言！ | 步  兵：曹丞相和陶谦打起来了。 | 快去支援！ || 曹  操：陶谦！你还有什么话说！？ | 信  使：报！濮阳被吕布袭击了！ | 曹  操：什么？濮阳一失，我等都无家可归了。 | 曹  操：今日且饶你一命！
40,4,2,回救濮阳,重步兵*500/重步兵*500/重步兵*500/重骑兵*500/铁骑兵*300,2300,4-2-1.sc/4-2-3.sc,2,0,,25,10,曹操,信  使：将军！丞相得知消息，吕布已经袭击并占领了濮阳. | 信  使：丞相进军收复濮阳，希望将军前去支援。 | 嗯，知道了，我当亲自领兵和丞相汇合。 | 信  使：那小人前去回禀丞相，望将军早日来援。 | （吕布必将是心腹大患，我得尽快前往濮阳了。） || 丞相，吕布军的先锋已经被我打退。 | 曹  操：辛苦将军了，吕布攻占了濮阳，不过吕布勇而无谋，收复濮阳我已成竹在胸。 | 既然如此，那我去吕布退军的必经之路埋伏。 | 曹  操：如此甚好！
41,4,3,攻破濮阳,重步兵*520/重步兵*520/重步兵*520/弩车*300/铁骑兵*500,2360,4-3-1.sc/4-3-3.sc,2,0,,42,8,吕布 / 魏续 / 侯成 / 曹操,魏  续：主公！你先走！ || 曹  操：将军得胜归来啦。 | 丞相如何在此等候？ | 曹  操：皇上感你忠心，特封你为中郎将，快随我还都谢恩吧。
42,4,4,讨伐袁术,弩车*320/强弩兵*550/重步兵*550/重步兵*550/重步兵*600,2570,4-4-1.sc/4-4-2.sc/4-4-3.sc,3,0,,63,19,献帝 / 曹操 / 斥候 / 张勋 / 刘备 / 关羽 / 张飞,曹  操：皇上，扬州袁术进来招兵买马，不断扩充势力，只怕有不臣之心。 | 献  帝：朕也忧心，爱卿可有妙策？ | 曹  操：近来刘备得陶恭祖让与的徐州，不如派其前去平定袁术？ | 献  帝：爱卿可自行定夺。 | 曹  操：有劳将军前去协助刘备。 || 斥  候：报！前方发现袁术先锋大将张勋！ | 那就先拿他开刀！ || 刘备：刘备来迟了！ | 别来无恙，玄德兄，今日是为国效力，望两军合作愉快。 | 刘备：那是自然，袁术意图谋取徐州，我为徐州百姓忧心。 | 那么我们就齐攻袁术！
43,4,5,屯兵小沛,弩车*330/强弩兵*580/重步兵*520/重步兵*520/重骑兵*1000,2950,4-5-1.sc/4-5-3.sc,2,0,,28,13,刘备 / 关羽 / 斥候 / 张飞,斥  候：报！袁术大将纪灵领兵前来！ | 我们前去迎战！ || 袁术军被打退了。 | 张  飞：大哥！徐州被吕布那厮给夺了！我.... | 刘  备：什么！这…… | 刘  备：徐州已失，怎么与袁术军作战？ | 我们先回小沛再做打算吧。
44,4,6,马匹劫掠战,重骑兵*400/重骑兵*400/重骑兵*400/重骑兵*400/弩骑兵*800,2400,4-6-1.sc/4-6-3.sc,2,0,,43,19,刘备 / 关羽 / 张飞 / 吕布 / 曹操,吕  布：刘备！你居然抢我马匹！ | 刘  备：吕将军息怒，我并不知情啊。 | 吕  布：问问你的好三弟！ | 张  飞：哼！你夺我哥哥徐州就行，我夺你马匹就不行？ | 吕  布：那就不要怪我不客气了！ || 曹  操：玄德兄久别无恙。 | 刘  备：吕布忘义小人，我遭其追灭，特来投靠丞相。 | 曹  操：吕布是无义之徒，我和你合力消灭他，现在你暂且无依靠，先到豫州安身。 | 刘  备：谢丞相。
45,4,7,牵制袁术,弩车*350/强弩兵*600/重步兵*600/重步兵*600/重骑兵*700,2850,4-7-1.sc/4-7-3.sc,2,0,,17,8,刘备 / 张飞 / 关羽,禀主公，袁术已起兵攻打汝南，玄德公派人来请援。 | （袁术真是越来越嚣张，怕是要造反。） | 传令下去，兵发汝南！ || 玄德可安好？ | 刘  备：多谢将军援手，有了将军相助，汝南无忧。
46,4,8,张绣之乱,重弩车*350/强弩兵*620/重步兵*620/投石车*200/铁骑兵*650,2440,4-8-1.sc/4-8-3.sc,2,0,,25,10,刘备 / 关羽 / 张飞 / 曹操,听闻丞相遭张绣攻击，我须前去救援。 | 刘  备：袁术现已退兵，将军放心去吧。 | 玄德保重。 || （可恶的张绣，居然让我折损了大将典韦！） | 丞相，张绣已被我击败，我们一同进兵将其剿灭吧。 | 多谢将军援助，此役我军损失过大，还是待秋收时再议吧。
47,4,9,吕袁之战,强弩兵*620/重步兵*620/重步兵*620/重骑兵*800/重骑兵*900,3560,4-9-1.sc/4-9-2.sc/4-9-3.sc,3,0,,34,20,曹操 / 荀彧 / 吕布,曹  操：现吕布与袁术交战，我想趁此机会除掉吕布。 | 荀彧：不可！吕布反复无常，逼急了，必定与袁术联合，反而不利朝廷。 | 先生可有计策？ | 荀彧：下诏拜吕布领徐州牧，并出兵协助，一同攻打袁术，削弱其实力。 | 文若先生此计甚好，我愿出兵剿贼。 || 吕  布：将军来此，可是想乘人之危？ | 吕将军误会了，在下特来下诏。 | 朝廷有旨，封吕布为平东将军，领徐州牧，并命将军率兵抗击逆贼袁术。 | 吕   布：哈哈，为国出力是本份啊。 | 朝廷派我来协助将军，我愿意当先锋军。 || 袁术已败，在下要回朝复命。 | 吕   布：请将军先随我回军中，待我好好款待后再走不迟。 | （吕布狼子野心，迟早是朝廷大患，不可深交。） | 在下有旨在身，不敢拖延。多谢将军美意，告辞了。
48,4,10,兵围小沛,重步兵*650/重步兵*650/重步兵*650/重骑兵*800/重步兵*700,3450,4-10-1.sc/4-10-3.sc,2,0,,28,11,吕布,步  兵：报！探子来报，徐州城内兵力空虚！ | 好！ | （果然不出所料，吕布围攻刘备，这里果然是座空城） | 传令下去，即刻攻城！ || 吕  布：无耻小人！竟敢偷我徐州！ | 大胆吕布，朝廷不念旧恶，让你领徐州牧，你却不思勤政安民，报效天恩。 | 竟起这无妄之兵，狼子野心，昭然若揭。 | 吕  布：你…… | 哨  兵：报！曹操和刘备领着大军正从汝南袭来，要捉拿将军！
49,4,11,吕布逃亡,强弩兵*350/重步兵*650/重步兵*650/重骑兵*800/铁骑兵*700,3150,4-11-1.sc/4-11-3.sc,2,0,,37,15,吕布 / 陈宫 / 臧霸 / 高顺 / 曹操 / 刘备,陈  宫：小沛是小城，将军不可死守。 | 吕  布：你有何计策？ | 陈  宫：突围到下邳城。下邳防御坚固，粮草充足，只需坚守不出，敌军粮尽后就会退兵。 | 吕  布：好！那我们立刻突围！ | 臧  霸：主公先走，我来挡住他们！ || 禀丞相，吕布逃进了下邳城！ | 刘  备：下邳城易守难攻，这如何是好？ | 曹  操：嗯…… | 曹  操：我已经有妙计，破城就在几日内。
50,4,12,水淹下邳,投石车*220/强弩兵*650/强弩兵*650/铁骑兵*720/重步兵*720,2960,4-12-1.sc/4-12-3.sc,2,0,,23,7,曹操 / 刘备,曹  操：放水！水淹下邳！ | 刘  备：丞相，现在下邳已被水淹，是否开始进攻？ | 曹  操：好。就按之前的计划，我们各自领兵攻城。 | 好！ || 城门已破！随我灭入城去，生擒吕布！
