scene_file,version,declared_len,file_size,declared_count,physical_command_records,opcode_counts_json
1-3-2.sc,1,402,410,13,13,"{""0x01"": 1, ""0x05"": 2, ""0x06"": 4, ""0x08"": 1, ""0x09"": 3, ""0x0a"": 2}"
1-3-3.sc,1,822,830,27,27,"{""0x01"": 1, ""0x06"": 6, ""0x08"": 1, ""0x09"": 6, ""0x0a"": 13}"
1-4-1.sc,1,382,390,15,15,"{""0x01"": 1, ""0x06"": 3, ""0x08"": 1, ""0x09"": 4, ""0x0a"": 6}"
1-4-2.sc,1,524,532,19,19,"{""0x01"": 1, ""0x05"": 2, ""0x06"": 2, ""0x08"": 1, ""0x09"": 11, ""0x0a"": 2}"
1-4-3.sc,1,810,818,27,27,"{""0x01"": 1, ""0x06"": 5, ""0x08"": 1, ""0x09"": 14, ""0x0a"": 6}"
1-5-1.sc,1,814,822,29,29,"{""0x01"": 1, ""0x06"": 5, ""0x08"": 1, ""0x09"": 5, ""0x0a"": 17}"
1-5-2.sc,1,679,687,23,23,"{""0x01"": 1, ""0x06"": 3, ""0x08"": 1, ""0x09"": 6, ""0x0a"": 12}"
1-5-3.sc,1,825,833,31,31,"{""0x01"": 1, ""0x06"": 4, ""0x08"": 1, ""0x09"": 9, ""0x0a"": 16}"
1-6-1.sc,1,590,598,19,19,"{""0x01"": 1, ""0x06"": 5, ""0x08"": 1, ""0x09"": 5, ""0x0a"": 6, ""0x0b"": 1}"
1-6-2.sc,1,282,290,15,15,"{""0x01"": 1, ""0x05"": 2, ""0x06"": 1, ""0x08"": 1, ""0x09"": 7, ""0x0a"": 3}"
1-6-3.sc,1,422,430,14,14,"{""0x01"": 1, ""0x06"": 3, ""0x08"": 1, ""0x09"": 3, ""0x0a"": 3, ""0x0b"": 3}"
1-7-1.sc,1,1436,1444,49,53,"{""0x01"": 7, ""0x06"": 8, ""0x08"": 1, ""0x09"": 5, ""0x0a"": 3, ""0x0b"": 3, ""0x0c"": 22, ""0x0d"": 4}"
1-7-2.sc,1,479,487,22,22,"{""0x01"": 1, ""0x06"": 2, ""0x08"": 1, ""0x09"": 6, ""0x0a"": 12}"
1-7-3.sc,1,317,325,12,12,"{""0x01"": 1, ""0x06"": 1, ""0x08"": 1, ""0x09"": 6, ""0x0a"": 3}"
1-8-1.sc,1,419,427,17,17,"{""0x01"": 1, ""0x05"": 1, ""0x06"": 3, ""0x08"": 1, ""0x09"": 8, ""0x0a"": 3}"
1-8-2.sc,1,635,643,23,23,"{""0x01"": 1, ""0x06"": 3, ""0x08"": 1, ""0x09"": 6, ""0x0a"": 12}"
1-8-3.sc,1,660,668,16,16,"{""0x01"": 1, ""0x06"": 7, ""0x08"": 1, ""0x09"": 4, ""0x0a"": 3}"
1-9-1.sc,1,659,667,27,27,"{""0x01"": 1, ""0x06"": 4, ""0x08"": 1, ""0x09"": 9, ""0x0a"": 12}"
1-9-3.sc,1,518,526,13,13,"{""0x01"": 1, ""0x06"": 4, ""0x08"": 1, ""0x09"": 5, ""0x0a"": 2}"
2-1-1.sc,1,1361,1369,35,40,"{""0x01"": 6, ""0x05"": 1, ""0x06"": 9, ""0x08"": 1, ""0x09"": 3, ""0x0a"": 12, ""0x0b"": 3, ""0x0d"": 5}"
2-1-3.sc,1,1054,1062,42,49,"{""0x01"": 8, ""0x05"": 2, ""0x06"": 5, ""0x08"": 1, ""0x09"": 4, ""0x0a"": 22, ""0x0d"": 7}"
2-10-1.sc,1,1338,1346,47,47,"{""0x01"": 1, ""0x05"": 2, ""0x06"": 7, ""0x08"": 1, ""0x09"": 12, ""0x0a"": 24}"
2-10-3.sc,1,730,738,36,36,"{""0x01"": 1, ""0x06"": 1, ""0x08"": 1, ""0x09"": 9, ""0x0a"": 24}"
2-11-1.sc,1,583,591,22,22,"{""0x01"": 1, ""0x05"": 2, ""0x06"": 4, ""0x08"": 1, ""0x09"": 7, ""0x0a"": 7}"
2-11-3.sc,1,961,969,18,18,"{""0x01"": 1, ""0x06"": 6, ""0x08"": 1, ""0x09"": 7, ""0x0a"": 2, ""0x0b"": 1}"
2-12-1.sc,1,859,867,20,22,"{""0x01"": 4, ""0x06"": 6, ""0x08"": 1, ""0x09"": 9, ""0x0d"": 2}"
2-12-2.sc,1,412,420,22,22,"{""0x01"": 1, ""0x05"": 1, ""0x06"": 1, ""0x08"": 1, ""0x09"": 6, ""0x0a"": 12}"
2-12-3.sc,1,518,526,15,15,"{""0x01"": 1, ""0x06"": 4, ""0x08"": 1, ""0x09"": 6, ""0x0a"": 3}"
2-2-1.sc,1,579,587,14,14,"{""0x01"": 1, ""0x06"": 5, ""0x08"": 1, ""0x09"": 4, ""0x0a"": 2, ""0x0b"": 1}"
2-2-2.sc,1,393,401,11,11,"{""0x01"": 1, ""0x06"": 5, ""0x08"": 1, ""0x09"": 4}"
2-2-3.sc,1,462,470,17,17,"{""0x01"": 1, ""0x06"": 3, ""0x08"": 1, ""0x09"": 3, ""0x0a"": 9}"
2-3-1.sc,1,571,579,26,26,"{""0x01"": 1, ""0x05"": 1, ""0x06"": 2, ""0x08"": 1, ""0x09"": 6, ""0x0a"": 15}"
2-3-3.sc,1,486,494,15,15,"{""0x01"": 1, ""0x06"": 4, ""0x08"": 1, ""0x09"": 6, ""0x0a"": 3}"
2-4-1.sc,1,582,590,19,19,"{""0x01"": 1, ""0x05"": 1, ""0x06"": 5, ""0x08"": 1, ""0x09"": 5, ""0x0a"": 5, ""0x0b"": 1}"
2-4-3.sc,1,1066,1074,42,45,"{""0x01"": 4, ""0x05"": 2, ""0x06"": 3, ""0x08"": 1, ""0x09"": 12, ""0x0a"": 20, ""0x0d"": 3}"
2-5-1.sc,1,550,558,19,19,"{""0x01"": 1, ""0x05"": 1, ""0x06"": 4, ""0x08"": 1, ""0x09"": 5, ""0x0a"": 7}"
2-5-2.sc,1,744,752,33,33,"{""0x01"": 1, ""0x05"": 4, ""0x06"": 3, ""0x09"": 12, ""0x0a"": 13}"
2-5-3.sc,1,601,609,23,26,"{""0x01"": 4, ""0x06"": 3, ""0x08"": 1, ""0x09"": 4, ""0x0a"": 10, ""0x0b"": 1, ""0x0d"": 3}"
2-6-1.sc,1,1406,1414,56,56,"{""0x01"": 1, ""0x05"": 8, ""0x06"": 8, ""0x08"": 1, ""0x09"": 12, ""0x0a"": 26}"
2-6-2.sc,1,505,513,18,18,"{""0x01"": 1, ""0x06"": 3, ""0x08"": 1, ""0x09"": 8, ""0x0a"": 5}"
2-6-3.sc,1,416,424,17,17,"{""0x01"": 1, ""0x06"": 2, ""0x08"": 1, ""0x09"": 8, ""0x0a"": 5}"
2-7-1.sc,1,447,455,17,17,"{""0x01"": 1, ""0x05"": 1, ""0x06"": 3, ""0x08"": 1, ""0x09"": 9, ""0x0a"": 2}"
2-7-2.sc,1,366,374,17,17,"{""0x01"": 1, ""0x05"": 1, ""0x06"": 1, ""0x08"": 1, ""0x09"": 8, ""0x0a"": 5}"
2-7-3.sc,1,534,542,11,11,"{""0x01"": 1, ""0x06"": 3, ""0x08"": 1, ""0x09"": 6}"
2-8-1.sc,1,1130,1138,41,43,"{""0x01"": 3, ""0x05"": 1, ""0x06"": 5, ""0x08"": 1, ""0x09"": 10, ""0x0a"": 21, ""0x0d"": 2}"
2-8-12.sc,1,1130,1138,41,43,"{""0x01"": 3, ""0x05"": 1, ""0x06"": 5, ""0x08"": 1, ""0x09"": 10, ""0x0a"": 21, ""0x0d"": 2}"
2-8-3.sc,1,929,937,44,44,"{""0x01"": 1, ""0x06"": 2, ""0x08"": 1, ""0x09"": 12, ""0x0a"": 28}"
2-9-1.sc,1,1183,1191,48,51,"{""0x01"": 4, ""0x05"": 1, ""0x06"": 4, ""0x08"": 1, ""0x09"": 12, ""0x0a"": 26, ""0x0d"": 3}"
2-9-3.sc,1,1105,1113,45,45,"{""0x01"": 1, ""0x06"": 3, ""0x08"": 1, ""0x09"": 12, ""0x0a"": 28}"
3-1-1.sc,1,630,638,26,28,"{""0x01"": 3, ""0x05"": 1, ""0x06"": 3, ""0x08"": 1, ""0x09"": 6, ""0x0a"": 12, ""0x0d"": 2}"
3-1-3.sc,1,416,424,14,14,"{""0x01"": 1, ""0x06"": 3, ""0x08"": 1, ""0x09"": 6, ""0x0a"": 3}"
3-10-1.sc,1,484,492,21,21,"{""0x01"": 1, ""0x05"": 1, ""0x06"": 2, ""0x08"": 1, ""0x09"": 4, ""0x0a"": 12}"
3-10-3.sc,1,547,555,20,20,"{""0x01"": 1, ""0x06"": 3, ""0x08"": 1, ""0x09"": 4, ""0x0a"": 11}"
3-11-1.sc,1,846,854,25,25,"{""0x01"": 1, ""0x05"": 1, ""0x06"": 6, ""0x08"": 1, ""0x09"": 4, ""0x0a"": 12}"
3-11-3.sc,1,437,445,18,18,"{""0x01"": 1, ""0x06"": 2, ""0x08"": 1, ""0x09"": 8, ""0x0a"": 5, ""0x0b"": 1}"
3-12-1.sc,1,720,728,31,34,"{""0x01"": 4, ""0x05"": 2, ""0x06"": 4, ""0x08"": 1, ""0x09"": 8, ""0x0a"": 11, ""0x0b"": 1, ""0x0d"": 3}"
3-12-3.sc,1,567,575,21,21,"{""0x01"": 1, ""0x06"": 4, ""0x08"": 1, ""0x09"": 8, ""0x0a"": 7}"
3-13-1.sc,1,1032,1040,43,46,"{""0x01"": 4, ""0x05"": 3, ""0x06"": 5, ""0x08"": 1, ""0x09"": 8, ""0x0a"": 22, ""0x0d"": 3}"
3-13-3.sc,1,752,760,30,30,"{""0x01"": 1, ""0x06"": 4, ""0x08"": 1, ""0x09"": 11, ""0x0a"": 13}"
3-14-1.sc,1,786,794,23,23,"{""0x01"": 1, ""0x06"": 7, ""0x08"": 1, ""0x09"": 8, ""0x0a"": 6}"
3-14-2.sc,1,370,378,17,17,"{""0x01"": 1, ""0x05"": 1, ""0x06"": 3, ""0x08"": 1, ""0x09"": 5, ""0x0a"": 6}"
3-14-3.sc,1,790,798,31,31,"{""0x01"": 1, ""0x06"": 3, ""0x08"": 1, ""0x09"": 9, ""0x0a"": 17}"
3-2-1.sc,1,1262,1270,41,42,"{""0x01"": 2, ""0x05"": 1, ""0x06"": 9, ""0x08"": 1, ""0x09"": 7, ""0x0a"": 21, ""0x0d"": 1}"
3-2-3.sc,1,401,409,13,13,"{""0x01"": 1, ""0x06"": 2, ""0x08"": 1, ""0x09"": 6, ""0x0a"": 3}"
3-3-1.sc,1,647,655,26,30,"{""0x01"": 5, ""0x05"": 4, ""0x06"": 3, ""0x08"": 1, ""0x09"": 7, ""0x0a"": 6, ""0x0d"": 4}"
3-3-3.sc,1,429,437,14,14,"{""0x01"": 1, ""0x06"": 2, ""0x08"": 1, ""0x09"": 7, ""0x0a"": 3}"
3-4-1.sc,1,436,444,19,21,"{""0x01"": 3, ""0x05"": 1, ""0x06"": 2, ""0x08"": 1, ""0x09"": 6, ""0x0a"": 6, ""0x0d"": 2}"
3-4-3.sc,1,392,400,13,13,"{""0x01"": 1, ""0x06"": 3, ""0x08"": 1, ""0x09"": 6, ""0x0a"": 2}"
3-5-1.sc,1,830,838,26,28,"{""0x01"": 3, ""0x05"": 2, ""0x06"": 6, ""0x08"": 1, ""0x09"": 8, ""0x0a"": 6, ""0x0d"": 2}"
3-5-3.sc,1,395,403,15,15,"{""0x01"": 1, ""0x06"": 2, ""0x08"": 1, ""0x09"": 7, ""0x0a"": 4}"
3-6-1.sc,1,744,752,23,26,"{""0x01"": 4, ""0x06"": 6, ""0x08"": 1, ""0x09"": 6, ""0x0a"": 3, ""0x0b"": 3, ""0x0d"": 3}"
3-6-3.sc,1,450,458,19,19,"{""0x01"": 1, ""0x06"": 2, ""0x08"": 1, ""0x09"": 8, ""0x0a"": 7}"
3-7-1.sc,1,1095,1103,43,43,"{""0x01"": 1, ""0x05"": 1, ""0x06"": 5, ""0x08"": 1, ""0x09"": 9, ""0x0a"": 26}"
3-7-3.sc,1,550,558,20,20,"{""0x01"": 1, ""0x06"": 3, ""0x08"": 1, ""0x09"": 6, ""0x0a"": 9}"
3-8-1.sc,1,311,319,10,10,"{""0x01"": 1, ""0x06"": 3, ""0x08"": 1, ""0x09"": 3, ""0x0a"": 2}"
3-8-3.sc,1,531,539,17,17,"{""0x01"": 1, ""0x06"": 4, ""0x08"": 1, ""0x09"": 3, ""0x0a"": 8}"
3-9-1.sc,1,711,719,28,31,"{""0x01"": 4, ""0x05"": 1, ""0x06"": 4, ""0x08"": 1, ""0x09"": 9, ""0x0a"": 8, ""0x0b"": 1, ""0x0d"": 3}"
3-9-3.sc,1,622,630,27,27,"{""0x01"": 1, ""0x06"": 3, ""0x08"": 1, ""0x09"": 7, ""0x0a"": 15}"
4-1-1.sc,1,468,476,11,11,"{""0x01"": 1, ""0x06"": 4, ""0x08"": 1, ""0x09"": 2, ""0x0a"": 3}"
4-1-2.sc,1,771,779,27,30,"{""0x01"": 4, ""0x05"": 1, ""0x06"": 5, ""0x08"": 1, ""0x09"": 10, ""0x0a"": 6, ""0x0d"": 3}"
4-1-3.sc,1,686,694,24,27,"{""0x01"": 4, ""0x05"": 2, ""0x06"": 4, ""0x08"": 1, ""0x09"": 6, ""0x0a"": 7, ""0x0d"": 3}"
4-10-1.sc,1,364,372,10,10,"{""0x01"": 1, ""0x06"": 4, ""0x08"": 1, ""0x09"": 2, ""0x0a"": 2}"
4-10-3.sc,1,724,732,18,18,"{""0x01"": 1, ""0x06"": 6, ""0x08"": 1, ""0x09"": 5, ""0x0a"": 5}"
4-11-1.sc,1,797,805,26,26,"{""0x01"": 1, ""0x05"": 1, ""0x06"": 5, ""0x08"": 1, ""0x09"": 7, ""0x0a"": 11}"
4-11-3.sc,1,395,403,11,11,"{""0x01"": 1, ""0x06"": 4, ""0x08"": 1, ""0x09"": 3, ""0x0a"": 2}"
4-12-1.sc,1,424,432,11,13,"{""0x01"": 3, ""0x06"": 4, ""0x08"": 1, ""0x09"": 3, ""0x0d"": 2}"
4-12-3.sc,1,224,232,12,12,"{""0x01"": 1, ""0x06"": 1, ""0x08"": 1, ""0x09"": 3, ""0x0a"": 3, ""0x0b"": 3}"
4-13-1.sc,1,686,694,20,22,"{""0x01"": 3, ""0x05"": 1, ""0x06"": 5, ""0x08"": 1, ""0x09"": 5, ""0x0a"": 5, ""0x0d"": 2}"
4-13-3.sc,1,861,869,22,22,"{""0x01"": 1, ""0x06"": 8, ""0x08"": 1, ""0x09"": 4, ""0x0a"": 8}"
4-2-1.sc,1,588,596,13,13,"{""0x01"": 1, ""0x06"": 5, ""0x08"": 1, ""0x09"": 2, ""0x0a"": 4}"
4-2-3.sc,1,486,494,12,12,"{""0x01"": 1, ""0x06"": 4, ""0x08"": 1, ""0x09"": 4, ""0x0a"": 2}"
4-3-1.sc,1,429,437,22,22,"{""0x01"": 1, ""0x05"": 1, ""0x06"": 1, ""0x08"": 1, ""0x09"": 6, ""0x0a"": 12}"
4-3-3.sc,1,508,516,20,20,"{""0x01"": 1, ""0x06"": 3, ""0x08"": 1, ""0x09"": 4, ""0x0a"": 10, ""0x0b"": 1}"
4-4-1.sc,1,631,639,15,15,"{""0x01"": 1, ""0x06"": 6, ""0x08"": 1, ""0x09"": 3, ""0x0a"": 3, ""0x0b"": 1}"
4-4-2.sc,1,479,487,21,24,"{""0x01"": 4, ""0x05"": 2, ""0x06"": 2, ""0x08"": 1, ""0x09"": 4, ""0x0a"": 8, ""0x0d"": 3}"
4-4-3.sc,1,737,745,27,27,"{""0x01"": 1, ""0x06"": 4, ""0x08"": 1, ""0x09"": 9, ""0x0a"": 12}"
4-5-1.sc,1,358,366,15,15,"{""0x01"": 1, ""0x06"": 2, ""0x08"": 1, ""0x09"": 6, ""0x0a"": 5}"
4-5-3.sc,1,480,488,13,13,"{""0x01"": 1, ""0x06"": 5, ""0x08"": 1, ""0x09"": 4, ""0x0a"": 2}"
4-6-1.sc,1,938,946,27,27,"{""0x01"": 1, ""0x06"": 7, ""0x08"": 1, ""0x09"": 6, ""0x0a"": 12}"
4-6-3.sc,1,568,576,16,16,"{""0x01"": 1, ""0x06"": 4, ""0x08"": 1, ""0x09"": 4, ""0x0a"": 6}"
4-7-1.sc,1,323,331,9,9,"{""0x01"": 1, ""0x06"": 3, ""0x08"": 1, ""0x09"": 2, ""0x0a"": 2}"
4-7-3.sc,1,247,255,8,8,"{""0x01"": 1, ""0x06"": 2, ""0x08"": 1, ""0x09"": 4}"
4-8-1.sc,1,325,333,10,10,"{""0x01"": 1, ""0x06"": 3, ""0x08"": 1, ""0x09"": 4, ""0x0a"": 1}"
4-8-3.sc,1,491,499,15,15,"{""0x01"": 1, ""0x06"": 3, ""0x08"": 1, ""0x09"": 4, ""0x0a"": 6}"
4-9-1.sc,1,642,650,12,12,"{""0x01"": 1, ""0x06"": 6, ""0x08"": 1, ""0x09"": 3, ""0x0a"": 1}"
4-9-2.sc,1,574,582,12,12,"{""0x01"": 1, ""0x06"": 6, ""0x08"": 1, ""0x09"": 2, ""0x0a"": 2}"
4-9-3.sc,1,455,463,10,10,"{""0x01"": 1, ""0x06"": 4, ""0x08"": 1, ""0x09"": 2, ""0x0a"": 2}"
5-1-1.sc,1,761,769,14,15,"{""0x01"": 2, ""0x06"": 7, ""0x08"": 1, ""0x09"": 4, ""0x0d"": 1}"
5-1-2.sc,1,286,294,10,10,"{""0x01"": 1, ""0x06"": 2, ""0x08"": 1, ""0x09"": 4, ""0x0a"": 2}"
5-1-3.sc,1,1503,1511,47,50,"{""0x01"": 4, ""0x05"": 1, ""0x06"": 12, ""0x08"": 1, ""0x09"": 6, ""0x0a"": 23, ""0x0d"": 3}"
5-10-1.sc,1,862,870,36,39,"{""0x01"": 4, ""0x05"": 2, ""0x06"": 4, ""0x08"": 1, ""0x09"": 9, ""0x0a"": 16, ""0x0d"": 3}"
5-10-3.sc,1,641,649,19,19,"{""0x01"": 1, ""0x06"": 5, ""0x08"": 1, ""0x09"": 6, ""0x0a"": 6}"
5-2-1.sc,1,909,917,20,20,"{""0x01"": 1, ""0x06"": 8, ""0x08"": 1, ""0x09"": 4, ""0x0a"": 6}"
5-2-3.sc,1,542,550,11,11,"{""0x01"": 1, ""0x06"": 5, ""0x08"": 1, ""0x09"": 2, ""0x0a"": 2}"
5-3-1.sc,1,629,637,19,20,"{""0x01"": 2, ""0x06"": 4, ""0x08"": 1, ""0x09"": 4, ""0x0a"": 8, ""0x0d"": 1}"
5-3-3.sc,1,562,570,13,14,"{""0x01"": 2, ""0x06"": 5, ""0x08"": 1, ""0x09"": 3, ""0x0a"": 2, ""0x0d"": 1}"
5-4-1.sc,1,946,954,13,13,"{""0x01"": 1, ""0x06"": 9, ""0x08"": 1, ""0x09"": 2}"
5-4-2.sc,1,561,569,21,23,"{""0x01"": 3, ""0x05"": 1, ""0x06"": 5, ""0x08"": 1, ""0x09"": 5, ""0x0a"": 6, ""0x0d"": 2}"
5-4-3.sc,1,1509,1517,31,31,"{""0x01"": 1, ""0x05"": 1, ""0x06"": 15, ""0x08"": 1, ""0x09"": 3, ""0x0a"": 10}"
5-5-1.sc,1,508,516,15,15,"{""0x01"": 1, ""0x06"": 4, ""0x08"": 1, ""0x09"": 5, ""0x0a"": 4}"
5-5-3.sc,1,770,778,17,17,"{""0x01"": 1, ""0x06"": 7, ""0x08"": 1, ""0x09"": 4, ""0x0a"": 4}"
5-6-1.sc,1,702,710,11,11,"{""0x01"": 1, ""0x06"": 6, ""0x08"": 1, ""0x09"": 3}"
5-6-2.sc,1,599,607,25,26,"{""0x01"": 2, ""0x05"": 1, ""0x06"": 3, ""0x08"": 1, ""0x09"": 6, ""0x0a"": 12, ""0x0d"": 1}"
5-6-3.sc,1,646,654,13,14,"{""0x01"": 2, ""0x06"": 5, ""0x08"": 1, ""0x09"": 3, ""0x0a"": 2, ""0x0d"": 1}"
5-7-1.sc,1,334,342,10,10,"{""0x01"": 1, ""0x06"": 2, ""0x08"": 1, ""0x09"": 4, ""0x0a"": 2}"
5-7-2.sc,1,526,534,19,20,"{""0x01"": 2, ""0x05"": 1, ""0x06"": 3, ""0x08"": 1, ""0x09"": 4, ""0x0a"": 8, ""0x0d"": 1}"
5-7-3.sc,1,509,517,11,11,"{""0x01"": 1, ""0x06"": 4, ""0x08"": 1, ""0x09"": 5}"
5-8-1.sc,1,779,787,23,27,"{""0x01"": 5, ""0x05"": 1, ""0x06"": 8, ""0x08"": 1, ""0x09"": 5, ""0x0a"": 3, ""0x0d"": 4}"
5-8-3.sc,1,704,712,15,15,"{""0x01"": 1, ""0x06"": 7, ""0x08"": 1, ""0x09"": 4, ""0x0a"": 2}"
5-9-1.sc,1,1033,1041,27,31,"{""0x01"": 5, ""0x05"": 1, ""0x06"": 7, ""0x08"": 1, ""0x09"": 5, ""0x0a"": 8, ""0x0d"": 4}"
5-9-3.sc,1,319,327,13,13,"{""0x01"": 1, ""0x06"": 2, ""0x08"": 1, ""0x09"": 4, ""0x0a"": 5}"
6-1-1.sc,1,1475,1483,38,40,"{""0x01"": 3, ""0x05"": 2, ""0x06"": 9, ""0x08"": 1, ""0x09"": 7, ""0x0a"": 15, ""0x0b"": 1, ""0x0d"": 2}"
6-1-3.sc,1,502,510,16,16,"{""0x01"": 1, ""0x06"": 3, ""0x08"": 1, ""0x09"": 4, ""0x0a"": 7}"
6-10-1.sc,1,471,479,20,24,"{""0x01"": 5, ""0x05"": 2, ""0x06"": 2, ""0x08"": 1, ""0x09"": 7, ""0x0a"": 3, ""0x0d"": 4}"
6-10-3.sc,1,558,566,13,13,"{""0x01"": 1, ""0x06"": 5, ""0x08"": 1, ""0x09"": 3, ""0x0a"": 3}"
6-11-1.sc,1,813,821,16,16,"{""0x01"": 1, ""0x06"": 8, ""0x08"": 1, ""0x09"": 3, ""0x0a"": 3}"
6-11-3.sc,1,322,330,11,11,"{""0x01"": 1, ""0x06"": 3, ""0x08"": 1, ""0x09"": 4, ""0x0a"": 2}"
6-2-1.sc,1,733,741,35,37,"{""0x01"": 3, ""0x05"": 3, ""0x06"": 3, ""0x08"": 1, ""0x09"": 9, ""0x0a"": 16, ""0x0d"": 2}"
6-2-3.sc,1,616,624,21,21,"{""0x01"": 1, ""0x05"": 1, ""0x06"": 4, ""0x08"": 1, ""0x09"": 4, ""0x0a"": 10}"
6-3-1.sc,1,492,500,23,23,"{""0x01"": 1, ""0x05"": 2, ""0x06"": 2, ""0x08"": 1, ""0x09"": 5, ""0x0a"": 12}"
6-3-3.sc,1,846,854,25,29,"{""0x01"": 5, ""0x05"": 2, ""0x06"": 7, ""0x08"": 1, ""0x09"": 5, ""0x0a"": 5, ""0x0d"": 4}"
6-4-1.sc,1,787,795,21,23,"{""0x01"": 3, ""0x06"": 5, ""0x08"": 1, ""0x09"": 5, ""0x0a"": 7, ""0x0d"": 2}"
6-4-3.sc,1,248,256,10,10,"{""0x01"": 1, ""0x06"": 2, ""0x08"": 1, ""0x09"": 2, ""0x0a"": 4}"
6-5-1.sc,1,624,632,23,25,"{""0x01"": 3, ""0x05"": 3, ""0x06"": 4, ""0x08"": 1, ""0x09"": 4, ""0x0a"": 7, ""0x0b"": 1, ""0x0d"": 2}"
6-5-3.sc,1,1091,1099,25,25,"{""0x01"": 1, ""0x06"": 10, ""0x08"": 1, ""0x09"": 3, ""0x0a"": 10}"
6-6-1.sc,1,943,951,19,21,"{""0x01"": 3, ""0x05"": 1, ""0x06"": 7, ""0x08"": 1, ""0x09"": 3, ""0x0a"": 3, ""0x0b"": 1, ""0x0d"": 2}"
6-6-2.sc,1,471,479,9,9,"{""0x01"": 1, ""0x06"": 4, ""0x08"": 1, ""0x09"": 2, ""0x0a"": 1}"
6-6-3.sc,1,1953,1961,39,41,"{""0x01"": 4, ""0x05"": 1, ""0x06"": 20, ""0x08"": 1, ""0x09"": 4, ""0x0a"": 7, ""0x0b"": 2, ""0x0d"": 2}"
6-7-1.sc,1,788,796,19,21,"{""0x01"": 3, ""0x06"": 7, ""0x08"": 1, ""0x09"": 4, ""0x0a"": 4, ""0x0d"": 2}"
6-7-3.sc,1,307,315,10,10,"{""0x01"": 1, ""0x06"": 2, ""0x08"": 1, ""0x09"": 3, ""0x0a"": 3}"
6-8-1.sc,1,584,592,23,23,"{""0x01"": 1, ""0x05"": 1, ""0x06"": 5, ""0x08"": 1, ""0x09"": 5, ""0x0a"": 10}"
6-8-3.sc,1,453,461,18,18,"{""0x01"": 1, ""0x06"": 3, ""0x08"": 1, ""0x09"": 4, ""0x0a"": 9}"
6-9-1.sc,1,923,931,20,22,"{""0x01"": 3, ""0x06"": 10, ""0x08"": 1, ""0x09"": 4, ""0x0a"": 2, ""0x0d"": 2}"
6-9-3.sc,1,297,305,13,13,"{""0x01"": 1, ""0x05"": 1, ""0x06"": 2, ""0x08"": 1, ""0x09"": 2, ""0x0a"": 6}"
7-1-1.sc,1,731,739,18,20,"{""0x01"": 3, ""0x05"": 1, ""0x06"": 6, ""0x08"": 1, ""0x09"": 3, ""0x0a"": 3, ""0x0b"": 1, ""0x0d"": 2}"
7-1-3.sc,1,450,458,10,10,"{""0x01"": 1, ""0x06"": 4, ""0x08"": 1, ""0x09"": 2, ""0x0a"": 2}"
7-10-1.sc,1,406,414,11,11,"{""0x01"": 1, ""0x06"": 4, ""0x08"": 1, ""0x09"": 3, ""0x0a"": 2}"
7-10-3.sc,1,537,545,15,15,"{""0x01"": 1, ""0x06"": 4, ""0x08"": 1, ""0x09"": 4, ""0x0a"": 5}"
