id,type,field_a,field_b,tail,text
28,100,27,2,-1,国富民强是每个国家所追求的最高目标，想要国家强盛必须正确合理的治理好国家。国民实力的发展，与国家官员的细致管理紧密相连，不可忽视。%n在游戏中，每隔150小时会进行一次官职轮选，官职大小的评判标准则取决于玩家的战功与贡献数值。贡献与战功的主要来源有以下几种。%n贡献：1、培养徒弟根据徒弟提升等级而获得不等的贡献值奖励，推荐招收等级较低的玩家，这样等级提升范围增大，贡献值奖励更多。2、修缮城墙与道路根据投入比例获得贡献值。3、国库捐献资源获得贡献值奖励。%n战功：1、通过攻占敌国或NPC城池获得大量战功。2、击灭敌国单位可获得战功，阻击敌军，驻守城池，驻守封地，但对于本国玩家没有战功奖励。3、战场可获得战功，但官方目前尚未开放。%n以上为战功贡献的主要获得方式，经本人与朋友测试，丞相官职根据贡献大小评定，大都督与将官官职依据战功作为标准评判。%n在经过官职选拔后，小部分玩家即可获得国家职位，每日可领取一定份额的资源俸禄，数额依据官职大小有所不同。其中大都督与丞相可以支配国家资源，可以选择补助玩家，但切忌不可肆意发放，应该有一条合理的发放制度，如参照出勤率，战功，贡献等等作为标准发放不失为一个好办法。%n提升国家科技是造福全国国民的好事，科技的提升会给予国民更高的增益加成，但耗资巨大，可以根据国库状况而选择。%n此外，重点在于城池道路与城墙的修缮，由于城墙可以根据数值大小大幅提升守城部队的战斗力，在以少战多时保证守方不落下风，因此，必要时应考虑将本国与他国领土接壤城池的城墙修缮，让防守的压力大大减轻。而道路的提高，可以提升军队行军速度，正所谓兵贵神速，无论是出兵还是防守，拥有便捷快利的交通往往是克敌制胜的必要条件。%n一个良好的国家战略能让国民更为紧密团结，官职人员应该协商制定适合国家的发展战略，对国家人员进行有效的管理，而不让国家成为一盘散沙，这才是强国之道的重中之重。国家官员要细致管理国民行为，如禁止肆意夺取，禁止国民肆意出兵。%n国家外交，善于与其他国家发展关系也是保障国家安全的保证。在国力空虚，面临强敌入侵时，寻求他国盟友携手对抗强敌也不失为一个缓解战场压力的好办法，因此，灵活利用外交关系寻求帮助寻求支援也是一种寻求发展的必要手段。%n以上只是小妹短期总结的大体方针，大家可视具体情况再做参考。%n——冷如水（北方二区 ）
30,1,,,,
31,2,30,1,-1,百人攻城 热血沸腾
32,2,30,1,-1,万人国战 攻守有道
33,2,30,1,-1,生产建设 厉兵秣马
34,2,30,1,-1,出征作战 建功立业
35,2,30,1,-1,快捷操作 指挥若定
36,100,31,3,-1,游戏截图火爆征集中！详情请到游戏中查阅相关%cffff00活动任务%的具体说明！
37,100,32,3,-1,游戏截图火爆征集中！详情请到游戏中查阅相关%cffff01活动任务%的具体说明！
38,100,33,3,-1,游戏截图火爆征集中！详情请到游戏中查阅相关%cffff02活动任务%的具体说明！
39,100,34,3,-1,游戏截图火爆征集中！详情请到游戏中查阅相关%cffff03活动任务%的具体说明！
40,100,35,3,-1,游戏截图火爆征集中！详情请到游戏中查阅相关%cffff04活动任务%的具体说明！
50,1,,,,
51,2,50,1,-1,千里争锋 赢在起跑
52,2,50,1,-1,以逸代劳 厚积薄发
53,2,50,1,-1,以战养战 兵强马壮
54,2,50,1,-1,巧妙用兵 以弱胜强
55,2,50,1,-1,百变战术 以少胜多
56,2,50,1,-1,知已知彼 百战百胜
57,2,50,1,-1,人心所向 仁者无敌
58,100,51,2,-1,千里争锋 赢在起跑
59,100,52,2,-1,精品攻略火爆征集中！详情请到游戏中查阅相关%cffff01活动任务%的具体说明！
60,100,53,2,-1,精品攻略火爆征集中！详情请到游戏中查阅相关%cffff02活动任务%的具体说明！
61,100,54,2,-1,精品攻略火爆征集中！详情请到游戏中查阅相关%cffff03活动任务%的具体说明！
62,100,55,2,-1,巧妙运用战术以弱胜强，夺取敌人城池：%n在你的兵力比对方弱时，切记不可和对方硬拼，我们要善于利用对方心理，打乱对方部署。%n第一步：徉攻！首先，用自己的二线队伍攻打对方的一个城（这城不是我们的目标）！这个消息可以大范围的辐射出去，最好让对方的间谍知晓，动静越大越好，我们可以每个军团成员出一组部队，给对方造成要全力攻打的假像！好了，这下，对方军团里肯定乱作一团了，调兵谴将的等着我们！第一步目地达到！%n第二步：暗渡成仓！我们把军团主力战斗人员结拜，这是为了用结拜聊天，以确保消息绝对保密！我们偷偷的把主战力量迁到我们要攻打的城池附近，越近越好，然后等吧，现在时间还没到！%n第三步：兵不厌诈！大概半个小时后，统一把佯攻队伍撤退，立马再次发动对一个城的进攻！注意：不是用主力！主力一直留在目标城附近！这时，对方一定会乱上加乱，大呼上当！但是对方兵力已经派出驻防了，回防明显时间不够，咋办！他们就只好派出预备队了！很好，目地达到！%n第五步：直捣黄龙！半小时后直接派主力攻打目标城！这下不用想了，只要不是太差！必胜！%n——帝微灬轩辕鸿天（北方一区）
63,100,56,2,-1,精品攻略火爆征集中！详情请到游戏中查阅相关%cffff05活动任务%的具体说明！
64,100,57,2,-1,精品攻略火爆征集中！详情请到游戏中查阅相关%cffff06活动任务%的具体说明！
70,1,,,,
71,2,70,1,-1,"魏蜀吴联合攻汉,1136名将领参战"
72,2,70,1,-1,纯骁骑 VS 步弓车
73,2,70,1,-1,最精准的同时到达，一秒不差
74,2,70,1,-1,最杯具的攻城战，最后一个小兵
75,2,70,1,-1,以少胜多
76,100,71,4,-1,暂无数据，敬请期待！
77,100,72,4,-1,暂无数据，敬请期待！
78,100,73,4,-1,暂无数据，敬请期待！
79,100,74,4,-1,暂无数据，敬请期待！
80,100,75,4,-1,暂无数据，敬请期待！
81,1,,,,
1000,0,unknown,,,03 e8 00 ff ff 00 00 22 68 74 74 70 3a 2f 2f 64 65 76 2e 31 37 6b 69 6e 67 2e 63 6e 2f 73 68 69 73 68 6f 75 74 75 70 69 61 6e ff ff
