武将,突围,属性,国家
雍闿,90,攻骑,野
杨怀,90,攻骑,野
向朗,90,攻骑,野
夏侯楙,90,攻骑,野
夏侯霸,90,攻骑,野
武安国,90,攻骑,野
谭雄,90,攻骑,野
王颀,90,攻骑,野
骆统,90,攻骑,野
吕义,90,攻骑,野
陆绩,90,攻骑,野
刘徭,90,攻骑,野
刘循,90,攻骑,野
贾逵,90,攻骑,野
桓范,90,攻骑,野
韩忠,90,攻骑,野
韩浩,90,攻骑,野
傅婴,90,攻骑,野
董允,90,攻骑,野
丁原,90,攻骑,野
曹羲,90,攻骑,野
何义,90,攻骑,燕
公孙恭,90,攻骑,燕
牛金,90,攻骑,魏
夏侯恩,90,攻骑,魏
曹爽,90,攻骑,魏
曹纯,90,攻骑,魏
关索,90,攻骑,蜀
张翼,90,攻骑,蜀
魏续,90,攻骑,秦
宋宪,90,攻骑,秦
马铁,90,攻骑,羌
木鹿大王,90,攻骑,蛮
杨锋,90,攻骑,蛮
朵思大王,90,攻骑,蛮
曹豹,90,攻骑,鲁
車胄,90,攻骑,鲁
高沛,90,攻骑,晋
潘凤,90,攻骑,胡
田畴,90,攻骑,胡
皇甫嵩,90,攻骑,汉
何进,90,攻骑,汉
赵范,90,攻骑,楚
傅巽,90,攻骑,楚
赵弘,90,攻骑,陈
韩暹,90,攻骑,陈
纪灵,90,攻骑,陈
张嶷,90,攻弓 ,蜀
吕旷,90,攻弓,赵
蒋义渠,90,攻弓,赵
吳兰,90,攻弓,野
张宝,90,攻弓,野
卓膺,90,攻弓,野
朱桓,90,攻弓,野
张允,90,攻弓,野
张梁,90,攻弓,野
诸葛均,90,攻弓,野
杨义,90,攻弓,野
徐质,90,攻弓,野
向宠,90,攻弓,野
薛综,90,攻弓,野
夏侯和,90,攻弓,野
吳纲,90,攻弓,野
夏侯德,90,攻弓,野
王累,90,攻弓,野
王甫,90,攻弓,野
文鴦,90,攻弓,野
孙桓,90,攻弓,野
司马孚,90,攻弓,野
谯周,90,攻弓,野
陈式,90,攻弓,野
司马炎,90,攻弓,野
刘焉,90,攻弓,野
刘岱,90,攻弓,野
沮鹄,90,攻弓,野
蒋济,90,攻弓,野
顾雍,90,攻弓,野
邓忠,90,攻弓,野
陈震,90,攻弓,野
陈矫,90,攻弓,野
傅干,90,攻弓,野
程秉,90,攻弓,燕
严輿,90,攻弓,燕
陆凯,90,攻弓,燕
公孙康,90,攻弓,燕
贾范,90,攻弓,燕
张绍,90,攻弓,吴
孙朗,90,攻弓,吴
孙登,90,攻弓,吴
孙皓,90,攻弓,吴
凌操,90,攻弓,吴
孙翊,90,攻弓,吴
孙韶,90,攻弓,吴
孙静,90,攻弓,吴
孙仁,90,攻弓,吴
曹芳,90,攻弓,魏
曹昂,90,攻弓,魏
曹睿,90,攻弓,魏
孙乾,90,攻弓,蜀
简雍,90,攻弓,蜀
曹性,90,攻弓,秦
梁兴,90,攻弓,羌
樊稠,90,攻弓,羌
马休,90,攻弓,羌
兀突骨,90,攻弓,蛮
董荼那,90,攻弓,蛮
阿会喃,90,攻弓,蛮
孟优,90,攻弓,蛮
张闿,90,攻弓,鲁
管亥,90,攻弓,鲁
笮融,90,攻弓,鲁
杨松,90,攻弓,晋
杨秋,90,攻弓,晋
申耽,90,攻弓,晋
马玩,90,攻弓,晋
张任,90,攻弓,晋
李鹏,90,攻弓,胡
曹化,90,攻弓,胡
步鹭,90,攻弓,汉
朱隽,90,攻弓,汉
耿纪,90,攻弓,汉
苏飞,90,攻弓,楚
刘贤,90,攻弓,楚
刘度,90,攻弓,楚
黄祖,90,攻弓,楚
蔡中,90,攻弓,楚
鮑隆,90,攻弓,楚
刘琮,90,攻弓,楚
袁胤,90,攻弓,陈
雷薄,90,攻弓,陈
陈横,90,攻弓,陈
吕翔,90,攻步,赵
张达,90,攻步,野
吳班,90,攻步,野
王粲,90,攻步,野
全端,90,攻步,野
秦宓,90,攻步,野
裴元绍,90,攻步,野
刘辟,90,攻步,野
刘巴,90,攻步,野
李恢,90,攻步,野
黄权,90,攻步,野
贾充,90,攻步,野
龚都,90,攻步,野
傅彤,90,攻步,野
傅士仁,90,攻步,野
董和,90,攻步,野
卞喜,90,攻步,野
董衡,90,攻步,野
龚景,90,攻步,燕
韩当,90,攻步,吴
赵统,90,攻步,蜀
赵广,90,攻步,蜀
董旻,90,攻步,秦
李傕,90,攻步,秦
金环三结,90,攻步,蛮
杜远,90,攻步,鲁
邓茂,90,攻步,胡
杨彪,90,攻步,汉
金旋,90,攻步,楚
霍峻,90,攻步,楚
蔡和,90,攻步,楚
张英,90,攻步,陈
