method,method_code_off,offset,read_call,block,target_or_field,note,raw_instruction
Lo/a;->b6(ILjava/lang/String;I)V,0x23ffe0,0x0178,readInt(Ljava/lang/String;)I,b6.common,Lo/a.vo[type][idx],对象 int 参数 #3。,"v7, LscriptAPI/baseAPI/BaseIO;->readInt(Ljava/lang/String;)I"
Lo/a;->b6(ILjava/lang/String;I)V,0x23ffe0,0x018c,readByte(Ljava/lang/String;)B,b6.common,Lo/a.wo[type][idx],对象 byte 参数 #4。,"v7, LscriptAPI/baseAPI/BaseIO;->readByte(Ljava/lang/String;)B"
Lo/a;->b6(ILjava/lang/String;I)V,0x23ffe0,0x01a0,readByte(Ljava/lang/String;)B,b6.common,Lo/a.xo[type][idx],对象 byte 参数 #5。,"v7, LscriptAPI/baseAPI/BaseIO;->readByte(Ljava/lang/String;)B"
Lo/a;->b6(ILjava/lang/String;I)V,0x23ffe0,0x01b4,readShort(Ljava/lang/String;)S,b6.common,Lo/a.zo[type][idx],对象 short 参数 #13。,"v7, LscriptAPI/baseAPI/BaseIO;->readShort(Ljava/lang/String;)S"
Lo/a;->b6(ILjava/lang/String;I)V,0x23ffe0,0x01c8,readShort(Ljava/lang/String;)S,b6.common,Lo/a.Ao[type][idx],对象 short 参数 #14。,"v7, LscriptAPI/baseAPI/BaseIO;->readShort(Ljava/lang/String;)S"
Lo/a;->b6(ILjava/lang/String;I)V,0x23ffe0,0x01dc,readByte(Ljava/lang/String;)B,b6.common,Lo/a.Bo[type][idx],对象 byte 参数 #6。,"v7, LscriptAPI/baseAPI/BaseIO;->readByte(Ljava/lang/String;)B"
Lo/a;->b6(ILjava/lang/String;I)V,0x23ffe0,0x01f0,readShort(Ljava/lang/String;)S,b6.common,Lo/a.Co[type][idx],对象 short 参数 #15。,"v7, LscriptAPI/baseAPI/BaseIO;->readShort(Ljava/lang/String;)S"
Lo/a;->b6(ILjava/lang/String;I)V,0x23ffe0,0x0204,readShort(Ljava/lang/String;)S,b6.common,Lo/a.Do[type][idx],对象 short 参数 #16。,"v7, LscriptAPI/baseAPI/BaseIO;->readShort(Ljava/lang/String;)S"
Lo/a;->b6(ILjava/lang/String;I)V,0x23ffe0,0x0218,readLong(Ljava/lang/String;)J,b6.common,Lo/a.Eo[type][idx],对象 long 参数 #1；f6 重载列表前把 Eo 初始化为 -1。,"v7, LscriptAPI/baseAPI/BaseIO;->readLong(Ljava/lang/String;)J"
Lo/a;->b6(ILjava/lang/String;I)V,0x23ffe0,0x022c,readLong(Ljava/lang/String;)J,b6.common,Lo/a.Fo[type][idx],对象 long 参数 #2。,"v7, LscriptAPI/baseAPI/BaseIO;->readLong(Ljava/lang/String;)J"
Lo/a;->b6(ILjava/lang/String;I)V,0x23ffe0,0x0240,readInt(Ljava/lang/String;)I,b6.common,Lo/a.Jo[type][idx],对象 int 参数 #4。,"v7, LscriptAPI/baseAPI/BaseIO;->readInt(Ljava/lang/String;)I"
Lo/a;->b6(ILjava/lang/String;I)V,0x23ffe0,0x0254,readInt(Ljava/lang/String;)I,b6.common,Lo/a.Ko[type][idx],对象 int 参数 #5。,"v7, LscriptAPI/baseAPI/BaseIO;->readInt(Ljava/lang/String;)I"
Lo/a;->b6(ILjava/lang/String;I)V,0x23ffe0,0x0268,readShort(Ljava/lang/String;)S,b6.common,Lo/a.Lo[type][idx],对象 short 参数 #17。,"v7, LscriptAPI/baseAPI/BaseIO;->readShort(Ljava/lang/String;)S"
Lo/a;->b6(ILjava/lang/String;I)V,0x23ffe0,0x027c,readShort(Ljava/lang/String;)S,b6.common,Lo/a.Mo[type][idx],对象 short 参数 #18。,"v7, LscriptAPI/baseAPI/BaseIO;->readShort(Ljava/lang/String;)S"
Lo/a;->b6(ILjava/lang/String;I)V,0x23ffe0,0x0288,readLong(Ljava/lang/String;)J,b6.common,Lo/a.No[type][idx]=curTime+readLong; Lo/a.Oo[type][idx]=curTime,相对时间/倒计时字段；客户端转为绝对结束时间并记录同步时刻。,"v7, LscriptAPI/baseAPI/BaseIO;->readLong(Ljava/lang/String;)J"
Lo/a;->b6(ILjava/lang/String;I)V,0x23ffe0,0x02b2,readByte(Ljava/lang/String;)B,b6.common,Lo/a.Vo[type][idx],对象状态 byte；a8 会检查状态 5/9 的倒计时，b6 type!=1 分支会检查状态 3。,"v7, LscriptAPI/baseAPI/BaseIO;->readByte(Ljava/lang/String;)B"
Lo/a;->b6(ILjava/lang/String;I)V,0x23ffe0,0x02c6,readShort(Ljava/lang/String;)S,b6.common,Lo/a.Po[type][idx],对象 short 参数 #19。,"v7, LscriptAPI/baseAPI/BaseIO;->readShort(Ljava/lang/String;)S"
Lo/a;->b6(ILjava/lang/String;I)V,0x23ffe0,0x02da,readShort(Ljava/lang/String;)S,b6.common,Lo/a.Qo[type][idx],对象 short 参数 #20。,"v7, LscriptAPI/baseAPI/BaseIO;->readShort(Ljava/lang/String;)S"
Lo/a;->b6(ILjava/lang/String;I)V,0x23ffe0,0x02ee,readLong(Ljava/lang/String;)J,b6.common,Lo/a.Ro[type][idx],对象 long/时间参数 #3；a8 状态 9 会用它判断超时并清理装备绑定。,"v7, LscriptAPI/baseAPI/BaseIO;->readLong(Ljava/lang/String;)J"
Lo/a;->b6(ILjava/lang/String;I)V,0x23ffe0,0x0302,readByte(Ljava/lang/String;)B,b6.common,Lo/a.So[type][idx],对象 byte 参数 #7。,"v7, LscriptAPI/baseAPI/BaseIO;->readByte(Ljava/lang/String;)B"
Lo/a;->b6(ILjava/lang/String;I)V,0x23ffe0,0x0316,readShort(Ljava/lang/String;)S,b6.common,Lo/a.To[type][idx],对象 short 参数 #21。,"v7, LscriptAPI/baseAPI/BaseIO;->readShort(Ljava/lang/String;)S"
Lo/a;->b6(ILjava/lang/String;I)V,0x23ffe0,0x032a,readShort(Ljava/lang/String;)S,b6.common,Lo/a.Uo[type][idx],对象 short 参数 #22。,"v7, LscriptAPI/baseAPI/BaseIO;->readShort(Ljava/lang/String;)S"
Lo/a;->b6(ILjava/lang/String;I)V,0x23ffe0,0x0340,readLong(Ljava/lang/String;)J,b6.type1_extra,Lo/a.Wo[idx],仅 type==1 读取的 long 扩展字段 #1。,"v7, LscriptAPI/baseAPI/BaseIO;->readLong(Ljava/lang/String;)J"
Lo/a;->b6(ILjava/lang/String;I)V,0x23ffe0,0x0350,readUTF(Ljava/lang/String;)Ljava/lang/String;,b6.type1_extra,Lo/a.Xo[idx],仅 type==1 读取的字符串扩展字段 #1。,"v7, LscriptAPI/baseAPI/BaseIO;->readUTF(Ljava/lang/String;)Ljava/lang/String;"
Lo/a;->b6(ILjava/lang/String;I)V,0x23ffe0,0x0360,readUTF(Ljava/lang/String;)Ljava/lang/String;,b6.type1_extra,Lo/a.Yo[idx],仅 type==1 读取的字符串扩展字段 #2。,"v7, LscriptAPI/baseAPI/BaseIO;->readUTF(Ljava/lang/String;)Ljava/lang/String;"
Lo/a;->b6(ILjava/lang/String;I)V,0x23ffe0,0x0370,readLong(Ljava/lang/String;)J,b6.type1_extra,Lo/a.Zo[idx],仅 type==1 读取的 long 扩展字段 #2。,"v7, LscriptAPI/baseAPI/BaseIO;->readLong(Ljava/lang/String;)J"
Lo/a;->b6(ILjava/lang/String;I)V,0x23ffe0,0x0380,readUTF(Ljava/lang/String;)Ljava/lang/String;,b6.type1_extra,Lo/a.ap[idx],仅 type==1 读取的字符串扩展字段 #3。,"v7, LscriptAPI/baseAPI/BaseIO;->readUTF(Ljava/lang/String;)Ljava/lang/String;"
Lo/a;->b6(ILjava/lang/String;I)V,0x23ffe0,0x0390,readUTF(Ljava/lang/String;)Ljava/lang/String;,b6.type1_extra,Lo/a.bp[idx],仅 type==1 读取的字符串扩展字段 #4。,"v7, LscriptAPI/baseAPI/BaseIO;->readUTF(Ljava/lang/String;)Ljava/lang/String;"
Lo/a;->b6(ILjava/lang/String;I)V,0x23ffe0,0x03a0,readLong(Ljava/lang/String;)J,b6.type1_extra,Lo/a.cp[idx],仅 type==1 读取的 long 扩展字段 #3。,"v7, LscriptAPI/baseAPI/BaseIO;->readLong(Ljava/lang/String;)J"
Lo/a;->b6(ILjava/lang/String;I)V,0x23ffe0,0x03b6,readInt(Ljava/lang/String;)I,b6.type0_or_not1_extra,Lo/a.yo[type][idx],type!=1 扩展 int 字段；当前实际多见 type 0。,"v7, LscriptAPI/baseAPI/BaseIO;->readInt(Ljava/lang/String;)I"
Lo/a;->b6(ILjava/lang/String;I)V,0x23ffe0,0x03c6,readInt(Ljava/lang/String;)I,b6.type0_or_not1_extra,Lo/a.Ho[idx]=curTime+readInt,type!=1 扩展相对时间字段。,"v7, LscriptAPI/baseAPI/BaseIO;->readInt(Ljava/lang/String;)I"
Lo/a;->b6(ILjava/lang/String;I)V,0x23ffe0,0x03da,readShort(Ljava/lang/String;)S,b6.type0_or_not1_extra,Lo/a.Io[idx],type!=1 扩展 short 字段。,"v7, LscriptAPI/baseAPI/BaseIO;->readShort(Ljava/lang/String;)S"
Lo/a;->b6(ILjava/lang/String;I)V,0x23ffe0,0x03fc,readInt(Ljava/lang/String;)I,b6.type0_status3_extra,Lo/a.dp[idx]=curTime+readInt,仅 type!=1 且 Vo[type][idx]==3 时读取的相对时间字段。,"v7, LscriptAPI/baseAPI/BaseIO;->readInt(Ljava/lang/String;)I"
Lo/a;->b6(ILjava/lang/String;I)V,0x23ffe0,0x0410,readUTF(Ljava/lang/String;)Ljava/lang/String;,b6.type0_status3_extra,Lo/a.ep[idx],仅 type!=1 且 Vo==3 的字符串扩展字段 #1。,"v7, LscriptAPI/baseAPI/BaseIO;->readUTF(Ljava/lang/String;)Ljava/lang/String;"
Lo/a;->b6(ILjava/lang/String;I)V,0x23ffe0,0x0420,readByte(Ljava/lang/String;)B,b6.type0_status3_extra,Lo/a.fp[idx],仅 type!=1 且 Vo==3 的 byte 扩展字段。,"v7, LscriptAPI/baseAPI/BaseIO;->readByte(Ljava/lang/String;)B"
Lo/a;->b6(ILjava/lang/String;I)V,0x23ffe0,0x0430,readUTF(Ljava/lang/String;)Ljava/lang/String;,b6.type0_status3_extra,Lo/a.gp[idx],仅 type!=1 且 Vo==3 的字符串扩展字段 #2。,"v7, LscriptAPI/baseAPI/BaseIO;->readUTF(Ljava/lang/String;)Ljava/lang/String;"
Lo/a;->b6(ILjava/lang/String;I)V,0x23ffe0,0x0446,readShort(Ljava/lang/String;)S,b6.type0_status3_extra,Lo/a.hp[idx][0],仅 type!=1 且 Vo==3 的二元 short 参数 #0。,"v7, LscriptAPI/baseAPI/BaseIO;->readShort(Ljava/lang/String;)S"
Lo/a;->b6(ILjava/lang/String;I)V,0x23ffe0,0x045a,readShort(Ljava/lang/String;)S,b6.type0_status3_extra,Lo/a.hp[idx][1],仅 type!=1 且 Vo==3 的二元 short 参数 #1。,"v7, LscriptAPI/baseAPI/BaseIO;->readShort(Ljava/lang/String;)S"
Lo/a;->b6(ILjava/lang/String;I)V,0x23ffe0,0x046a,readUTF(Ljava/lang/String;)Ljava/lang/String;,b6.type0_status3_extra,Lo/a.ip[idx],仅 type!=1 且 Vo==3 的字符串扩展字段 #3。,"v7, LscriptAPI/baseAPI/BaseIO;->readUTF(Ljava/lang/String;)Ljava/lang/String;"
Lo/a;->S5(Ljava/lang/String;)V,0x23e4f0,0x004a,readByte(Ljava/lang/String;)B,S5.header,entry_count,S5 伴随状态条目数量；数组容量固定 30。,"v5, LscriptAPI/baseAPI/BaseIO;->readByte(Ljava/lang/String;)B"
Lo/a;->S5(Ljava/lang/String;)V,0x23e4f0,0x005a,readLong(Ljava/lang/String;)J,S5.item[],Lo/a.Nm[i],状态条目 long #1；初始化为 -1。,"v5, LscriptAPI/baseAPI/BaseIO;->readLong(Ljava/lang/String;)J"
Lo/a;->S5(Ljava/lang/String;)V,0x23e4f0,0x006a,readLong(Ljava/lang/String;)J,S5.item[],Lo/a.Om[i],状态条目 long #2。,"v5, LscriptAPI/baseAPI/BaseIO;->readLong(Ljava/lang/String;)J"
Lo/a;->S5(Ljava/lang/String;)V,0x23e4f0,0x007a,readByte(Ljava/lang/String;)B,S5.item[],Lo/a.Pm[i],状态条目 byte；初始化为 -1。,"v5, LscriptAPI/baseAPI/BaseIO;->readByte(Ljava/lang/String;)B"
Lo/a;->S5(Ljava/lang/String;)V,0x23e4f0,0x008a,readInt(Ljava/lang/String;)I,S5.item[],Lo/a.Qm[i],状态条目 int。,"v5, LscriptAPI/baseAPI/BaseIO;->readInt(Ljava/lang/String;)I"
