method,code_off,kind,role,confidence,external_call_count,external_call_examples,data_d_fields_touched,notable_invokes
LscriptPages/data/d;->h(SII)Ljava/lang/String;,0x262498,stat helper,按模板 id、quality_index、强化值生成格式化属性文案。,high,8,La0/a;->a0()V@0x02ee || La0/a;->g0()V@0x0360 || La0/a;->g0()V@0x050c || La0/a;->m0()V@0x0340 || Lo/a;->F0()V@0x055e || Lo/a;->F0()V@0x0748,,Lo/a;->g3(I)I || Lo/a;->w2(II)Ljava/lang/String; || Lo/a;->y2(I)[S
LscriptPages/data/d;->q(J)I,0x2621c4,strength accessor,返回 f[bank][slot][1]，强化等级/强化值候选；强化页用 >=10/>=20 控制失败掉级/损毁文案。,high,30,Lo/a;->E8()I@0x0300 || Lo/a;->S0()V@0x04f0 || Lo/a;->X5(JLjava/lang/String;)V@0x03ea || Lo/a;->Z0()V@0x023e || Lo/a;->w8(I)I@0x03e0 || LscriptPages/data/g;->T0(J)Ljava/lang/String;@0x004a,f:[[[B || n:I || o:I,LscriptPages/data/d;->y(J)V
LscriptPages/data/d;->k(J)[S,0x2629c4,strength material accessor,"返回强化材料 [item_id, amount]；装备页显示“强化材料”并检查 Lo/a.p1(item_id) 库存。",high,6,LscriptPages/game/z;->W0()I@0x053c || LscriptPages/game/z;->W0()I@0x0600 || LscriptPages/game/z;->W0()I@0x061a || LscriptPages/game/z;->W0()I@0x0734 || LscriptPages/game/z;->a()V@0x0004 || LscriptPages/game/z;->j()V@0x0b50,e:[[S || f:[[[B || n:I || o:I,Lo/a;->S4(I)I || Lo/a;->l3(I)I || LscriptPages/data/d;->y(J)V
LscriptPages/data/d;->D(J)Ljava/lang/String;,0x2626f0,template accessor,返回装备名称：Mn[g3(e)]。,high,20,Lo/a;->E8()I@0x034c || Lo/a;->Z0()V@0x0276 || LscriptPages/data/g;->T0(J)Ljava/lang/String;@0x0032 || LscriptPages/game/k0;->P(IJIJ)V@0x0082 || LscriptPages/game/k0;->l()V@0x0362 || LscriptPages/game/k0;->l()V@0x0544,e:[[S || n:I || o:I,Lo/a;->g3(I)I || LscriptPages/data/d;->y(J)V
LscriptPages/data/d;->F(J)I,0x2623c8,template accessor,返回 Nn[g3(e)]；候选为装备等级/品质阶/限制字段，需结合调用点继续命名。,medium,15,Lo/a;->S0()V@0x04fc || Lo/a;->X5(JLjava/lang/String;)V@0x03f6 || Lo/a;->w8(I)I@0x03e8 || LscriptPages/data/g;->A2()V@0x0092 || LscriptPages/game/k0;->a()V@0x0386 || LscriptPages/game/k0;->q()V@0x0300,e:[[S || n:I || o:I,Lo/a;->g3(I)I || LscriptPages/data/d;->y(J)V
LscriptPages/data/d;->l(I)I,0x2620f0,template accessor,按模板 id 返回 Pn[g3(template_id)]；与 w(J) 同源。,medium,5,La0/a;->c2(Ljava/lang/String;)V@0x05a8 || Lo/a;->h7(Ljava/lang/String;)V@0x08c6 || LscriptPages/data/g;->O(IIII)[I@0x007c || LscriptPages/data/g;->i2(IIILjava/lang/String;II)V@0x0052 || LscriptPages/game/q0;->A(IIII)[I@0x003e,,Lo/a;->g3(I)I
LscriptPages/data/d;->n(I)I,0x262158,template accessor,按模板 id 返回 Kn[g3(template_id)]；与 z(J) 同源。,medium,5,La0/a;->S()V@0x0be4 || La0/a;->S()V@0x1172 || La0/a;->r0()V@0x009e || Lo/a;->S0()V@0x01ec || LscriptPages/data/g;->P()V@0x007c,,Lo/a;->g3(I)I
LscriptPages/data/d;->o(I)Ljava/lang/String;,0x2625bc,template accessor,按模板 id 返回装备名称：Mn[g3(template_id)]。,high,18,La0/a;->S()V@0x0bcc || La0/a;->S()V@0x115a || La0/a;->c2(Ljava/lang/String;)V@0x0590 || La0/a;->r0()V@0x0092 || La0/a;->v2()I@0x0270 || Lo/a;->S0()V@0x01e4,,Lo/a;->g3(I)I
LscriptPages/data/d;->w(J)I,0x262244,template accessor,返回 Pn[g3(e)]；在装备页用于 r0.E(...) 绘制图标，候选为图标/资源类别 id。,medium,16,LscriptPages/data/g;->A2()V@0x0104 || LscriptPages/data/g;->I()V@0x0066 || LscriptPages/game/k0;->l()V@0x030a || LscriptPages/game/k0;->l()V@0x04f6 || LscriptPages/game/k0;->q()V@0x038c || LscriptPages/game/k0;->q()V@0x060e,e:[[S || n:I || o:I,Lo/a;->g3(I)I || LscriptPages/data/d;->y(J)V
LscriptPages/data/d;->z(J)I,0x2622ec,template accessor,返回 Kn[g3(e)]；多处用于装备展示/筛选，候选为装备部位/大类/颜色字段。,medium,18,Lo/a;->S0()V@0x04d8 || Lo/a;->X5(JLjava/lang/String;)V@0x03d2 || Lo/a;->w8(I)I@0x03d0 || LscriptPages/data/g;->A2()V@0x0010 || LscriptPages/data/g;->T0(J)Ljava/lang/String;@0x0062 || LscriptPages/game/k0;->a()V@0x0100,e:[[S || n:I || o:I,Lo/a;->g3(I)I || LscriptPages/data/d;->y(J)V
LscriptPages/data/d;->A(J)Ljava/lang/String;,0x2626b0,text accessor,返回 l[bank][slot] 原始字符串，空时返回空串。,high,3,LscriptPages/data/g;->Y3()V@0x000e || LscriptPages/game/z;->j()V@0x040a || LscriptPages/gameHD/h;->p(J)Ljava/lang/String;@0x002c,l:[[Ljava/lang/String; || n:I || o:I,LscriptPages/data/d;->y(J)V
LscriptPages/data/d;->s(J)Ljava/lang/String;,0x2625e8,text accessor,把 A(J) 按换行与 <#> 拆分，返回清洗后的多行描述。,high,2,Lo/a;->Z0()V@0x03d6 || LscriptPages/game/q0;->B()V@0x03de,,La/a;->k(Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;)Ljava/lang/String; || LscriptAPI/extAPI/ExtAPI;->split(Ljava/lang/String;Ljava/lang/String;)[Ljava/lang/String; || LscriptPages/data/d;->A(J)Ljava/lang/String;
