flow_idx,payload_sha256,group_index,group_label_candidate,subgroup,subgroup_flag_p0,index_in_group,index_in_subgroup,task_id_dec,task_id_hex,task_name,boolean_flag_o0
35,520339677cb7c4beabb6b29ccc37218a4835386fcca22608d6e75f70f2c9b417,1,活动/运营任务候选,secondary/p0=0,0,0,0,2606301114,0x9b58ffba,每日在线领好礼,True
35,520339677cb7c4beabb6b29ccc37218a4835386fcca22608d6e75f70f2c9b417,1,活动/运营任务候选,secondary/p0=0,0,1,1,2606301043,0x9b58ff73,繁花似锦，好运连连,True
35,520339677cb7c4beabb6b29ccc37218a4835386fcca22608d6e75f70f2c9b417,1,活动/运营任务候选,secondary/p0=0,0,2,2,2606261406,0x9b58649e,新服金钻免费体验,True
35,520339677cb7c4beabb6b29ccc37218a4835386fcca22608d6e75f70f2c9b417,1,活动/运营任务候选,secondary/p0=0,0,3,3,2606301331,0x9b590093,攻敌城，抢豪礼-1,True
35,520339677cb7c4beabb6b29ccc37218a4835386fcca22608d6e75f70f2c9b417,1,活动/运营任务候选,secondary/p0=0,0,4,4,2606301333,0x9b590095,攻敌城，抢豪礼-3,True
35,520339677cb7c4beabb6b29ccc37218a4835386fcca22608d6e75f70f2c9b417,1,活动/运营任务候选,secondary/p0=0,0,5,5,2606301332,0x9b590094,攻敌城，抢豪礼-2,True
35,520339677cb7c4beabb6b29ccc37218a4835386fcca22608d6e75f70f2c9b417,1,活动/运营任务候选,secondary/p0=0,0,6,6,2606301334,0x9b590096,攻敌城，抢豪礼-4,True
35,520339677cb7c4beabb6b29ccc37218a4835386fcca22608d6e75f70f2c9b417,1,活动/运营任务候选,secondary/p0=0,0,7,7,2606301117,0x9b58ffbd,灭敌犒赏领黑珠,True
35,520339677cb7c4beabb6b29ccc37218a4835386fcca22608d6e75f70f2c9b417,1,活动/运营任务候选,secondary/p0=0,0,8,8,2606261402,0x9b58649a,烽火连城战无双,True
35,520339677cb7c4beabb6b29ccc37218a4835386fcca22608d6e75f70f2c9b417,1,活动/运营任务候选,secondary/p0=0,0,9,9,2606261405,0x9b58649d,冲级抢礼包-88级,True
35,520339677cb7c4beabb6b29ccc37218a4835386fcca22608d6e75f70f2c9b417,1,活动/运营任务候选,secondary/p0=0,0,10,10,2606261404,0x9b58649c,冲级抢礼包-66级,True
35,520339677cb7c4beabb6b29ccc37218a4835386fcca22608d6e75f70f2c9b417,1,活动/运营任务候选,secondary/p0=0,0,11,11,902004,0xdc374,激活码兑换道具,False
35,520339677cb7c4beabb6b29ccc37218a4835386fcca22608d6e75f70f2c9b417,1,活动/运营任务候选,secondary/p0=0,0,12,12,932004,0xe38a4,平定山贼之乱,True
35,520339677cb7c4beabb6b29ccc37218a4835386fcca22608d6e75f70f2c9b417,1,活动/运营任务候选,secondary/p0=0,0,13,13,908020,0xddaf4,争夺城主，争龙椅,True
35,520339677cb7c4beabb6b29ccc37218a4835386fcca22608d6e75f70f2c9b417,1,活动/运营任务候选,secondary/p0=0,0,14,14,915023,0xdf64f,登陆送礼三,True
35,520339677cb7c4beabb6b29ccc37218a4835386fcca22608d6e75f70f2c9b417,2,国家/大型玩法入口候选,secondary/p0=0,0,0,0,31001,0x7919,百家争鸣,True
35,520339677cb7c4beabb6b29ccc37218a4835386fcca22608d6e75f70f2c9b417,2,国家/大型玩法入口候选,secondary/p0=0,0,1,1,31004,0x791c,百团争霸,True
35,520339677cb7c4beabb6b29ccc37218a4835386fcca22608d6e75f70f2c9b417,2,国家/大型玩法入口候选,secondary/p0=0,0,2,2,31003,0x791b,国战无双,True
35,520339677cb7c4beabb6b29ccc37218a4835386fcca22608d6e75f70f2c9b417,2,国家/大型玩法入口候选,secondary/p0=0,0,3,3,31007,0x791f,帝国崛起,True
35,520339677cb7c4beabb6b29ccc37218a4835386fcca22608d6e75f70f2c9b417,2,国家/大型玩法入口候选,secondary/p0=0,0,4,4,31006,0x791e,建立国家,True
35,520339677cb7c4beabb6b29ccc37218a4835386fcca22608d6e75f70f2c9b417,3,兑换/特殊入口候选,secondary/p0=0,0,0,0,31002,0x791a,元宝换黄金,True
35,520339677cb7c4beabb6b29ccc37218a4835386fcca22608d6e75f70f2c9b417,3,兑换/特殊入口候选,secondary/p0=0,0,1,1,31005,0x791d,保境安民,True
50,520339677cb7c4beabb6b29ccc37218a4835386fcca22608d6e75f70f2c9b417,0,普通/成长任务候选,secondary/p0=0,0,0,0,10004,0x2714,种植技术,True
50,520339677cb7c4beabb6b29ccc37218a4835386fcca22608d6e75f70f2c9b417,0,普通/成长任务候选,secondary/p0=0,0,1,1,10006,0x2716,建造弓兵营,True
50,520339677cb7c4beabb6b29ccc37218a4835386fcca22608d6e75f70f2c9b417,0,普通/成长任务候选,secondary/p0=0,0,2,2,10019,0x2723,五谷丰登,True
50,520339677cb7c4beabb6b29ccc37218a4835386fcca22608d6e75f70f2c9b417,0,普通/成长任务候选,secondary/p0=0,0,3,3,10046,0x273e,威震四方6,True
50,520339677cb7c4beabb6b29ccc37218a4835386fcca22608d6e75f70f2c9b417,0,普通/成长任务候选,secondary/p0=0,0,4,4,10054,0x2746,挑战山贼8,True
50,520339677cb7c4beabb6b29ccc37218a4835386fcca22608d6e75f70f2c9b417,0,普通/成长任务候选,secondary/p0=0,0,5,5,10071,0x2757,使用鲁公手册,True
50,520339677cb7c4beabb6b29ccc37218a4835386fcca22608d6e75f70f2c9b417,0,普通/成长任务候选,secondary/p0=0,0,6,6,10084,0x2764,剿匪英雄2,True
50,520339677cb7c4beabb6b29ccc37218a4835386fcca22608d6e75f70f2c9b417,0,普通/成长任务候选,secondary/p0=0,0,7,7,10100,0x2774,开拓封地2,True
50,520339677cb7c4beabb6b29ccc37218a4835386fcca22608d6e75f70f2c9b417,0,普通/成长任务候选,secondary/p0=0,0,8,8,10118,0x2786,招募将领12,True
50,520339677cb7c4beabb6b29ccc37218a4835386fcca22608d6e75f70f2c9b417,0,普通/成长任务候选,secondary/p0=0,0,9,9,10153,0x27a9,升级将领4,True
50,520339677cb7c4beabb6b29ccc37218a4835386fcca22608d6e75f70f2c9b417,0,普通/成长任务候选,secondary/p0=0,0,10,10,10200,0x27d8,修筑道路,True
50,520339677cb7c4beabb6b29ccc37218a4835386fcca22608d6e75f70f2c9b417,1,活动/运营任务候选,secondary/p0=0,0,0,0,2606301114,0x9b58ffba,每日在线领好礼,True
50,520339677cb7c4beabb6b29ccc37218a4835386fcca22608d6e75f70f2c9b417,1,活动/运营任务候选,secondary/p0=0,0,1,1,2606301043,0x9b58ff73,繁花似锦，好运连连,True
50,520339677cb7c4beabb6b29ccc37218a4835386fcca22608d6e75f70f2c9b417,1,活动/运营任务候选,secondary/p0=0,0,2,2,2606261406,0x9b58649e,新服金钻免费体验,True
50,520339677cb7c4beabb6b29ccc37218a4835386fcca22608d6e75f70f2c9b417,1,活动/运营任务候选,secondary/p0=0,0,3,3,2606301331,0x9b590093,攻敌城，抢豪礼-1,True
50,520339677cb7c4beabb6b29ccc37218a4835386fcca22608d6e75f70f2c9b417,1,活动/运营任务候选,secondary/p0=0,0,4,4,2606301333,0x9b590095,攻敌城，抢豪礼-3,True
50,520339677cb7c4beabb6b29ccc37218a4835386fcca22608d6e75f70f2c9b417,1,活动/运营任务候选,secondary/p0=0,0,5,5,2606301332,0x9b590094,攻敌城，抢豪礼-2,True
50,520339677cb7c4beabb6b29ccc37218a4835386fcca22608d6e75f70f2c9b417,1,活动/运营任务候选,secondary/p0=0,0,6,6,2606301334,0x9b590096,攻敌城，抢豪礼-4,True
50,520339677cb7c4beabb6b29ccc37218a4835386fcca22608d6e75f70f2c9b417,1,活动/运营任务候选,secondary/p0=0,0,7,7,2606301117,0x9b58ffbd,灭敌犒赏领黑珠,True
50,520339677cb7c4beabb6b29ccc37218a4835386fcca22608d6e75f70f2c9b417,1,活动/运营任务候选,secondary/p0=0,0,8,8,2606261402,0x9b58649a,烽火连城战无双,True
50,520339677cb7c4beabb6b29ccc37218a4835386fcca22608d6e75f70f2c9b417,1,活动/运营任务候选,secondary/p0=0,0,9,9,2606261405,0x9b58649d,冲级抢礼包-88级,True
50,520339677cb7c4beabb6b29ccc37218a4835386fcca22608d6e75f70f2c9b417,1,活动/运营任务候选,secondary/p0=0,0,10,10,2606261404,0x9b58649c,冲级抢礼包-66级,True
50,520339677cb7c4beabb6b29ccc37218a4835386fcca22608d6e75f70f2c9b417,1,活动/运营任务候选,secondary/p0=0,0,11,11,902004,0xdc374,激活码兑换道具,False
50,520339677cb7c4beabb6b29ccc37218a4835386fcca22608d6e75f70f2c9b417,1,活动/运营任务候选,secondary/p0=0,0,12,12,932004,0xe38a4,平定山贼之乱,True
50,520339677cb7c4beabb6b29ccc37218a4835386fcca22608d6e75f70f2c9b417,1,活动/运营任务候选,secondary/p0=0,0,13,13,908020,0xddaf4,争夺城主，争龙椅,True
50,520339677cb7c4beabb6b29ccc37218a4835386fcca22608d6e75f70f2c9b417,1,活动/运营任务候选,secondary/p0=0,0,14,14,915023,0xdf64f,登陆送礼三,True
50,520339677cb7c4beabb6b29ccc37218a4835386fcca22608d6e75f70f2c9b417,2,国家/大型玩法入口候选,secondary/p0=0,0,0,0,31001,0x7919,百家争鸣,True
50,520339677cb7c4beabb6b29ccc37218a4835386fcca22608d6e75f70f2c9b417,2,国家/大型玩法入口候选,secondary/p0=0,0,1,1,31004,0x791c,百团争霸,True
50,520339677cb7c4beabb6b29ccc37218a4835386fcca22608d6e75f70f2c9b417,2,国家/大型玩法入口候选,secondary/p0=0,0,2,2,31003,0x791b,国战无双,True
50,520339677cb7c4beabb6b29ccc37218a4835386fcca22608d6e75f70f2c9b417,2,国家/大型玩法入口候选,secondary/p0=0,0,3,3,31007,0x791f,帝国崛起,True
50,520339677cb7c4beabb6b29ccc37218a4835386fcca22608d6e75f70f2c9b417,2,国家/大型玩法入口候选,secondary/p0=0,0,4,4,31006,0x791e,建立国家,True
50,520339677cb7c4beabb6b29ccc37218a4835386fcca22608d6e75f70f2c9b417,3,兑换/特殊入口候选,secondary/p0=0,0,0,0,31002,0x791a,元宝换黄金,True
50,520339677cb7c4beabb6b29ccc37218a4835386fcca22608d6e75f70f2c9b417,3,兑换/特殊入口候选,secondary/p0=0,0,1,1,31005,0x791d,保境安民,True
