flow_idx,payload_sha256,section,index,marker_or_threshold,text,status_or_aux
35,b547aa43652839e7c929c132e045dd0ef4e10df69d04368d6ede989f64308e5f,active_degree_reward_L/M/N_candidate,4,100,100白银，1将神魂，1大福神符，100玉石，随机道具,0
35,b547aa43652839e7c929c132e045dd0ef4e10df69d04368d6ede989f64308e5f,weekly_reward_f0/g0/h0/i0_candidate,0,600,300白银，1鲁公古籍，1将神魂，1大练兵符，1中级行军符，随机道具,False
35,b547aa43652839e7c929c132e045dd0ef4e10df69d04368d6ede989f64308e5f,monthly_reward_j0/k0/l0/m0_candidate,0,2800,5神将碎片，5神装碎片，1000白银，500玉石，1凝魂晶石，1完整藏宝图，1紧急招募令，随机道具,False
52,b547aa43652839e7c929c132e045dd0ef4e10df69d04368d6ede989f64308e5f,cumulative_login_or_sign_reward_D0/E0/F0_candidate,0,3,50000铜钱，150000粮食，20玉石,0
52,b547aa43652839e7c929c132e045dd0ef4e10df69d04368d6ede989f64308e5f,cumulative_login_or_sign_reward_D0/E0/F0_candidate,1,7,100000铜钱，300000粮食，100白银，1将神魂，30玉石,0
52,b547aa43652839e7c929c132e045dd0ef4e10df69d04368d6ede989f64308e5f,cumulative_login_or_sign_reward_D0/E0/F0_candidate,2,14,200000铜钱，600000粮食，200白银，2将神魂，50玉石,0
52,b547aa43652839e7c929c132e045dd0ef4e10df69d04368d6ede989f64308e5f,cumulative_login_or_sign_reward_D0/E0/F0_candidate,3,28,500000铜钱，1500000粮食，500白银，3将神魂，100玉石,0
52,b547aa43652839e7c929c132e045dd0ef4e10df69d04368d6ede989f64308e5f,active_degree_reward_L/M/N_candidate,0,20,10000铜钱，10白银，10玉石，随机道具,20
52,b547aa43652839e7c929c132e045dd0ef4e10df69d04368d6ede989f64308e5f,active_degree_reward_L/M/N_candidate,1,40,30000铜钱，20白银，10玉石，随机道具,0
52,b547aa43652839e7c929c132e045dd0ef4e10df69d04368d6ede989f64308e5f,active_degree_reward_L/M/N_candidate,2,60,50000铜钱，30白银，20玉石，随机道具,0
52,b547aa43652839e7c929c132e045dd0ef4e10df69d04368d6ede989f64308e5f,active_degree_reward_L/M/N_candidate,3,80,50白银，10图腾碎片，1中级行军符，60玉石，随机道具,0
52,b547aa43652839e7c929c132e045dd0ef4e10df69d04368d6ede989f64308e5f,active_degree_reward_L/M/N_candidate,4,100,100白银，1将神魂，1大福神符，100玉石，随机道具,0
52,b547aa43652839e7c929c132e045dd0ef4e10df69d04368d6ede989f64308e5f,weekly_reward_f0/g0/h0/i0_candidate,0,600,300白银，1鲁公古籍，1将神魂，1大练兵符，1中级行军符，随机道具,False
52,b547aa43652839e7c929c132e045dd0ef4e10df69d04368d6ede989f64308e5f,monthly_reward_j0/k0/l0/m0_candidate,0,2800,5神将碎片，5神装碎片，1000白银，500玉石，1凝魂晶石，1完整藏宝图，1紧急招募令，随机道具,False
58,b547aa43652839e7c929c132e045dd0ef4e10df69d04368d6ede989f64308e5f,cumulative_login_or_sign_reward_D0/E0/F0_candidate,0,3,50000铜钱，150000粮食，20玉石,0
58,b547aa43652839e7c929c132e045dd0ef4e10df69d04368d6ede989f64308e5f,cumulative_login_or_sign_reward_D0/E0/F0_candidate,1,7,100000铜钱，300000粮食，100白银，1将神魂，30玉石,0
58,b547aa43652839e7c929c132e045dd0ef4e10df69d04368d6ede989f64308e5f,cumulative_login_or_sign_reward_D0/E0/F0_candidate,2,14,200000铜钱，600000粮食，200白银，2将神魂，50玉石,0
58,b547aa43652839e7c929c132e045dd0ef4e10df69d04368d6ede989f64308e5f,cumulative_login_or_sign_reward_D0/E0/F0_candidate,3,28,500000铜钱，1500000粮食，500白银，3将神魂，100玉石,0
58,b547aa43652839e7c929c132e045dd0ef4e10df69d04368d6ede989f64308e5f,active_degree_reward_L/M/N_candidate,0,20,10000铜钱，10白银，10玉石，随机道具,20
58,b547aa43652839e7c929c132e045dd0ef4e10df69d04368d6ede989f64308e5f,active_degree_reward_L/M/N_candidate,1,40,30000铜钱，20白银，10玉石，随机道具,0
58,b547aa43652839e7c929c132e045dd0ef4e10df69d04368d6ede989f64308e5f,active_degree_reward_L/M/N_candidate,2,60,50000铜钱，30白银，20玉石，随机道具,0
58,b547aa43652839e7c929c132e045dd0ef4e10df69d04368d6ede989f64308e5f,active_degree_reward_L/M/N_candidate,3,80,50白银，10图腾碎片，1中级行军符，60玉石，随机道具,0
58,b547aa43652839e7c929c132e045dd0ef4e10df69d04368d6ede989f64308e5f,active_degree_reward_L/M/N_candidate,4,100,100白银，1将神魂，1大福神符，100玉石，随机道具,0
58,b547aa43652839e7c929c132e045dd0ef4e10df69d04368d6ede989f64308e5f,weekly_reward_f0/g0/h0/i0_candidate,0,600,300白银，1鲁公古籍，1将神魂，1大练兵符，1中级行军符，随机道具,False
58,b547aa43652839e7c929c132e045dd0ef4e10df69d04368d6ede989f64308e5f,monthly_reward_j0/k0/l0/m0_candidate,0,2800,5神将碎片，5神装碎片，1000白银，500玉石，1凝魂晶石，1完整藏宝图，1紧急招募令，随机道具,False
