ordinal,template_id_In,name_Mn,stat_type_Nn,famous_flag_Jn,description_On,level_Kn,base_stat_Ln,icon_id_Pn,reserved_tail_byte
36,36,玄武盔,1,1,蕴涵神兽（玄武）之力的头盔。,80,95,773,0
37,37,白虎盔,1,1,蕴涵神兽（白虎）之力的头盔。,85,105,767,0
38,38,朱雀盔,1,1,蕴涵神兽（朱雀）之力的头盔。,90,115,774,0
39,39,青龙盔,1,1,蕴涵神兽（青龙）之力的头盔。,95,125,770,0
40,40,皮铠,2,0,,8,7,756,0
41,41,青铜铠,2,0,,20,15,760,0
42,42,精铁铠,2,0,,32,23,759,0
43,43,白银铠,2,0,,44,31,765,0
44,44,黄金铠,2,0,,56,39,757,0
45,45,紫金铠,2,0,,68,47,763,0
46,46,玄武铠,2,1,蕴涵神兽之力（玄武）的铠甲。,80,55,761,0
47,47,白虎铠,2,1,蕴涵神兽之力（白虎）的铠甲。,85,60,764,0
48,48,朱雀铠,2,1,蕴涵神兽之力（朱雀）的铠甲。,90,65,762,0
49,49,青龙铠,2,1,蕴涵神兽之力（青龙）的铠甲。,95,75,758,0
50,50,战马,3,0,,15,50,776,0
51,51,红鬃马,3,0,,32,85,779,0
52,52,黄骠马,3,0,,49,120,780,0
53,53,大宛马,3,0,,66,155,777,0
54,54,赤兔,3,1,“赤兔马”本名“赤菟”，即红色的，像老虎一样的烈马，据说为汗血宝马。,95,260,783,0
55,55,绝影,3,1,曹操的坐骑之一，传说跑起来快得连影子也跟不上。,85,220,781,0
56,56,爪黄飞电,3,1,曹操的爱驹，高大威武，体态庄严，气势磅礴。,80,200,782,0
57,57,的卢,3,1,三国时期刘备的坐骑，其奔跑的速度飞快，曾在危急时刻救了刘备一命。,90,240,778,0
58,58,金蛇剑,0,0,,1,30,10014,0
59,59,灵蟒剑,0,0,,35,55,10025,0
60,60,腾蛇宝剑,0,0,,70,90,10024,0
61,61,金蛇盔,1,0,,1,20,10016,0
62,62,灵蟒盔,1,0,,35,50,10023,0
63,63,腾蛇云盔,1,0,,70,90,10022,0
64,64,灵蟒战甲,2,0,,35,30,10019,0
65,65,金蛇铠,2,0,,1,10,10015,0
66,66,腾蛇晶甲,2,0,,70,50,10018,0
67,67,金蛇骝,3,0,,1,60,10017,0
68,68,灵蟒骊,3,0,,35,100,10021,0
69,69,腾蛇骏,3,0,,70,180,10020,0
70,70,秣马剑,0,0,,1,30,10596,0
71,71,骏马剑,0,0,,35,60,10592,0
72,72,天马宝剑,0,0,,70,90,10600,0
73,73,真·流云弓,0,0,,40,60,10605,0
74,74,真·霸王枪,0,0,,75,95,10604,0
75,75,秣马盔,1,0,,1,25,10598,0
76,76,骏马盔,1,0,,35,55,10593,0
77,77,天马云盔,1,0,,70,85,10603,0
78,78,秣马铠,2,0,,1,20,10597,0
79,79,骏马战甲,2,0,,35,35,10595,0
80,80,天马晶甲,2,0,,70,50,10601,0
81,81,秣马骝,3,0,,1,70,10599,0
82,82,骏马骊,3,0,,35,115,10594,0
83,83,天马骏,3,0,,70,180,10602,0
84,84,金羊骝,3,0,,1,70,10818,0
85,85,灵羊骊,3,0,,35,115,10819,0
86,86,牡羊骏,3,0,,70,180,10820,0
87,87,灵羊盔,1,0,,35,55,10813,0
88,88,牡羊云盔,1,0,,70,85,10814,0
89,89,金羊盔,1,0,,1,25,10812,0
90,90,金羊剑,0,0,,1,30,10809,0
91,91,牡羊宝剑,0,0,,70,90,10811,0
92,92,灵羊剑,0,0,,35,60,10810,0
93,93,金羊铠,2,0,,1,20,10815,0
94,94,灵羊战甲,2,0,,35,35,10816,0
95,95,牡羊晶甲,2,0,,70,50,10817,0
96,96,万石弓,0,0,,99,150,12034,0
97,97,天子剑,0,0,,99,150,12033,0
98,98,双股剑,0,0,,95,130,12032,0
99,99,金箍棒,0,0,,85,110,12025,0
100,100,冕冠,1,0,,99,145,12031,0
101,101,紧箍咒,1,0,,85,110,12027,0
102,102,龙袍,2,0,,99,95,12029,0
103,103,虎皮裙,2,0,,85,70,12024,0
104,104,龙椅,3,0,,99,280,12030,0
105,105,照夜玉狮子,3,0,,99,280,12035,0
106,106,里飞沙,3,0,,95,260,12028,0
107,107,筋斗云,3,0,,85,200,12026,0
108,108,宝马,3,0,,95,260,12053,0
109,109,龙泉剑,0,0,,66,80,12062,0
110,110,新亭侯刀,0,0,,95,130,12064,0
111,111,云长锦袍,2,0,,95,80,12065,0
112,112,乌云踏雪,3,0,,88,230,12063,0
113,113,虎头湛金枪,0,0,,95,130,12061,0
114,114,旺财,3,0,,50,120,12139,0
115,115,南蛮战象,3,0,,95,260,12140,0
116,116,神犬,3,0,,80,200,12141,0
117,117,帝王冕,1,0,,99,180,12119,0
118,118,帝王剑,0,0,,99,180,12120,0
119,119,帝王铠,2,0,,99,130,12121,0
120,120,帝王辇,3,0,,99,320,12122,0
121,121,九齿钉耙,0,0,,80,100,12154,0
122,122,金猪,3,0,,80,200,12155,0
123,123,玄冠,1,0,,80,95,12156,0
124,124,黑衣金甲,2,0,,80,55,12157,0
125,125,快航,3,0,,90,240,12385,0
126,126,乌骓,3,0,,90,240,12391,0
127,127,凤翔盔,1,0,,90,115,12381,0
128,128,钻金盔,1,0,,90,115,12390,0
129,129,金刚盔,1,0,,95,125,12384,0
130,130,天龙盔,1,0,,95,125,12389,0
131,131,战袍,2,0,,90,65,12392,0
132,132,明光铠,2,0,,90,65,12386,0
133,133,金刚甲,2,0,,90,65,12383,0
134,134,帅袍,2,0,,95,75,12387,0
135,135,天龙铠,2,0,,95,75,12388,0
136,136,皇袍,2,0,,99,95,12382,0
137,137,尊·龙椅,3,0,,99,350,12500,0
138,138,火焰驹,3,0,,49,120,12467,0
139,139,白龙马,3,0,,66,155,12462,0
140,140,白虎,3,0,,70,180,12461,0
141,141,五彩神牛,3,0,牛年装备,70,180,12472,0
142,142,钢头盔,1,0,,44,54,12464,0
143,143,笠形盔,1,0,,56,66,12469,0
144,144,凤翅盔,1,0,,70,85,12463,0
145,145,铜弩机,0,0,,60,70,12471,0
146,146,汉剑,0,0,,65,75,12465,0
147,147,长柄刀,0,0,,70,80,12474,0
148,148,环首刀,0,0,,75,85,12466,0
149,149,玄甲,2,0,,46,31,12473,0
150,150,锁子甲,2,0,,58,39,12470,0
151,151,金甲,2,0,,70,50,12468,0
152,152,尊·皇冠,1,0,,99,200,12499,0
153,153,尊·龙剑,0,0,,99,200,12497,0
154,154,尊·龙袍,2,0,,99,150,12498,0
155,155,尊·天子剑,0,0,,99,200,12634,0
156,156,尊·帝王剑,0,0,,99,200,12635,0
157,157,尊·青龙偃月刀,0,0,,99,200,12636,0
158,158,尊·赤兔,3,0,,99,350,12637,0
159,159,尊·龙冠,1,0,,99,200,12638,0
160,160,尊·皇袍,2,0,,99,150,12639,0
