opcode_hex,signed_opcode,handler,handler_code_off,branch_read_sequence,handler_direct_read_sequence,request_candidate_minus_0x7000,request_candidate_minus_0x8000
0x800c,-32756,LscriptPages/game/n;->u2(Ljava/lang/String;)V,0x2ed6a0,,000c:readByte(Ljava/lang/String;)B || 001c:readInt(Ljava/lang/String;)I || 0022:readLong(Ljava/lang/String;)J || 0028:readLong(Ljava/lang/String;)J || 002e:readShort(Ljava/lang/String;)S || 0036:readShort(Ljava/lang/String;)S || 003c:readShort(Ljava/lang/String;)S || 0042:readShort(Ljava/lang/String;)S || 004c:readLong(Ljava/lang/String;)J || 0058:readInt(Ljava/lang/String;)I || 0072:readLong(Ljava/lang/String;)J,0x100c,0x000c
0x800d,-32755,LscriptPages/game/s0;->b([B)V,0x40b000,,,0x100d,0x000d
0x8010,-32752,LscriptPages/game/s0;->R(Ljava/lang/String;)V,0x40ff68,,0000:readByte(Ljava/lang/String;)B || 0008:readInt(Ljava/lang/String;)I || 0010:readInt(Ljava/lang/String;)I,0x1010,0x0010
0x8012,-32750,LscriptPages/game/s0;->S(Ljava/lang/String;)V,0x40ffe0,,0000:readShort(Ljava/lang/String;)S || 0036:readShort(Ljava/lang/String;)S || 003e:readShort(Ljava/lang/String;)S || 008c:readShort(Ljava/lang/String;)S || 00a0:readLong(Ljava/lang/String;)J || 00a8:readShort(Ljava/lang/String;)S || 00b4:readShort(Ljava/lang/String;)S || 00c0:readByte(Ljava/lang/String;)B || 00ea:readByte(Ljava/lang/String;)B || 0102:readUTF(Ljava/lang/String;)Ljava/lang/String; || 010a:readByte(Ljava/lang/String;)B || 0112:readByte(Ljava/lang/String;)B || 011a:readByte(Ljava/lang/String;)B || 0122:readByte(Ljava/lang/String;)B || 012a:readUTF(Ljava/lang/String;)Ljava/lang/String; || 0142:readByte(Ljava/lang/String;)B || 014e:readUTF(Ljava/lang/String;)Ljava/lang/String; || 0156:readUTF(Ljava/lang/String;)Ljava/lang/String; || 0162:readInt(Ljava/lang/String;)I || 016e:readInt(Ljava/lang/String;)I || 017a:readInt(Ljava/lang/String;)I || 0190:readShort(Ljava/lang/String;)S || 019c:readShort(Ljava/lang/String;)S || 01b4:readInt(Ljava/lang/String;)I || 01c0:readInt(Ljava/lang/String;)I || 01d0:readInt(Ljava/lang/String;)I || 01dc:readInt(Ljava/lang/String;)I || 01e8:readInt(Ljava/lang/String;)I || 01ee:readInt(Ljava/lang/String;)I || 01f4:readShort(Ljava/lang/String;)S || 01fc:readLong(Ljava/lang/String;)J || 0204:readByte(Ljava/lang/String;)B,0x1012 reqFightingCity@scriptPages/game/s0->Z,0x0012
0x8014,-32748,LscriptPages/game/a0;->a0(Ljava/lang/String;)V,0x392408,,0000:readByte(Ljava/lang/String;)B || 0012:readByte(Ljava/lang/String;)B || 0054:readLong(Ljava/lang/String;)J || 0064:readUTF(Ljava/lang/String;)Ljava/lang/String; || 0074:readShort(Ljava/lang/String;)S || 0084:readByte(Ljava/lang/String;)B || 0094:readUTF(Ljava/lang/String;)Ljava/lang/String; || 00a4:readUTF(Ljava/lang/String;)Ljava/lang/String;,0x1014,0x0014
0x8016,-32746,LscriptPages/game/a0;->s0(Ljava/lang/String;)V,0x392e98,,0000:readByte(Ljava/lang/String;)B || 0008:readUTF(Ljava/lang/String;)Ljava/lang/String;,0x1016,0x0016
0x8018,-32744,LscriptPages/game/p0;->E(Ljava/lang/String;)V,0x3de020,,0012:readByte(Ljava/lang/String;)B || 0034:readUTF(Ljava/lang/String;)Ljava/lang/String;,0x1018,0x0018
0x8020,-32736,LscriptPages/data/i;->z(Ljava/lang/String;)V,0x28c230,,0000:readLong(Ljava/lang/String;)J || 000c:readLong(Ljava/lang/String;)J || 0018:readInt(Ljava/lang/String;)I || 0024:readInt(Ljava/lang/String;)I || 0030:readLong(Ljava/lang/String;)J || 003c:readLong(Ljava/lang/String;)J || 0048:readLong(Ljava/lang/String;)J || 0054:readLong(Ljava/lang/String;)J,0x1020,0x0020
0x8022,-32734,LscriptPages/data/g;->f4(Ljava/lang/String;)V,0x28736c,,0006:readUTF(Ljava/lang/String;)Ljava/lang/String; || 0012:readByte(Ljava/lang/String;)B || 002c:readShort(Ljava/lang/String;)S || 003e:readByte(Ljava/lang/String;)B || 0058:readLong(Ljava/lang/String;)J || 006a:readByte(Ljava/lang/String;)B || 008c:readUTF(Ljava/lang/String;)Ljava/lang/String; || 009c:readUTF(Ljava/lang/String;)Ljava/lang/String;,0x1022 di_联网数据请求@scriptPages/data/g->c2,0x0022
0x8024,-32732,LscriptPages/game/a0;->g0(Ljava/lang/String;)V,0x392754,,0000:readByte(Ljava/lang/String;)B,0x1024 reqFCMVerify@scriptPages/game/a0->f0,0x0024
0x8025,-32731,LscriptPages/game/b0;->O0(Ljava/lang/String;)V,0x383ecc,,0000:readByte(Ljava/lang/String;)B,0x1025 (unnamed)@scriptPages/PageMain->ExitGame,0x0025
0x8100,-32512,LscriptPages/game/q;->m1(Ljava/lang/String;)V,0x328478,,0000:readShort(Ljava/lang/String;)S || 0006:readByte(Ljava/lang/String;)B || 003a:readLong(Ljava/lang/String;)J || 004a:readInt(Ljava/lang/String;)I || 005a:readShort(Ljava/lang/String;)S || 006a:readShort(Ljava/lang/String;)S,0x1100 propdec@scriptPages/game/q->B1; reqItemMallGoods@scriptPages/game/q->t0,0x0100
0x8101,-32511,LscriptPages/game/f0;->k(Ljava/lang/String;)V,0x39de58,,003c:readByte(Ljava/lang/String;)B || 0052:readShort(Ljava/lang/String;)S || 005e:readShort(Ljava/lang/String;)S || 0096:readByte(Ljava/lang/String;)B || 00d0:readLong(Ljava/lang/String;)J || 00e0:readShort(Ljava/lang/String;)S || 00f0:readInt(Ljava/lang/String;)I || 0100:readShort(Ljava/lang/String;)S || 0110:readShort(Ljava/lang/String;)S || 015e:readShort(Ljava/lang/String;)S || 016a:readShort(Ljava/lang/String;)S || 017a:readByte(Ljava/lang/String;)B || 01cc:readLong(Ljava/lang/String;)J || 01e0:readShort(Ljava/lang/String;)S || 01f4:readInt(Ljava/lang/String;)I || 0208:readShort(Ljava/lang/String;)S || 021c:readShort(Ljava/lang/String;)S,0x1101,0x0101
0x8102,-32510,LscriptPages/game/q;->k(Ljava/lang/String;)V,0x3166a8,,0006:readByte(Ljava/lang/String;)B || 000e:readUTF(Ljava/lang/String;)Ljava/lang/String; || 001c:readLong(Ljava/lang/String;)J || 0024:readInt(Ljava/lang/String;)I || 002c:readShort(Ljava/lang/String;)S || 0034:readShort(Ljava/lang/String;)S,0x1102 buyMallGood@scriptPages/game/q->B1,0x0102
0x8103,-32509,LscriptPages/game/k0;->Y(Ljava/lang/String;)V,0x3ccf30,,0000:readByte(Ljava/lang/String;)B || 0006:readUTF(Ljava/lang/String;)Ljava/lang/String;,0x1103 reqUseItem@scriptPages/game/k0->X,0x0103
0x8104,-32508,Lo/a;->q7(Ljava/lang/String;)V,0x247ebc,,,0x1104 (unnamed)@o/a->M6,0x0104
0x8110,-32496,LscriptPages/data/i;->b(Ljava/lang/String;)V,0x28bcfc,04a6:readByte(Ljava/lang/String;)B || 04d0:readBoolean(Ljava/lang/String;)Z || 04dc:readBoolean(Ljava/lang/String;)Z || 04ee:readBoolean(Ljava/lang/String;)Z || 04fa:readBoolean(Ljava/lang/String;)Z || 0518:readUTF(Ljava/lang/String;)Ljava/lang/String; || 0526:readUTF(Ljava/lang/String;)Ljava/lang/String; || 0534:readBoolean(Ljava/lang/String;)Z || 0554:readBoolean(Ljava/lang/String;)Z || 0562:readLong(Ljava/lang/String;)J || 0570:readBoolean(Ljava/lang/String;)Z || 057a:readBoolean(Ljava/lang/String;)Z || 0588:readByte(Ljava/lang/String;)B || 0596:readUTF(Ljava/lang/String;)Ljava/lang/String; || 05a4:readByte(Ljava/lang/String;)B || 05ae:readShort(Ljava/lang/String;)S || 05bc:readShort(Ljava/lang/String;)S || 05d0:readByte(Ljava/lang/String;)B || 05de:readByte(Ljava/lang/String;)B || 05f4:readByte(Ljava/lang/String;)B || 060e:readInt(Ljava/lang/String;)I || 0624:readLong(Ljava/lang/String;)J || 0630:readInt(Ljava/lang/String;)I || 064e:readBoolean(Ljava/lang/String;)Z,0000:readLong(Ljava/lang/String;)J || 000c:readLong(Ljava/lang/String;)J || 0018:readInt(Ljava/lang/String;)I || 0024:readInt(Ljava/lang/String;)I || 0030:readInt(Ljava/lang/String;)I || 003e:readInt(Ljava/lang/String;)I || 004c:readLong(Ljava/lang/String;)J || 0058:readByte(Ljava/lang/String;)B || 0074:readByte(Ljava/lang/String;)B || 0084:readByte(Ljava/lang/String;)B || 0094:readByte(Ljava/lang/String;)B || 00bc:readLong(Ljava/lang/String;)J || 00d6:readLong(Ljava/lang/String;)J || 00f8:readLong(Ljava/lang/String;)J || 0108:readLong(Ljava/lang/String;)J || 011e:readLong(Ljava/lang/String;)J || 0134:readLong(Ljava/lang/String;)J || 014a:readLong(Ljava/lang/String;)J || 0162:readByte(Ljava/lang/String;)B || 017a:readByte(Ljava/lang/String;)B || 0190:readByte(Ljava/lang/String;)B || 01a0:readShort(Ljava/lang/String;)S || 01b0:readByte(Ljava/lang/String;)B || 01ca:readBoolean(Ljava/lang/String;)Z || 01e4:readLong(Ljava/lang/String;)J || 01fa:readByte(Ljava/lang/String;)B || 0210:readByte(Ljava/lang/String;)B || 0226:readInt(Ljava/lang/String;)I || 023c:readUTF(Ljava/lang/String;)Ljava/lang/String;,0x1110,0x0110
0x8112,-32494,LscriptPages/game/i;->x(Ljava/lang/String;)V,0x2b45f8,,000e:readByte(Ljava/lang/String;)B || 0016:readInt(Ljava/lang/String;)I || 002a:readBoolean(Ljava/lang/String;)Z,0x1112 di_提示不能发言@scriptPages/game/i->H,0x0112
0x8113,-32493,,,,,0x1113,0x0113
0x8114,-32492,LscriptPages/game/h0;->a0(Ljava/lang/String;)V,0x3b05ac,,0028:readByte(Ljava/lang/String;)B || 002e:readLong(Ljava/lang/String;)J || 0058:readByte(Ljava/lang/String;)B || 0064:readUTF(Ljava/lang/String;)Ljava/lang/String; || 0070:readUTF(Ljava/lang/String;)Ljava/lang/String; || 007c:readByte(Ljava/lang/String;)B || 0096:readUTF(Ljava/lang/String;)Ljava/lang/String; || 00a8:readByte(Ljava/lang/String;)B || 00c2:readUTF(Ljava/lang/String;)Ljava/lang/String; || 00d4:readInt(Ljava/lang/String;)I || 00e8:readByte(Ljava/lang/String;)B || 011a:readShort(Ljava/lang/String;)S || 012e:readShort(Ljava/lang/String;)S || 0140:readInt(Ljava/lang/String;)I || 0158:readByte(Ljava/lang/String;)B || 018a:readShort(Ljava/lang/String;)S || 019e:readShort(Ljava/lang/String;)S || 01b0:readByte(Ljava/lang/String;)B || 01e2:readShort(Ljava/lang/String;)S || 01f6:readShort(Ljava/lang/String;)S || 0208:readUTF(Ljava/lang/String;)Ljava/lang/String; || 0258:readByte(Ljava/lang/String;)B || 0270:readUTF(Ljava/lang/String;)Ljava/lang/String; || 0282:readBoolean(Ljava/lang/String;)Z || 02c4:readByte(Ljava/lang/String;)B || 02cc:readLong(Ljava/lang/String;)J || 03f4:readByte(Ljava/lang/String;)B || 03fc:readLong(Ljava/lang/String;)J || 05c6:readLong(Ljava/lang/String;)J || 0602:readUTF(Ljava/lang/String;)Ljava/lang/String;,0x1114,0x0114
0x8116,-32490,LscriptPages/game/h0;->c0(Ljava/lang/String;)V,0x3b0c34,,0000:readByte(Ljava/lang/String;)B || 0008:readByte(Ljava/lang/String;)B || 0026:readByte(Ljava/lang/String;)B || 0032:readInt(Ljava/lang/String;)I || 0040:readLong(Ljava/lang/String;)J,0x1116 reqDelMsg@scriptPages/game/h0->b0,0x0116
0x8118,-32488,LscriptPages/game/h0;->h0(Ljava/lang/String;)V,0x3b0e88,,0000:readByte(Ljava/lang/String;)B || 0008:readUTF(Ljava/lang/String;)Ljava/lang/String;,0x1118 reqSendMsg@scriptPages/game/h0->g0,0x0118
0x811a,-32486,LscriptPages/game/h0;->f0(Ljava/lang/String;)V,0x3b0dfc,,,0x111a (unnamed)@scriptPages/game/h0->m0,0x011a
0x811d,-32483,LscriptPages/game/h0;->Y(Ljava/lang/String;)V,0x3b040c,,0006:readByte(Ljava/lang/String;)B || 0012:readLong(Ljava/lang/String;)J || 001a:readInt(Ljava/lang/String;)I || 0050:readShort(Ljava/lang/String;)S || 005c:readShort(Ljava/lang/String;)S || 0076:readInt(Ljava/lang/String;)I || 007e:readByte(Ljava/lang/String;)B || 00ca:readUTF(Ljava/lang/String;)Ljava/lang/String;,0x111d,0x011d
0x811f,-32481,LscriptPages/game/h0;->d0(Ljava/lang/String;)V,0x3b0cec,,0000:readByte(Ljava/lang/String;)B || 000c:readLong(Ljava/lang/String;)J || 0026:readUTF(Ljava/lang/String;)Ljava/lang/String;,0x111f,0x011f
0x8120,-32480,LscriptPages/data/i;->x(Ljava/lang/String;)V,0x28bf60,0d28:readByte(Ljava/lang/String;)B,0004:readLong(Ljava/lang/String;)J || 0010:readUTF(Ljava/lang/String;)Ljava/lang/String; || 001c:readByte(Ljava/lang/String;)B || 0028:readByte(Ljava/lang/String;)B || 0034:readLong(Ljava/lang/String;)J || 0040:readLong(Ljava/lang/String;)J || 004c:readLong(Ljava/lang/String;)J || 0058:readByte(Ljava/lang/String;)B || 0064:readShort(Ljava/lang/String;)S || 0070:readByte(Ljava/lang/String;)B || 007c:readLong(Ljava/lang/String;)J || 0088:readLong(Ljava/lang/String;)J || 0094:readLong(Ljava/lang/String;)J || 00a0:readLong(Ljava/lang/String;)J || 00a6:readByte(Ljava/lang/String;)B || 00b2:readInt(Ljava/lang/String;)I || 00be:readInt(Ljava/lang/String;)I || 00ca:readLong(Ljava/lang/String;)J || 00d6:readLong(Ljava/lang/String;)J || 00e2:readLong(Ljava/lang/String;)J || 00ee:readLong(Ljava/lang/String;)J || 00fa:readByte(Ljava/lang/String;)B || 0106:readByte(Ljava/lang/String;)B || 0112:readByte(Ljava/lang/String;)B || 011e:readByte(Ljava/lang/String;)B || 012a:readByte(Ljava/lang/String;)B || 0130:readShort(Ljava/lang/String;)S || 013c:readInt(Ljava/lang/String;)I || 0148:readInt(Ljava/lang/String;)I || 014e:readInt(Ljava/lang/String;)I || 0154:readInt(Ljava/lang/String;)I || 015a:readInt(Ljava/lang/String;)I || 0160:readLong(Ljava/lang/String;)J || 016c:readLong(Ljava/lang/String;)J || 0172:readInt(Ljava/lang/String;)I || 017e:readLong(Ljava/lang/String;)J || 018a:readInt(Ljava/lang/String;)I,0x1120 reqRoleInfo@scriptPages/game/w->d0,0x0120
0x8122,-32478,LscriptPages/game/w;->T(Ljava/lang/String;)V,0x3494c0,,0006:readByte(Ljava/lang/String;)B || 000e:readByte(Ljava/lang/String;)B || 0016:readInt(Ljava/lang/String;)I,0x1122,0x0122
0x8124,-32476,LscriptPages/game/w;->R(Ljava/lang/String;)V,0x3491e4,,0000:readByte(Ljava/lang/String;)B || 0008:readByte(Ljava/lang/String;)B || 0016:readByte(Ljava/lang/String;)B,0x1124,0x0124
0x8126,-32474,LscriptPages/game/w;->b(Ljava/lang/String;)V,0x3420c4,,0000:readByte(Ljava/lang/String;)B || 0008:readByte(Ljava/lang/String;)B || 0010:readUTF(Ljava/lang/String;)Ljava/lang/String;,0x1126,0x0126
0x8130,-32464,LscriptPages/game/m0;->s(Ljava/lang/String;)V,0x3d2350,,,0x1130 (unnamed)@scriptPages/game/m0->r,0x0130
0x8131,-32463,Lo/a;->k7(Ljava/lang/String;)V,0x2454a0,,000c:readInt(Ljava/lang/String;)I || 0066:readUTF(Ljava/lang/String;)Ljava/lang/String; || 0076:readLong(Ljava/lang/String;)J || 0086:readUTF(Ljava/lang/String;)Ljava/lang/String; || 0096:readLong(Ljava/lang/String;)J || 00a6:readLong(Ljava/lang/String;)J || 00b6:readBoolean(Ljava/lang/String;)Z || 00c6:readUTF(Ljava/lang/String;)Ljava/lang/String;,0x1131,0x0131
0x8132,-32462,LscriptPages/game/m0;->w(Ljava/lang/String;)V,0x3d26d4,,0000:readByte(Ljava/lang/String;)B || 0012:readByte(Ljava/lang/String;)B || 001a:readLong(Ljava/lang/String;)J || 003c:readUTF(Ljava/lang/String;)Ljava/lang/String; || 0048:readByte(Ljava/lang/String;)B || 0072:readUTF(Ljava/lang/String;)Ljava/lang/String; || 008c:readUTF(Ljava/lang/String;)Ljava/lang/String; || 009c:readByte(Ljava/lang/String;)B || 00e2:readShort(Ljava/lang/String;)S || 0116:readShort(Ljava/lang/String;)S || 0144:readInt(Ljava/lang/String;)I || 015e:readShort(Ljava/lang/String;)S || 0184:readUTF(Ljava/lang/String;)Ljava/lang/String; || 0194:readUTF(Ljava/lang/String;)Ljava/lang/String;,0x1132 reqTaskInfo@scriptPages/game/m0->v,0x0132
0x8134,-32460,LscriptPages/game/m0;->u(Ljava/lang/String;)V,0x3d23ac,,0006:readByte(Ljava/lang/String;)B || 0020:readByte(Ljava/lang/String;)B || 002e:readLong(Ljava/lang/String;)J || 003a:readLong(Ljava/lang/String;)J || 0046:readLong(Ljava/lang/String;)J || 0052:readLong(Ljava/lang/String;)J || 00d4:readUTF(Ljava/lang/String;)Ljava/lang/String;,0x1134 reqGainAward@scriptPages/game/m0->t,0x0134
0x8136,-32458,LscriptPages/game/m0;->y(Ljava/lang/String;)V,0x3d2a08,,0006:readByte(Ljava/lang/String;)B,0x1136 facebook@scriptPages/game/m0->B,0x0136
