item_id,name,type_label,package_kind,key_required,guaranteed_reward_text,reward_tokens,resolved_reward_item_refs,probability_categories,probability_text,mall_summary,dynamic_evidence,desc
63,黄金钥匙,礼包/宝箱/资源包,礼包/箱候选,,,,,,,,,可以开启黄金宝箱的钥匙.
68,精铁钥匙,礼包/宝箱/资源包,礼包/箱候选,,,,,,,cat7/p1/good68/价1=8/价2=0,,可以开启精铁宝箱的钥匙.
69,白金宝箱,礼包/宝箱/资源包,随机概率宝箱,白金钥匙,一些宝物、装备、宝箱,一些宝物 / 装备 / 宝箱,,宝箱类道具=10.0% / 功能性道具=30.0% / 加速类道具=20.0% / 增益性道具=20.0% / 资产类道具=20.0%,开启的道具概率如下：\n宝箱类道具 10.00%\n功能性道具 30.00%\n加速类道具 20.00%\n增益性道具 20.00%\n资产类道具 20.00%,,,开启后可以随机获得一些宝物、装备、宝箱;开启此宝箱需要一把白金钥匙.#probability#开启的道具概率如下：\n宝箱类道具 10.00%\n功能性道具 30.00%\n加速类道具 20.00%\n增益性道具 20.00%\n资产类道具 20.00%\n\n 
70,如意宝箱,礼包/宝箱/资源包,随机概率宝箱,如意钥匙,一些宝物、装备、宝箱,一些宝物 / 装备 / 宝箱,,宝箱类道具=10.0% / 功能性道具=20.0% / 加速类道具=20.0% / 增益性道具=30.0% / 资产类道具=20.0%,开启的道具概率如下：\n宝箱类道具 10.00%\n功能性道具 20.00%\n加速类道具 20.00%\n增益性道具 30.00%\n资产类道具 20.00%,,,开启后可以随机获得一些宝物、装备、宝箱;开启此宝箱需要一把如意钥匙.#probability#开启的道具概率如下：\n宝箱类道具 10.00%\n功能性道具 20.00%\n加速类道具 20.00%\n增益性道具 30.00%\n资产类道具 20.00%
71,天赐宝箱,礼包/宝箱/资源包,随机概率宝箱,天赐钥匙,一些宝物、装备、宝箱,一些宝物 / 装备 / 宝箱,,宝箱类道具=5.0% / 功能性道具=20.0% / 加速类道具=20.0% / 增益性道具=15.0% / 资产类道具=10.0% / 装备=30.0%,开启的道具概率如下：\n宝箱类道具 5.00%\n功能性道具 20.00%\n加速类道具 20.00%\n增益性道具 15.00%\n资产类道具 10.00%\n装备 30.00%,,,开启后可以随机获得一些宝物、装备、宝箱;开启此宝箱需要一把天赐钥匙.#probability#开启的道具概率如下：\n宝箱类道具 5.00%\n功能性道具 20.00%\n加速类道具 20.00%\n增益性道具 15.00%\n资产类道具 10.00%\n装备 30.00%
72,白金钥匙,礼包/宝箱/资源包,礼包/箱候选,,,,,,,,,可以开启白金宝箱的钥匙.
73,如意钥匙,礼包/宝箱/资源包,礼包/箱候选,,,,,,,,,可以开启如意宝箱的钥匙.
74,天赐钥匙,礼包/宝箱/资源包,礼包/箱候选,,,,,,,,,可以开启天赐宝箱的钥匙.
75,奖励宝箱,礼包/宝箱/资源包,固定装备/兵书箱,,一些宝物、装备、宝箱,一些宝物 / 装备 / 宝箱,,,,,,开启后可以随机获得一些宝物、装备、宝箱.
81,中级铜钱辎重,礼包/宝箱/资源包,资源包/辎重,,30000铜钱,30000铜钱,,,,,,"存放铜钱的辎重,开启后可获取30000铜钱."
82,粮食辎重,礼包/宝箱/资源包,资源包/辎重,,10000粮食,10000粮食,,,,,,"存放粮食的辎重,开启后可获取10000粮食."
83,高级铜钱辎重,礼包/宝箱/资源包,资源包/辎重,,300000铜钱,300000铜钱,,,,,,"存放铜钱的辎重,开启后可获取300000铜钱."
84,高级资源辎重,礼包/宝箱/资源包,资源包/辎重,,500000铜钱、2000000粮食,500000铜钱 / 2000000粮食,,,,,,"存放钱粮的辎重,开启后可获取500000铜钱、2000000粮食."
85,钻石礼包,礼包/宝箱/资源包,固定礼包,,"成长值82的将领1个,徭役令10个,高级屯田令1个,高级通商令1个,鲁公秘录3个,紧急招募令3个,招贤令10,兵法心得5个,高级迁封令3个，高级战鼓1个,高级八阵图1个,悬赏令3个,大财神符3个,大神农符3个,大福神符3个,大练兵符3个,冰玉大材料包1个，仙芝大材料包1个，黄金999个",成长值82的将领1个 / 徭役令10个 / 高级屯田令1个 / 高级通商令1个 / 鲁公秘录3个 / 紧急招募令3个 / 招贤令10 / 兵法心得5个 / 高级迁封令3个 / 高级战鼓1个 / 高级八阵图1个 / 悬赏令3个 / 大财神符3个 / 大神农符3个 / 大福神符3个 / 大练兵符3个 / 冰玉大材料包1个 / 仙芝大材料包1个 / 黄金999个,徭役令:item_id=0 / 高级屯田令:item_id=2 / 高级通商令:item_id=33 / 鲁公秘录:item_id=26 / 紧急招募令:item_id=29 / 招贤令:item_id=20 / 兵法心得:item_id=18 / 高级迁封令:item_id=8 / 高级战鼓:item_id=65 / 悬赏令:item_id=102 / 大财神符:item_id=106 / 大神农符:item_id=104 / 大福神符:item_id=108 / 大练兵符:item_id=110 / 冰玉大材料包:item_id=201 / 仙芝大材料包:item_id=205,,,cat1/p2/good46/价1=3000/价2=0; cat7/p1/good43/价1=3000/价2=0,商城篡改验证：good_id=43/钻石礼包，白银路径返回不能用白银购买，黄金路径返回黄金不足。,"开启后可获得:成长值82的将领1个,徭役令10个,高级屯田令1个,高级通商令1个,鲁公秘录3个,紧急招募令3个,招贤令10,兵法心得5个,高级迁封令3个，高级战鼓1个,高级八阵图1个,悬赏令3个,大财神符3个,大神农符3个,大福神符3个,大练兵符3个,冰玉大材料包1个，仙芝大材料包1个，黄金999个."
86,金礼包,礼包/宝箱/资源包,固定礼包,,"成长值75的将领1个,招贤令8个,高级迁封令1个，战鼓1个,八阵图1个,悬赏令1个,财神符3个,神农符3个,练兵符3个,福神符3个,玄铁大材料包1个，玉露大材料包1个，黄金399个",成长值75的将领1个 / 招贤令8个 / 高级迁封令1个 / 战鼓1个 / 八阵图1个 / 悬赏令1个 / 财神符3个 / 神农符3个 / 练兵符3个 / 福神符3个 / 玄铁大材料包1个 / 玉露大材料包1个 / 黄金399个,招贤令:item_id=20 / 高级迁封令:item_id=8 / 战鼓:item_id=64 / 悬赏令:item_id=102 / 财神符:item_id=105 / 神农符:item_id=103 / 练兵符:item_id=109 / 福神符:item_id=107 / 玄铁大材料包:item_id=200 / 玉露大材料包:item_id=204,,,cat1/p2/good47/价1=800/价2=0; cat7/p1/good42/价1=800/价2=0,,"开启后可获得:成长值75的将领1个,招贤令8个,高级迁封令1个，战鼓1个,八阵图1个,悬赏令1个,财神符3个,神农符3个,练兵符3个,福神符3个,玄铁大材料包1个，玉露大材料包1个，黄金399个."
87,银礼包,礼包/宝箱/资源包,固定礼包,,"徭役令5个,屯田令3个,通商令3个,招贤令5个,迁封令1个,练兵符1个,福神符1个，水晶大材料包，灵草大材料包，黄金99个",徭役令5个 / 屯田令3个 / 通商令3个 / 招贤令5个 / 迁封令1个 / 练兵符1个 / 福神符1个 / 水晶大材料包 / 灵草大材料包 / 黄金99个,徭役令:item_id=0 / 屯田令:item_id=1 / 通商令:item_id=32 / 招贤令:item_id=20 / 迁封令:item_id=6 / 练兵符:item_id=109 / 福神符:item_id=107 / 水晶大材料包:item_id=199 / 灵草大材料包:item_id=203,,,cat7/p1/good41/价1=200/价2=0,,"开启后可获得:徭役令5个,屯田令3个,通商令3个,招贤令5个,迁封令1个,练兵符1个,福神符1个，水晶大材料包，灵草大材料包，黄金99个."
88,内测礼包,礼包/宝箱/资源包,固定礼包,,开启后可获得金、银礼包、钱粮和很多宝物,开启后可获得金 / 银礼包 / 钱粮 / 很多宝物,银礼包:item_id=87,,,,,开启后可获得金、银礼包、钱粮和很多宝物.
91,铜钱辎重,礼包/宝箱/资源包,资源包/辎重,,3000铜钱,3000铜钱,,,,,,"存放铜钱的辎重,开启后可获取3000铜钱."
94,公测礼包,礼包/宝箱/资源包,固定礼包,,"公测礼包,开启后可获得白银和很多宝物",公测礼包 / 开启后可获得白银 / 很多宝物,公测礼包:item_id=94,,,,,"公测礼包,开启后可获得白银和很多宝物."
95,50两银票,礼包/宝箱/资源包,礼包/箱候选,,50两白银,50两白银,,,,,,开启后可获取50两白银.
96,100两银票,礼包/宝箱/资源包,礼包/箱候选,,100两白银,100两白银,,,,,,开启后可获取100两白银.
97,300两银票,礼包/宝箱/资源包,礼包/箱候选,,300两白银,300两白银,,,,,,开启后可获取300两白银.
98,1000两银票,礼包/宝箱/资源包,礼包/箱候选,,1000两白银,1000两白银,,,,,,开启后可获取1000两白银.
99,惊喜宝箱,礼包/宝箱/资源包,随机概率宝箱,,,,,宝箱类道具=2.0% / 材料=12.7% / 功能性道具=19.45% / 加速类道具=27.45% / 增益性道具=13.4% / 资产类道具=25.0%,"开启的道具概率如下：\n宝箱类道具 2.00%\n材料 12.70%\n功能性道具 19.45%\n加速类道具 27.45%\n增益性道具 13.40%\n资产类道具 25.00%""",,道具使用动态验证：0x3144 惊喜宝箱 item_id=99；有库存时再次消耗并开奖，无库存返回不足。,"惊喜宝箱可能会开出很多意想不到的宝物哦,赶紧打开看看吧.#probability#开启的道具概率如下：\n宝箱类道具 2.00%\n材料 12.70%\n功能性道具 19.45%\n加速类道具 27.45%\n增益性道具 13.40%\n资产类道具 25.00%"""
100,无敌礼包,礼包/宝箱/资源包,固定礼包,,,,,,,,,无敌
118,专属礼包,礼包/宝箱/资源包,固定礼包,,,,,,,,,"尊贵的专属礼包,内含大量白银、道具."
169,建国道具礼包,礼包/宝箱/资源包,固定礼包,,,,,,,,,无敌
170,技能书礼包,礼包/宝箱/资源包,固定礼包,,,,,,,,,无敌
171,材料礼包,礼包/宝箱/资源包,固定礼包,,,,,,,,,无敌
173,30级兵甲箱,礼包/宝箱/资源包,固定装备/兵书箱,,兵书3本，并附赠一件30级以内铠甲，品质在良好以上,兵书3本 / 一件30级以内铠甲 / 品质在良好以上,兵书:item_id=16,,,cat3/p1/good85/价1=5/价2=0,,开启获得兵书3本，并附赠一件30级以内铠甲，品质在良好以上。
174,70级兵甲箱,礼包/宝箱/资源包,固定装备/兵书箱,,兵书7本，并附赠一件70级以内铠甲，品质在良好以上,兵书7本 / 一件70级以内铠甲 / 品质在良好以上,兵书:item_id=16,,,cat3/p1/good87/价1=8/价2=0,,开启获得兵书7本，并附赠一件70级以内铠甲，品质在良好以上。
175,60级兵骑箱,礼包/宝箱/资源包,固定装备/兵书箱,,兵书6本，并附赠一匹60级以内坐骑，品质在良好以上,兵书6本 / 一匹60级以内坐骑 / 品质在良好以上,兵书:item_id=16,,,cat3/p1/good89/价1=18/价2=0,,开启获得兵书6本，并附赠一匹60级以内坐骑，品质在良好以上。
176,50级兵盔箱,礼包/宝箱/资源包,固定装备/兵书箱,,兵书5本，并附赠一顶50级以内头盔，品质在良好以上,兵书5本 / 一顶50级以内头盔 / 品质在良好以上,兵书:item_id=16,,,cat3/p1/good83/价1=6/价2=0,,开启获得兵书5本，并附赠一顶50级以内头盔，品质在良好以上。
177,80级兵骑箱,礼包/宝箱/资源包,固定装备/兵书箱,,兵书8本，并附赠一匹80级以内坐骑，品质在良好以上,兵书8本 / 一匹80级以内坐骑 / 品质在良好以上,兵书:item_id=16,,,cat3/p1/good90/价1=25/价2=0,,开启获得兵书8本，并附赠一匹80级以内坐骑，品质在良好以上。
178,镔铁材料包,礼包/宝箱/资源包,材料包,,,,,,,cat3/p3/good103/价1=1/价2=0,,"内含10个镔铁,可用于普通装备的强化."
179,水晶材料包,礼包/宝箱/资源包,材料包,,,,,,,cat3/p3/good104/价1=3/价2=0,,"内含10个水晶,可用于品质良好装备的强化."
180,玄铁材料包,礼包/宝箱/资源包,材料包,,,,,,,cat3/p3/good105/价1=5/价2=0,,"内含10个玄铁,可用于品质优秀装备的强化."
181,冰玉材料包,礼包/宝箱/资源包,材料包,,,,,,,cat3/p3/good106/价1=10/价2=0,,"内含10个冰玉,可用于品质卓越装备的强化."
182,浆果材料包,礼包/宝箱/资源包,材料包,,,,,,,cat3/p3/good107/价1=1/价2=0,,"内含10个浆果,可用于普通坐骑的强化."
183,灵草材料包,礼包/宝箱/资源包,材料包,,,,,,,cat3/p3/good108/价1=3/价2=0,,"内含10个灵草,可用于品质良好坐骑的强化."
184,玉露材料包,礼包/宝箱/资源包,材料包,,,,,,,cat3/p3/good109/价1=5/价2=0,,"内含10个玉露,可用于品质优秀坐骑的强化."
185,仙芝材料包,礼包/宝箱/资源包,材料包,,,,,,,cat3/p3/good110/价1=10/价2=0,,"内含10个仙芝,可用于品质卓越坐骑的强化."
186,30级高级兵武箱,礼包/宝箱/资源包,固定装备/兵书箱,,兵书3本，并附赠一把30级以内武器，品质在优秀以上,兵书3本 / 一把30级以内武器 / 品质在优秀以上,兵书:item_id=16,,,cat3/p2/good91/价1=30/价2=0,,开启获得兵书3本，并附赠一把30级以内武器，品质在优秀以上。
187,60级高级兵武箱,礼包/宝箱/资源包,固定装备/兵书箱,,兵书6本，并附赠一把60级以内武器，品质在优秀以上,兵书6本 / 一把60级以内武器 / 品质在优秀以上,兵书:item_id=16,,,cat3/p2/good92/价1=36/价2=0,,开启获得兵书6本，并附赠一把60级以内武器，品质在优秀以上。
188,80级高级兵武箱,礼包/宝箱/资源包,固定装备/兵书箱,,兵书8本，并附赠一把80级以内武器，品质在优秀以上,兵书8本 / 一把80级以内武器 / 品质在优秀以上,兵书:item_id=16,,,cat3/p2/good93/价1=45/价2=0,,开启获得兵书8本，并附赠一把80级以内武器，品质在优秀以上。
189,30级高级兵盔箱,礼包/宝箱/资源包,固定装备/兵书箱,,兵书3本，并附赠一顶30级以内头盔，品质在优秀以上,兵书3本 / 一顶30级以内头盔 / 品质在优秀以上,兵书:item_id=16,,,cat3/p2/good94/价1=15/价2=0,,开启获得兵书3本，并附赠一顶30级以内头盔，品质在优秀以上。
190,50级高级兵盔箱,礼包/宝箱/资源包,固定装备/兵书箱,,兵书5本，并附赠一顶50级以内头盔，品质在优秀以上,兵书5本 / 一顶50级以内头盔 / 品质在优秀以上,兵书:item_id=16,,,cat3/p2/good95/价1=18/价2=0,,开启获得兵书5本，并附赠一顶50级以内头盔，品质在优秀以上。
191,70级高级兵盔箱,礼包/宝箱/资源包,固定装备/兵书箱,,兵书7本，并附赠一顶70级以内头盔，品质在优秀以上,兵书7本 / 一顶70级以内头盔 / 品质在优秀以上,兵书:item_id=16,,,cat3/p2/good96/价1=24/价2=0,,开启获得兵书7本，并附赠一顶70级以内头盔，品质在优秀以上。
192,30级高级兵甲箱,礼包/宝箱/资源包,固定装备/兵书箱,,兵书3本，并附赠一件30级以内铠甲，品质在优秀以上,兵书3本 / 一件30级以内铠甲 / 品质在优秀以上,兵书:item_id=16,,,cat3/p2/good97/价1=15/价2=0,,开启获得兵书3本，并附赠一件30级以内铠甲，品质在优秀以上
193,50级高级兵甲箱,礼包/宝箱/资源包,固定装备/兵书箱,,兵书5本，并附赠一件50级以内铠甲，品质在优秀以上,兵书5本 / 一件50级以内铠甲 / 品质在优秀以上,兵书:item_id=16,,,cat3/p2/good98/价1=18/价2=0,道具使用动态验证：0x3144 50级高级兵甲箱 item_id=193；原样重放在无库存时返回不足。,开启获得兵书5本，并附赠一件50级以内铠甲，品质在优秀以上。
194,70级高级兵甲箱,礼包/宝箱/资源包,固定装备/兵书箱,,兵书7本，并附赠一件70级以内铠甲，品质在优秀以上,兵书7本 / 一件70级以内铠甲 / 品质在优秀以上,兵书:item_id=16,,,cat3/p2/good99/价1=24/价2=0,,开启获得兵书7本，并附赠一件70级以内铠甲，品质在优秀以上。
195,35级高级兵骑箱,礼包/宝箱/资源包,固定装备/兵书箱,,兵书3本，并附赠一把35级以内坐骑，品质在优秀以上,兵书3本 / 一把35级以内坐骑 / 品质在优秀以上,兵书:item_id=16,,,cat3/p2/good100/价1=45/价2=0,,开启获得兵书3本，并附赠一把35级以内坐骑，品质在优秀以上
196,60级高级兵骑箱,礼包/宝箱/资源包,固定装备/兵书箱,,兵书6本，并附赠一匹60级以内坐骑，品质在优秀以上,兵书6本 / 一匹60级以内坐骑 / 品质在优秀以上,兵书:item_id=16,,,cat3/p2/good101/价1=54/价2=0,,开启获得兵书6本，并附赠一匹60级以内坐骑，品质在优秀以上。
197,80级高级兵骑箱,礼包/宝箱/资源包,固定装备/兵书箱,,兵书8本，并附赠一匹80级以内坐骑，品质在优秀以上,兵书8本 / 一匹80级以内坐骑 / 品质在优秀以上,兵书:item_id=16,,,cat3/p2/good102/价1=75/价2=0,,开启获得兵书8本，并附赠一匹80级以内坐骑，品质在优秀以上
198,镔铁大材料包,礼包/宝箱/资源包,材料包,,,,,,,cat3/p3/good111/价1=9/价2=0,,"内含99个镔铁,可用于普通装备的强化."
199,水晶大材料包,礼包/宝箱/资源包,材料包,,,,,,,cat3/p3/good112/价1=27/价2=0,,"内含99个水晶,可用于品质良好装备的强化."
200,玄铁大材料包,礼包/宝箱/资源包,材料包,,,,,,,cat3/p3/good113/价1=45/价2=0,,"内含99个玄铁,可用于品质优秀装备的强化."
201,冰玉大材料包,礼包/宝箱/资源包,材料包,,,,,,,cat3/p3/good114/价1=90/价2=0,,"内含99个冰玉,可用于品质卓越装备的强化."
202,浆果大材料包,礼包/宝箱/资源包,材料包,,,,,,,cat3/p4/good115/价1=9/价2=0,,"内含99个浆果,可用于普通坐骑的强化."
203,灵草大材料包,礼包/宝箱/资源包,材料包,,,,,,,cat3/p4/good116/价1=27/价2=0,,"内含99个灵草,可用于品质良好坐骑的强化."
204,玉露大材料包,礼包/宝箱/资源包,材料包,,,,,,,cat3/p4/good117/价1=45/价2=0,,"内含99个玉露,可用于品质优秀坐骑的强化."
205,仙芝大材料包,礼包/宝箱/资源包,材料包,,,,,,,cat3/p4/good118/价1=90/价2=0,,"内含99个仙芝,可用于品质卓越坐骑的强化."
206,公会礼包,礼包/宝箱/资源包,固定礼包,,"印绶2个,令牌10个,练兵符1个,福神符1个,招募令2个,初级行军符2个",印绶2个 / 令牌10个 / 练兵符1个 / 福神符1个 / 招募令2个 / 初级行军符2个,印绶:item_id=114 / 令牌:item_id=208 / 练兵符:item_id=109 / 福神符:item_id=107 / 招募令:item_id=27 / 初级行军符:item_id=76,,,,,"开启后可获得:印绶2个,令牌10个,练兵符1个,福神符1个,招募令2个,初级行军符2个"
207,神秘宝箱,礼包/宝箱/资源包,随机概率宝箱,,,,,宝箱类道具=2.0% / 材料=12.7% / 功能性道具=19.45% / 加速类道具=27.45% / 增益性道具=13.4% / 资产类道具=25.0%,开启的道具概率如下：\n宝箱类道具 2.00%\n材料 12.70%\n功能性道具 19.45%\n加速类道具 27.45%\n增益性道具 13.40%\n资产类道具 25.00%,,,开启后能得到一些宝物.#probability#开启的道具概率如下：\n宝箱类道具 2.00%\n材料 12.70%\n功能性道具 19.45%\n加速类道具 27.45%\n增益性道具 13.40%\n资产类道具 25.00%
